"sex","type","chromosome","n","enrichment","p.value","chr.pseudo","sig"
"female","ambiguous","I",255,0.915370736146067,0.228580943847802,1,""
"female","ambiguous","II",244,0.864820413552976,0.0511882267669987,2,""
"female","ambiguous","III",236,0.958904046535546,0.603739445489882,3,""
"female","ambiguous","IV",283,1.0447543974867,0.525054934619652,4,""
"female","ambiguous","V",353,1.0557261584953,0.398416099822311,5,""
"female","ambiguous","X",313,1.15574461712254,0.0332039168712424,6,""
"female","cis + trans (enhancing)","I",279,1.13187969706436,0.0803681613817128,1,""
"female","cis + trans (enhancing)","II",271,1.08920856916969,0.229116560032122,2,""
"female","cis + trans (enhancing)","III",241,1.0765370660357,0.321560016664678,3,""
"female","cis + trans (enhancing)","IV",276,1.1044225459008,0.167310756312813,4,""
"female","cis + trans (enhancing)","V",285,0.856750806080203,0.0251854566275395,5,""
"female","cis + trans (enhancing)","X",225,0.8069756871064,0.0045341905740073,6,""
"female","cis x trans (compensatory)","I",291,1.15782215942621,0.0366500144494705,1,""
"female","cis x trans (compensatory)","II",306,1.2457256128062,0.00150904415842515,2,""
"female","cis x trans (compensatory)","III",237,1.01630052217521,0.821078815695236,3,""
"female","cis x trans (compensatory)","IV",312,1.26614498726739,0.000637036751849314,4,""
"female","cis x trans (compensatory)","V",292,0.853922093197923,0.0207518856673186,5,""
"female","cis x trans (compensatory)","X",181,0.591936387335655,2.69199418982347e-11,6,"*"
"female","cis-only","I",304,1.12392322403202,0.0862245147356792,1,""
"female","cis-only","II",281,1.00930324676808,0.888547729654244,2,""
"female","cis-only","III",258,1.04316002475293,0.557573198266741,3,""
"female","cis-only","IV",264,0.916617613573306,0.234987982989791,4,""
"female","cis-only","V",326,0.907225897097477,0.139646540241981,5,""
"female","cis-only","X",296,1.02979824599915,0.678681470023842,6,""
"female","cis-trans (compensatory)","I",300,1.26049079634429,0.00101060790262931,1,""
"female","cis-trans (compensatory)","II",262,1.04526724446401,0.534869288476126,2,""
"female","cis-trans (compensatory)","III",262,1.21285640177686,0.00934162360896721,3,""
"female","cis-trans (compensatory)","IV",265,1.04967095928366,0.51238141562526,4,""
"female","cis-trans (compensatory)","V",299,0.920307209042037,0.228381355672114,5,""
"female","cis-trans (compensatory)","X",183,0.623864892897912,2.14998528769222e-09,6,"*"
"female","conserved","I",276,0.655216621456161,2.25187379100823e-10,1,"*"
"female","conserved","II",319,0.797116133628448,0.000448936072589191,2,""
"female","conserved","III",271,0.745591691166201,1.78525130148282e-05,3,""
"female","conserved","IV",345,0.878025720353538,0.0411379672168181,4,""
"female","conserved","V",571,1.36732429801567,1.20011844273523e-08,5,""
"female","conserved","X",540,1.66675270206676,5.22172304088696e-19,6,"*"
"female","trans-only","I",440,0.975574305125412,0.684577861366531,1,""
"female","trans-only","II",459,1.04210581695626,0.485825050345926,2,""
"female","trans-only","III",414,1.05181556456467,0.412086704257722,3,""
"female","trans-only","IV",415,0.885475181679742,0.0399336575030029,4,""
"female","trans-only","V",553,0.984059461185384,0.790111918502541,5,""
"female","trans-only","X",486,1.07438433822701,0.208164038938101,6,""
"male","ambiguous","I",458,0.936507818937581,0.273406470182726,1,""
"male","ambiguous","II",503,1.05711910740965,0.330369085167879,2,""
"male","ambiguous","III",447,1.05956203760781,0.337053560417501,3,""
"male","ambiguous","IV",481,0.984023265366581,0.796676871062366,4,""
"male","ambiguous","V",606,0.975500228098766,0.654704816685452,5,""
"male","cis + trans (enhancing)","I",145,0.978761035190834,0.849564782832471,1,""
"male","cis + trans (enhancing)","II",153,1.02721678267773,0.777344916946973,2,""
"male","cis + trans (enhancing)","III",108,0.769042369218008,0.0134651649916245,3,""
"male","cis + trans (enhancing)","IV",154,1.03623691709159,0.706143351493244,4,""
"male","cis + trans (enhancing)","V",210,1.15841425364991,0.0831600877131825,5,""
"male","cis x trans (compensatory)","I",163,1.02026075223702,0.81969164836225,1,""
"male","cis x trans (compensatory)","II",190,1.23034539076351,0.0183966555277432,2,""
"male","cis x trans (compensatory)","III",135,0.912930779984239,0.367268170344108,3,""
"male","cis x trans (compensatory)","IV",167,1.02981024656608,0.751152877608904,4,""
"male","cis x trans (compensatory)","V",184,0.848914313476945,0.0609500738015955,5,""
"male","cis-only","I",399,1.11166119130581,0.0931255691199741,1,""
"male","cis-only","II",342,0.861176570372261,0.0215881564820898,2,""
"male","cis-only","III",332,0.98428722056758,0.843177432041302,3,""
"male","cis-only","IV",385,1.02557440482404,0.682572780330389,4,""
"male","cis-only","V",486,1.02316681739667,0.685715769979654,5,""
"male","cis-trans (compensatory)","I",253,1.17055040446042,0.0383818765325534,1,""
"male","cis-trans (compensatory)","II",247,1.10396000021845,0.200230871589809,2,""
"male","cis-trans (compensatory)","III",211,1.04634222761893,0.569271988968751,3,""
"male","cis-trans (compensatory)","IV",201,0.831870377383084,0.0243280677079086,4,""
"male","cis-trans (compensatory)","V",270,0.894988394570617,0.134175189656196,5,""
"male","conserved","I",517,1.00622069280723,0.910634996437574,1,""
"male","conserved","II",487,0.889124479273426,0.0391059674674515,2,""
"male","conserved","III",499,1.12208089865082,0.0469488463638928,3,""
"male","conserved","IV",540,1.05037224963901,0.372439166422685,4,""
"male","conserved","V",648,0.960583659131719,0.442215479669424,5,""
"male","trans-only","I",230,0.817626132723086,0.00789603988873995,1,""
"male","trans-only","II",281,1.05357554374767,0.469711301587871,2,""
"male","trans-only","III",221,0.893087772824763,0.150176609746963,3,""
"male","trans-only","IV",275,1.02157642660629,0.772444324960621,4,""
"male","trans-only","V",384,1.19231629048582,0.007105848521582,5,""
