"sex","class","chromosome","n","enrichment","p.value","chr.pseudo","sig"
"female","no change","I",80,0.831205852169573,0.147438401426224,1,""
"female","no change","II",97,1.05103069356119,0.643824017732649,2,""
"female","no change","III",86,1.03924820266698,0.761937339311113,3,""
"female","no change","IV",96,1.03201412290783,0.772842486044435,4,""
"female","no change","V",114,0.982562405889894,0.915256532901627,5,""
"female","no change","X",101,1.0766229380149,0.527992878833416,6,""
"female","ambiguous","I",114,0.844956540182399,0.114117693933417,1,""
"female","ambiguous","II",121,0.907082593791284,0.349256075818284,2,""
"female","ambiguous","III",104,0.866187365781017,0.196842883002097,3,""
"female","ambiguous","IV",131,0.997195126722782,1,4,""
"female","ambiguous","V",191,1.25232088549143,0.00970730181765289,5,""
"female","ambiguous","X",144,1.10146932709227,0.304936521711388,6,""
"female","additive","I",145,1.00267361956593,0.962518715651772,1,""
"female","additive","II",153,1.07135459558954,0.452353495935116,2,""
"female","additive","III",128,0.983973233396645,0.921638621538489,3,""
"female","additive","IV",153,1.0656219865691,0.481980470956483,4,""
"female","additive","V",176,0.972101518696114,0.762479113287924,5,""
"female","additive","X",138,0.91311866972593,0.376129474282541,6,""
"female","C. briggsae dominant","I",332,1.00549040234753,0.92199225157166,1,""
"female","C. briggsae dominant","II",317,0.939329933210778,0.360959294699289,2,""
"female","C. briggsae dominant","III",296,0.998373167538891,1,3,""
"female","C. briggsae dominant","IV",311,0.909448724345644,0.161319702126805,4,""
"female","C. briggsae dominant","V",413,1.00776040093115,0.90445156115351,5,""
"female","C. briggsae dominant","X",372,1.1445450884184,0.0327757620772527,6,""
"female","C. nigoni dominant","I",276,1.33070836601741,9.72634333850507e-05,1,""
"female","C. nigoni dominant","II",243,1.11085514520883,0.165602534682076,2,""
"female","C. nigoni dominant","III",206,1.03304284556529,0.686845465142973,3,""
"female","C. nigoni dominant","IV",225,0.995746246292384,1,4,""
"female","C. nigoni dominant","V",290,1.05809899778893,0.415419721290126,5,""
"female","C. nigoni dominant","X",144,0.554456010631114,6.8673850360397e-12,6,"*"
"female","overdominant","I",763,1.83253246655938,5.1980058021801e-32,1,"*"
"female","overdominant","II",625,1.26942510125508,6.51227550975966e-06,2,""
"female","overdominant","III",652,1.65469386691597,1.36591107456488e-20,3,"*"
"female","overdominant","IV",612,1.21623025476736,0.000226513438184545,4,""
"female","overdominant","V",595,0.823452041042337,0.000146544865129566,5,""
"female","overdominant","X",84,0.0954424690325569,2.48454496916712e-185,6,"*"
"female","underdominant","I",436,0.493645110265461,4.19437345221407e-38,1,"*"
"female","underdominant","II",595,0.789090163072408,5.24265609144144e-06,2,""
"female","underdominant","III",451,0.614909509970507,3.08507227464321e-18,3,"*"
"female","underdominant","IV",632,0.865520741946143,0.00506702760718997,4,""
"female","underdominant","V",887,1.08569643165189,0.0770848548591177,5,""
"female","underdominant","X",1215,3.31310368781909,3.38322808413804e-138,6,"*"
"male","no change","I",568,1.22905661767005,0.000163758055567547,1,""
"male","no change","II",513,1.03915979124523,0.485951898393315,2,""
"male","no change","III",524,1.28310049415113,1.17669998745953e-05,3,""
"male","no change","IV",489,0.958273528752554,0.452563235251131,4,""
"male","no change","V",571,0.875618058151407,0.0111304534836976,5,""
"male","no change","X",417,0.73633447111903,1.25912858645905e-07,6,""
"male","ambiguous","I",446,1.26361552164091,8.87207226006943e-05,1,""
"male","ambiguous","II",386,1.0140283298523,0.829228218030855,2,""
"male","ambiguous","III",368,1.11235316268761,0.0934415429018991,3,""
"male","ambiguous","IV",394,1.03856718891745,0.538430360224153,4,""
"male","ambiguous","V",433,0.873868633365241,0.0201350928026151,5,""
"male","ambiguous","X",327,0.777670057259285,8.06076860179607e-05,6,""
"male","additive","I",166,1.18719699506003,0.060497810129767,1,""
"male","additive","II",130,0.864790284322123,0.146284382180945,2,""
"male","additive","III",136,1.05459122959662,0.589416958639554,3,""
"male","additive","IV",145,0.987279641595764,0.92549040072241,4,""
"male","additive","V",186,1.03925588431438,0.666448352088689,5,""
"male","additive","X",135,0.881929912375605,0.209649064249444,6,""
"male","C. briggsae dominant","I",373,0.883716449131206,0.0469487780929057,1,""
"male","C. briggsae dominant","II",423,1.05821943081844,0.351220346549885,2,""
"male","C. briggsae dominant","III",322,0.84096446829325,0.00816118907771553,3,""
"male","C. briggsae dominant","IV",428,1.07034971768627,0.253995039608027,4,""
"male","C. briggsae dominant","V",514,1.02885324238701,0.599339927844624,5,""
"male","C. briggsae dominant","X",447,1.11355472119779,0.068954960214056,6,""
"male","C. nigoni dominant","I",291,1.18234402699524,0.0183477704033233,1,""
"male","C. nigoni dominant","II",244,0.925764597767713,0.310363495531202,2,""
"male","C. nigoni dominant","III",246,1.08802721161365,0.255213392196191,3,""
"male","C. nigoni dominant","IV",246,0.93065497950069,0.346969455130544,4,""
"male","C. nigoni dominant","V",296,0.895295162418286,0.109639787229876,5,""
"male","C. nigoni dominant","X",268,1.02051105289502,0.773878877699522,6,""
"male","overdominant","I",141,0.466807766867255,1.49849190545005e-19,1,"*"
"male","overdominant","II",236,0.883453908479966,0.103208702806168,2,""
"male","overdominant","III",169,0.669146941740619,1.16449856966349e-06,3,"*"
"male","overdominant","IV",251,0.953640323977593,0.538972558734238,4,""
"male","overdominant","V",429,1.5494494172158,2.92544208677692e-12,5,"*"
"male","overdominant","X",368,1.61064387357639,9.64512221396609e-13,6,"*"
"male","underdominant","I",161,0.770509001524078,0.00286832159292494,1,""
"male","underdominant","II",219,1.14536093763609,0.0868618419648875,2,""
"male","underdominant","III",158,0.866564848851026,0.114237175473194,3,""
