"sex","class","type","chromosome","n"
"(M) hermaphrodite","additive","ambiguous","I",1
"(M) hermaphrodite","additive","ambiguous","II",0
"(M) hermaphrodite","additive","ambiguous","III",0
"(M) hermaphrodite","additive","ambiguous","IV",0
"(M) hermaphrodite","additive","ambiguous","V",0
"(M) hermaphrodite","additive","ambiguous","X",0
"(M) hermaphrodite","additive","cis + trans (enhancing)","I",8
"(M) hermaphrodite","additive","cis + trans (enhancing)","II",6
"(M) hermaphrodite","additive","cis + trans (enhancing)","III",9
"(M) hermaphrodite","additive","cis + trans (enhancing)","IV",7
"(M) hermaphrodite","additive","cis + trans (enhancing)","V",18
"(M) hermaphrodite","additive","cis + trans (enhancing)","X",0
"(M) hermaphrodite","additive","cis x trans (compensatory)","I",2
"(M) hermaphrodite","additive","cis x trans (compensatory)","II",2
"(M) hermaphrodite","additive","cis x trans (compensatory)","III",4
"(M) hermaphrodite","additive","cis x trans (compensatory)","IV",0
"(M) hermaphrodite","additive","cis x trans (compensatory)","V",0
"(M) hermaphrodite","additive","cis x trans (compensatory)","X",0
"(M) hermaphrodite","additive","cis-only","I",20
"(M) hermaphrodite","additive","cis-only","II",13
"(M) hermaphrodite","additive","cis-only","III",16
"(M) hermaphrodite","additive","cis-only","IV",9
"(M) hermaphrodite","additive","cis-only","V",11
"(M) hermaphrodite","additive","cis-only","X",0
"(M) hermaphrodite","additive","cis-trans (compensatory)","I",0
"(M) hermaphrodite","additive","cis-trans (compensatory)","II",0
"(M) hermaphrodite","additive","cis-trans (compensatory)","III",0
"(M) hermaphrodite","additive","cis-trans (compensatory)","IV",0
"(M) hermaphrodite","additive","cis-trans (compensatory)","V",0
"(M) hermaphrodite","additive","cis-trans (compensatory)","X",0
"(M) hermaphrodite","additive","conserved","I",0
"(M) hermaphrodite","additive","conserved","II",0
"(M) hermaphrodite","additive","conserved","III",0
"(M) hermaphrodite","additive","conserved","IV",0
"(M) hermaphrodite","additive","conserved","V",0
"(M) hermaphrodite","additive","conserved","X",0
"(M) hermaphrodite","additive","trans-only","I",4
"(M) hermaphrodite","additive","trans-only","II",9
"(M) hermaphrodite","additive","trans-only","III",5
"(M) hermaphrodite","additive","trans-only","IV",2
"(M) hermaphrodite","additive","trans-only","V",1
"(M) hermaphrodite","additive","trans-only","X",0
"(M) hermaphrodite","ambiguous","ambiguous","I",9
"(M) hermaphrodite","ambiguous","ambiguous","II",12
"(M) hermaphrodite","ambiguous","ambiguous","III",10
"(M) hermaphrodite","ambiguous","ambiguous","IV",9
"(M) hermaphrodite","ambiguous","ambiguous","V",7
"(M) hermaphrodite","ambiguous","ambiguous","X",0
"(M) hermaphrodite","ambiguous","cis + trans (enhancing)","I",0
"(M) hermaphrodite","ambiguous","cis + trans (enhancing)","II",0
"(M) hermaphrodite","ambiguous","cis + trans (enhancing)","III",1
"(M) hermaphrodite","ambiguous","cis + trans (enhancing)","IV",0
"(M) hermaphrodite","ambiguous","cis + trans (enhancing)","V",0
"(M) hermaphrodite","ambiguous","cis + trans (enhancing)","X",0
"(M) hermaphrodite","ambiguous","cis x trans (compensatory)","I",4
"(M) hermaphrodite","ambiguous","cis x trans (compensatory)","II",1
"(M) hermaphrodite","ambiguous","cis x trans (compensatory)","III",0
"(M) hermaphrodite","ambiguous","cis x trans (compensatory)","IV",0
"(M) hermaphrodite","ambiguous","cis x trans (compensatory)","V",0
"(M) hermaphrodite","ambiguous","cis x trans (compensatory)","X",0
"(M) hermaphrodite","ambiguous","cis-only","I",0
"(M) hermaphrodite","ambiguous","cis-only","II",0
"(M) hermaphrodite","ambiguous","cis-only","III",0
"(M) hermaphrodite","ambiguous","cis-only","IV",0
"(M) hermaphrodite","ambiguous","cis-only","V",0
"(M) hermaphrodite","ambiguous","cis-only","X",0
"(M) hermaphrodite","ambiguous","cis-trans (compensatory)","I",14
"(M) hermaphrodite","ambiguous","cis-trans (compensatory)","II",4
"(M) hermaphrodite","ambiguous","cis-trans (compensatory)","III",10
"(M) hermaphrodite","ambiguous","cis-trans (compensatory)","IV",10
"(M) hermaphrodite","ambiguous","cis-trans (compensatory)","V",3
"(M) hermaphrodite","ambiguous","cis-trans (compensatory)","X",0
"(M) hermaphrodite","ambiguous","conserved","I",14
"(M) hermaphrodite","ambiguous","conserved","II",10
"(M) hermaphrodite","ambiguous","conserved","III",13
"(M) hermaphrodite","ambiguous","conserved","IV",15
"(M) hermaphrodite","ambiguous","conserved","V",11
"(M) hermaphrodite","ambiguous","conserved","X",0
"(M) hermaphrodite","ambiguous","trans-only","I",1
"(M) hermaphrodite","ambiguous","trans-only","II",0
"(M) hermaphrodite","ambiguous","trans-only","III",0
"(M) hermaphrodite","ambiguous","trans-only","IV",1
"(M) hermaphrodite","ambiguous","trans-only","V",1
"(M) hermaphrodite","ambiguous","trans-only","X",0
"(M) hermaphrodite","C. briggsae dominant","ambiguous","I",2
"(M) hermaphrodite","C. briggsae dominant","ambiguous","II",2
"(M) hermaphrodite","C. briggsae dominant","ambiguous","III",0
"(M) hermaphrodite","C. briggsae dominant","ambiguous","IV",0
"(M) hermaphrodite","C. briggsae dominant","ambiguous","V",4
"(M) hermaphrodite","C. briggsae dominant","ambiguous","X",0
"(M) hermaphrodite","C. briggsae dominant","cis + trans (enhancing)","I",1
"(M) hermaphrodite","C. briggsae dominant","cis + trans (enhancing)","II",2
"(M) hermaphrodite","C. briggsae dominant","cis + trans (enhancing)","III",2
"(M) hermaphrodite","C. briggsae dominant","cis + trans (enhancing)","IV",3
"(M) hermaphrodite","C. briggsae dominant","cis + trans (enhancing)","V",3
"(M) hermaphrodite","C. briggsae dominant","cis + trans (enhancing)","X",0
"(M) hermaphrodite","C. briggsae dominant","cis x trans (compensatory)","I",2
"(M) hermaphrodite","C. briggsae dominant","cis x trans (compensatory)","II",2
"(M) hermaphrodite","C. briggsae dominant","cis x trans (compensatory)","III",4
"(M) hermaphrodite","C. briggsae dominant","cis x trans (compensatory)","IV",3
"(M) hermaphrodite","C. briggsae dominant","cis x trans (compensatory)","V",4
"(M) hermaphrodite","C. briggsae dominant","cis x trans (compensatory)","X",0
"(M) hermaphrodite","C. briggsae dominant","cis-only","I",6
"(M) hermaphrodite","C. briggsae dominant","cis-only","II",5
"(M) hermaphrodite","C. briggsae dominant","cis-only","III",2
"(M) hermaphrodite","C. briggsae dominant","cis-only","IV",5
"(M) hermaphrodite","C. briggsae dominant","cis-only","V",7
"(M) hermaphrodite","C. briggsae dominant","cis-only","X",0
"(M) hermaphrodite","C. briggsae dominant","cis-trans (compensatory)","I",0
"(M) hermaphrodite","C. briggsae dominant","cis-trans (compensatory)","II",0
"(M) hermaphrodite","C. briggsae dominant","cis-trans (compensatory)","III",0
"(M) hermaphrodite","C. briggsae dominant","cis-trans (compensatory)","IV",0
"(M) hermaphrodite","C. briggsae dominant","cis-trans (compensatory)","V",0
"(M) hermaphrodite","C. briggsae dominant","cis-trans (compensatory)","X",0
"(M) hermaphrodite","C. briggsae dominant","conserved","I",0
"(M) hermaphrodite","C. briggsae dominant","conserved","II",0
"(M) hermaphrodite","C. briggsae dominant","conserved","III",0
"(M) hermaphrodite","C. briggsae dominant","conserved","IV",0
"(M) hermaphrodite","C. briggsae dominant","conserved","V",0
"(M) hermaphrodite","C. briggsae dominant","conserved","X",0
"(M) hermaphrodite","C. briggsae dominant","trans-only","I",1
