module,relative expression,sample,sex,species
M1,-0.331190068830462,CbrF,F,Cbr
M1,0.641139238151718,CbrM,M,Cbr
M1,-1.71216524803158,HF1F,F,HF1
M1,0.5111350678228,HF1M,M,HF1
M1,0.170943827096409,CniF,F,Cni
M1,0.720137183791111,CniM,M,Cni
M2,0.542388834972566,CbrF,F,Cbr
M2,-0.425537562692889,CbrM,M,Cbr
M2,1.76528437407266,HF1F,F,HF1
M2,-0.73373687994266,HF1M,M,HF1
M2,-0.309866597465873,CniF,F,Cni
M2,-0.838532168943809,CniM,M,Cni
M3,0.872680392939138,CbrF,F,Cbr
M3,-0.26998303643057,CbrM,M,Cbr
M3,1.01577480772049,HF1F,F,HF1
M3,-1.30513157111489,HF1M,M,HF1
M3,0.0347913190029568,CniF,F,Cni
M3,-0.348131912117126,CniM,M,Cni
M4,0.530729064179408,CbrF,F,Cbr
M4,0.549598976415941,CbrM,M,Cbr
M4,0.638034830181011,HF1F,F,HF1
M4,0.506389457216116,HF1M,M,HF1
M4,-1.18456665590375,CniF,F,Cni
M4,-1.04018567208873,CniM,M,Cni
M5,-0.0134650577604924,CbrF,F,Cbr
M5,1.12365665346441,CbrM,M,Cbr
M5,-1.13695032483612,HF1F,F,HF1
M5,0.674946599671757,HF1M,M,HF1
M5,-1.18640988567077,CniF,F,Cni
M5,0.538222015131222,CniM,M,Cni
M6,-0.605360975483131,CbrF,F,Cbr
M6,0.0877840686775218,CbrM,M,Cbr
M6,-1.05811471030233,HF1F,F,HF1
M6,-0.669859280856411,HF1M,M,HF1
M6,1.03955610704933,CniF,F,Cni
M6,1.20599479091502,CniM,M,Cni
M7,-0.162317605805021,CbrF,F,Cbr
M7,0.304122555587108,CbrM,M,Cbr
M7,-0.712274332166278,HF1F,F,HF1
M7,1.42322351049489,HF1M,M,HF1
M7,-0.202006758656487,CniF,F,Cni
M7,-0.650747369454209,CniM,M,Cni
M8,-1.01936704720039,CbrF,F,Cbr
M8,-0.30732141542578,CbrM,M,Cbr
M8,-1.02761667857296,HF1F,F,HF1
M8,0.597401215856338,HF1M,M,HF1
M8,0.793031294681938,CniF,F,Cni
M8,0.963872630660861,CniM,M,Cni
M9,-1.18158755954483,CbrF,F,Cbr
M9,-1.00077791622712,CbrM,M,Cbr
M9,0.499533239424368,HF1F,F,HF1
M9,0.485097701553459,HF1M,M,HF1
M9,0.622550201750036,CniF,F,Cni
M9,0.575184333044092,CniM,M,Cni
M10,-0.747740621608313,CbrF,F,Cbr
M10,-0.416001968055359,CbrM,M,Cbr
M10,0.986242565096557,HF1F,F,HF1
M10,1.16901861281594,HF1M,M,HF1
M10,-0.476166788663931,CniF,F,Cni
M10,-0.515351799584899,CniM,M,Cni
M11,0.545548704292289,CbrF,F,Cbr
M11,0.391112822595713,CbrM,M,Cbr
M11,-1.34733707995854,HF1F,F,HF1
M11,-0.479948948156883,HF1M,M,HF1
M11,0.914384431546895,CniF,F,Cni
M11,-0.0237599303194782,CniM,M,Cni
M12,1.05951425450446,CbrF,F,Cbr
M12,0.910854348533502,CbrM,M,Cbr
M12,-0.779234651286148,HF1F,F,HF1
M12,0.0704350413665149,HF1M,M,HF1
M12,-0.537336048286849,CniF,F,Cni
M12,-0.724232944831481,CniM,M,Cni
M13,-0.308010936709066,CbrF,F,Cbr
M13,-0.786327616847787,CbrM,M,Cbr
M13,1.88610554984994,HF1F,F,HF1
M13,-0.515293035237647,HF1M,M,HF1
M13,0.0391847921818582,CniF,F,Cni
M13,-0.315658753237295,CniM,M,Cni
M14,-0.95392759588748,CbrF,F,Cbr
M14,0.156973117870746,CbrM,M,Cbr
M14,-0.898501562172774,HF1F,F,HF1
M14,1.18213495341594,HF1M,M,HF1
M14,-0.389579586526484,CniF,F,Cni
M14,0.902900673300056,CniM,M,Cni
M15,-0.67067958156467,CbrF,F,Cbr
M15,0.760727117209111,CbrM,M,Cbr
M15,-0.582300209528717,HF1F,F,HF1
M15,-0.142047667773586,HF1M,M,HF1
M15,-0.65689748661967,CniF,F,Cni
M15,1.29119782827753,CniM,M,Cni
