"models","samples","expression","upper","lower","species","sex","gene"
"B-F-I","CbrF",1.38754563247854,1.57580798460148,1.04989765868995,"C. briggsae","female","centroid"
"B-F-I","CbrM",-0.32221784496246,0.467297317050021,-1.08104863012397,"C. briggsae","male","centroid"
"B-F-I","CniF",-0.401017194450011,0.326237520807832,-1.15415493618048,"C. nigoni","female","centroid"
"B-F-I","CniM",-0.664310593066069,0.225040349488537,-1.42963545131916,"C. nigoni","male","centroid"
"B-F-N","CbrF",1.34235784621872,1.48295577425152,1.1635207417367,"C. briggsae","female","centroid"
"B-F-N","CbrM",-0.189390889908555,0.509308830711318,-0.787080313005327,"C. briggsae","male","centroid"
"B-F-N","CniF",-0.113197478463633,0.458152366137797,-0.776564491133306,"C. nigoni","female","centroid"
"B-F-N","CniM",-1.03976947784653,-0.595925692975676,-1.33505055011877,"C. nigoni","male","centroid"
"B-M-I","CbrF",-0.0539819862250525,0.407850300234181,-0.528459763607237,"C. briggsae","female","centroid"
"B-M-I","CbrM",0.981561441784285,1.4149378990257,0.587947906721327,"C. briggsae","male","centroid"
"B-M-I","CniF",-1.38926079353803,-0.794920892908634,-1.57215163533717,"C. nigoni","female","centroid"
"B-M-I","CniM",0.461681337978793,1.12318672797714,-0.877879143328044,"C. nigoni","male","centroid"
"B-M-N","CbrF",-0.0326161928798904,0.624585701520821,-0.706257065893393,"C. briggsae","female","centroid"
"B-M-N","CbrM",1.2607899969772,1.46614439595733,1.01221321869589,"C. briggsae","male","centroid"
"B-M-N","CniF",-1.14493756082585,-0.853739781008684,-1.38909058764419,"C. nigoni","female","centroid"
"B-M-N","CniM",-0.083236243271466,0.727033015330901,-0.899005411948103,"C. nigoni","male","centroid"
"B-N-N","CbrF",0.849649211861481,1.20833895391916,0.353988808128705,"C. briggsae","female","centroid"
"B-N-N","CbrM",0.755218077392423,1.16143222471905,0.101496299834631,"C. briggsae","male","centroid"
"B-N-N","CniF",-0.87917649033704,-0.324085441861434,-1.32819937403569,"C. nigoni","female","centroid"
"B-N-N","CniM",-0.725690798916865,0.107967695272945,-1.25010600133316,"C. nigoni","male","centroid"
"C-F-N","CbrF",0.843294901099887,1.20860981567113,0.250537429661544,"C. briggsae","female","centroid"
"C-F-N","CbrM",-0.928024596710632,-0.410821567270817,-1.36602242729216,"C. briggsae","male","centroid"
"C-F-N","CniF",0.67772500902217,1.11652251331794,0.130208669948512,"C. nigoni","female","centroid"
"C-F-N","CniM",-0.592995313411425,0.217287141368005,-1.20823208143974,"C. nigoni","male","centroid"
"C-M-N","CbrF",-0.815359642010905,-0.22081514843394,-1.20275521553231,"C. briggsae","female","centroid"
"C-M-N","CbrM",0.906291871947802,1.4145820215554,0.19909948101746,"C. briggsae","male","centroid"
"C-M-N","CniF",-0.715846636140485,-0.115496616413808,-1.11762102557239,"C. nigoni","female","centroid"
"C-M-N","CniM",0.624914406203588,1.35744132562841,-0.384324709211939,"C. nigoni","male","centroid"
"C-N-N","CbrF",-0.0706457409084326,0.903449136090081,-0.972905130075715,"C. briggsae","female","centroid"
"C-N-N","CbrM",-0.00223833187557035,1.10357353058508,-1.0242387951246,"C. briggsae","male","centroid"
"C-N-N","CniF",0.00587387049775776,0.992789832537956,-0.990514347714272,"C. nigoni","female","centroid"
"C-N-N","CniM",0.0670102022862449,1.29523125257913,-1.18410429089821,"C. nigoni","male","centroid"
"N-F-I","CbrF",-0.0356636417721883,0.565984892100659,-0.687517626911334,"C. briggsae","female","centroid"
"N-F-I","CbrM",-0.90936859306108,-0.10730551584973,-1.48331987178675,"C. briggsae","male","centroid"
"N-F-I","CniF",1.17347647736307,1.55870465832015,0.575851517557813,"C. nigoni","female","centroid"
"N-F-I","CniM",-0.228444242529803,1.12830896280894,-1.39853110342721,"C. nigoni","male","centroid"
"N-F-N","CbrF",-0.140735418110458,0.447030661286457,-0.709914084022841,"C. briggsae","female","centroid"
"N-F-N","CbrM",-1.21728476165527,-0.95204177214675,-1.41909816606846,"C. briggsae","male","centroid"
"N-F-N","CniF",1.19614259871601,1.41672930861324,0.923511300615924,"C. nigoni","female","centroid"
"N-F-N","CniM",0.161877581049715,0.845809859423869,-0.743323946300377,"C. nigoni","male","centroid"
"N-M-I","CbrF",-1.31462243029798,-0.933895231034355,-1.54529731127618,"C. briggsae","female","centroid"
"N-M-I","CbrM",0.0947799120453842,1.09320684737941,-0.559014790795841,"C. briggsae","male","centroid"
"N-M-I","CniF",0.695538066840387,1.24739513296305,-0.223785290234066,"C. nigoni","female","centroid"
"N-M-I","CniM",0.524304451412207,1.06368091656164,-0.605391929986544,"C. nigoni","male","centroid"
"N-M-N","CbrF",-1.27075892356114,-1.09016886296073,-1.43853737912214,"C. briggsae","female","centroid"
"N-M-N","CbrM",-0.0773160205198709,0.643049016606542,-0.620311697860017,"C. briggsae","male","centroid"
"N-M-N","CniF",0.256391445235787,0.82810677838264,-0.469237210098129,"C. nigoni","female","centroid"
"N-M-N","CniM",1.09168349884522,1.41311828680875,0.675793942927171,"C. nigoni","male","centroid"
"N-N-N","CbrF",-0.884781840791892,-0.348371650577667,-1.20144907149997,"C. briggsae","female","centroid"
"N-N-N","CbrM",-0.710375137407136,-0.118792091594007,-1.099945791547,"C. briggsae","male","centroid"
"N-N-N","CniF",0.83919831833418,1.34479520304323,0.255685056264616,"C. nigoni","female","centroid"
"N-N-N","CniM",0.755958659864848,1.31945155977407,-0.0909933516250467,"C. nigoni","male","centroid"
