"sex","class","type","chromosome","n"
"(F) hermaphrodite","additive","cis + trans (enhancing)","I",11
"(F) hermaphrodite","additive","cis + trans (enhancing)","II",6
"(F) hermaphrodite","additive","cis + trans (enhancing)","III",12
"(F) hermaphrodite","additive","cis + trans (enhancing)","IV",5
"(F) hermaphrodite","additive","cis + trans (enhancing)","V",5
"(F) hermaphrodite","additive","cis + trans (enhancing)","X",4
"(F) hermaphrodite","additive","cis x trans (compensatory)","I",3
"(F) hermaphrodite","additive","cis x trans (compensatory)","II",5
"(F) hermaphrodite","additive","cis x trans (compensatory)","III",3
"(F) hermaphrodite","additive","cis x trans (compensatory)","IV",4
"(F) hermaphrodite","additive","cis x trans (compensatory)","V",2
"(F) hermaphrodite","additive","cis x trans (compensatory)","X",0
"(F) hermaphrodite","additive","cis-only","I",3
"(F) hermaphrodite","additive","cis-only","II",0
"(F) hermaphrodite","additive","cis-only","III",3
"(F) hermaphrodite","additive","cis-only","IV",4
"(F) hermaphrodite","additive","cis-only","V",2
"(F) hermaphrodite","additive","cis-only","X",0
"(F) hermaphrodite","additive","cis-trans (compensatory)","I",0
"(F) hermaphrodite","additive","cis-trans (compensatory)","II",0
"(F) hermaphrodite","additive","cis-trans (compensatory)","III",0
"(F) hermaphrodite","additive","cis-trans (compensatory)","IV",0
"(F) hermaphrodite","additive","cis-trans (compensatory)","V",0
"(F) hermaphrodite","additive","cis-trans (compensatory)","X",0
"(F) hermaphrodite","additive","trans-only","I",14
"(F) hermaphrodite","additive","trans-only","II",4
"(F) hermaphrodite","additive","trans-only","III",9
"(F) hermaphrodite","additive","trans-only","IV",5
"(F) hermaphrodite","additive","trans-only","V",3
"(F) hermaphrodite","additive","trans-only","X",3
"(F) hermaphrodite","C. briggsae dominant","cis + trans (enhancing)","I",1
"(F) hermaphrodite","C. briggsae dominant","cis + trans (enhancing)","II",2
"(F) hermaphrodite","C. briggsae dominant","cis + trans (enhancing)","III",2
"(F) hermaphrodite","C. briggsae dominant","cis + trans (enhancing)","IV",2
"(F) hermaphrodite","C. briggsae dominant","cis + trans (enhancing)","V",2
"(F) hermaphrodite","C. briggsae dominant","cis + trans (enhancing)","X",5
"(F) hermaphrodite","C. briggsae dominant","cis x trans (compensatory)","I",5
"(F) hermaphrodite","C. briggsae dominant","cis x trans (compensatory)","II",5
"(F) hermaphrodite","C. briggsae dominant","cis x trans (compensatory)","III",2
"(F) hermaphrodite","C. briggsae dominant","cis x trans (compensatory)","IV",3
"(F) hermaphrodite","C. briggsae dominant","cis x trans (compensatory)","V",4
"(F) hermaphrodite","C. briggsae dominant","cis x trans (compensatory)","X",2
"(F) hermaphrodite","C. briggsae dominant","cis-only","I",2
"(F) hermaphrodite","C. briggsae dominant","cis-only","II",3
