"sex","species_DE","chromosome","count","p.value","enrichment","chr.pseudo"
"female","briggsae sig","I",771,6.41779243655782e-18,1.54778398709767,1
"female","briggsae sig","II",763,1.159139046552e-16,1.52242290140757,2
"female","briggsae sig","III",624,4.52354388074558e-06,1.27838296585673,3
"female","briggsae sig","IV",526,1.78390263378224e-05,0.793609096976884,4
"female","briggsae sig","V",741,0.580158480276632,0.973097813145852,5
"female","briggsae sig","X",305,1.17913189463307e-68,0.353684451026114,6
"female","nigoni sig","I",578,0.317663869079536,0.947806061003698,1
"female","nigoni sig","II",509,3.57366092384396e-06,0.777773871162231,2
"female","nigoni sig","III",528,0.741187405178332,0.980878652659153,3
"female","nigoni sig","IV",753,7.29765074784285e-15,1.48459497211328,4
"female","nigoni sig","V",631,2.44123154125607e-08,0.757790617461663,5
"female","nigoni sig","X",695,0.000100245906899803,1.21921420328343,6
"female","no sig","I",798,1.40753228755502e-12,0.710511813717364,1
"female","no sig","II",871,0.000437696838786989,0.845061105115576,2
"female","no sig","III",769,0.000105710769751716,0.823047783190817,3
"female","no sig","IV",884,0.00100026972660171,0.854236222889439,4
"female","no sig","V",1308,4.54236194646523e-08,1.26858676819331,5
"female","no sig","X",1226,4.95538331742429e-30,1.70092520751567,6
"male","briggsae sig","I",680,0.000101432843931768,1.22642453922295,1
"male","briggsae sig","II",697,2.04927085950623e-05,1.24723007860694,2
"male","briggsae sig","III",537,0.618043330345642,0.971173411975507,3
"male","briggsae sig","IV",476,2.99760265243084e-14,0.656747164636853,4
"male","briggsae sig","V",776,0.845923604343497,0.989520461139811,5
"male","nigoni sig","I",544,0.477483753116725,0.961056566971268,1
"male","nigoni sig","II",501,0.000371745969118281,0.819915691456542,2
"male","nigoni sig","III",495,0.690433511019753,0.976007537694118,3
"male","nigoni sig","IV",679,2.66322612037193e-09,1.37001597752108,4
"male","nigoni sig","V",692,0.20338776676453,0.937781878771599,5
"male","no sig","I",944,0.00375386686018142,0.869427712776855,1
"male","no sig","II",1005,0.460591467004408,0.964410068140339,2
"male","no sig","III",923,0.410674444977436,1.04304811685905,3
"male","no sig","IV",1053,0.160599238531102,1.06941067133054,4
"male","no sig","V",1324,0.189711693310285,1.05905032877168,5
