"sex","species_DE","chromosome","count","p.value","enrichment","chr.pseudo"
"female","briggsae sig","I",536,0.000772553317996603,0.833099732786925,1
"female","briggsae sig","II",646,0.772501540585525,1.01565610363508,2
"female","briggsae sig","III",500,7.55564310658858e-06,0.773415018963921,3
"female","briggsae sig","IV",649,0.833475806829295,0.987989893768877,4
"female","briggsae sig","V",843,0.000856637365044226,0.84970254391267,5
"female","briggsae sig","X",1052,1.82738092441071e-26,1.69195591134769,6
"female","nigoni sig","I",874,0.270188625115475,1.06016635017502,1
"female","nigoni sig","II",792,0.875739459038626,1.00803307980409,2
"female","nigoni sig","III",747,0.285503003650366,1.06002476833184,3
"female","nigoni sig","IV",764,0.175364774068757,1.07228400873942,4
"female","nigoni sig","V",857,8.50523459516207e-08,1.2843365223114,5
"female","nigoni sig","X",352,4.84369729090072e-22,0.590387964128347,6
"female","no sig","I",756,0.0509253201665889,1.09669342267132,1
"female","no sig","II",764,0.691429258723303,0.981438883258804,2
"female","no sig","III",706,0.00298297343144571,1.15730522536361,3
"female","no sig","IV",792,0.315380838534176,0.953930816484066,4
"female","no sig","V",1092,0.0578769863874085,0.921586138565054,5
"female","no sig","X",897,0.20747205519302,0.94342244361328,6
"male","briggsae sig","I",516,2.56746600577473e-12,0.691818048693859,1
"male","briggsae sig","II",595,0.0626575502225324,0.908837799638695,2
"male","briggsae sig","III",442,1.50023393722512e-08,0.733319258538992,3
"male","briggsae sig","IV",585,0.0784235258991944,0.91382514385617,4
"male","briggsae sig","V",677,0.291313726260473,0.951741904949665,5
"male","briggsae sig","X",829,1.43832214000218e-59,2.16102883436397,6
"male","nigoni sig","I",616,3.41757692054659e-18,1.5295541507758,1
"male","nigoni sig","II",608,4.38034827383371e-05,1.2226052355093,2
"male","nigoni sig","III",556,1.042965884523e-09,1.36631022895291,3
"male","nigoni sig","IV",631,0.00772790539996473,1.14057167188219,4
"male","nigoni sig","V",880,0.0564147966725407,0.915897524112545,5
"male","nigoni sig","X",450,1.21258174042561e-89,0.326147925486444,6
"male","no sig","I",1033,0.0519062067728472,0.908357306235213,1
"male","no sig","II",1000,0.0280741721837375,0.898281923270512,2
"male","no sig","III",955,0.559815896976989,0.96948546456216,3
"male","no sig","IV",987,0.372195117310626,0.957318406802002,4
"male","no sig","V",1232,0.00421206713886262,1.13407009010495,5
"male","no sig","X",1029,0.0166004698019927,1.12045204910541,6
