"sex","models","models2","type","n","prop"
"female","briggsae female-biased interaction","B-F-I","ambiguous",41,0.0350727117194183
"female","briggsae female-biased interaction","B-F-I","cis + trans (enhancing)",289,0.247219846022241
"female","briggsae female-biased interaction","B-F-I","cis x trans (compensatory)",294,0.251497005988024
"female","briggsae female-biased interaction","B-F-I","cis-only",172,0.147134302822926
"female","briggsae female-biased interaction","B-F-I","cis-trans (compensatory)",53,0.0453378956372968
"female","briggsae female-biased interaction","B-F-I","conserved",18,0.0153977758768178
"female","briggsae female-biased interaction","B-F-I","trans-only",302,0.258340461933276
"female","briggsae female-biased no_interaction","B-F-N","ambiguous",70,0.053680981595092
"female","briggsae female-biased no_interaction","B-F-N","cis + trans (enhancing)",236,0.180981595092025
"female","briggsae female-biased no_interaction","B-F-N","cis x trans (compensatory)",347,0.266104294478528
"female","briggsae female-biased no_interaction","B-F-N","cis-only",256,0.196319018404908
"female","briggsae female-biased no_interaction","B-F-N","cis-trans (compensatory)",108,0.0828220858895705
"female","briggsae female-biased no_interaction","B-F-N","conserved",68,0.0521472392638037
"female","briggsae female-biased no_interaction","B-F-N","trans-only",219,0.167944785276074
"female","briggsae male-biased interaction","B-M-I","ambiguous",35,0.0390625
"female","briggsae male-biased interaction","B-M-I","cis + trans (enhancing)",117,0.130580357142857
"female","briggsae male-biased interaction","B-M-I","cis x trans (compensatory)",75,0.0837053571428571
"female","briggsae male-biased interaction","B-M-I","cis-only",66,0.0736607142857143
"female","briggsae male-biased interaction","B-M-I","cis-trans (compensatory)",12,0.0133928571428571
"female","briggsae male-biased interaction","B-M-I","conserved",34,0.0379464285714286
"female","briggsae male-biased interaction","B-M-I","trans-only",557,0.621651785714286
"female","briggsae male-biased no_interaction","B-M-N","ambiguous",99,0.245049504950495
"female","briggsae male-biased no_interaction","B-M-N","cis + trans (enhancing)",43,0.106435643564356
"female","briggsae male-biased no_interaction","B-M-N","cis x trans (compensatory)",34,0.0841584158415842
"female","briggsae male-biased no_interaction","B-M-N","cis-only",78,0.193069306930693
"female","briggsae male-biased no_interaction","B-M-N","cis-trans (compensatory)",17,0.0420792079207921
"female","briggsae male-biased no_interaction","B-M-N","conserved",63,0.155940594059406
"female","briggsae male-biased no_interaction","B-M-N","trans-only",70,0.173267326732673
"female","briggsae sex-neutral no_interaction","B-N-N","ambiguous",128,0.144632768361582
"female","briggsae sex-neutral no_interaction","B-N-N","cis + trans (enhancing)",154,0.174011299435028
"female","briggsae sex-neutral no_interaction","B-N-N","cis x trans (compensatory)",103,0.11638418079096
"female","briggsae sex-neutral no_interaction","B-N-N","cis-only",211,0.238418079096045
"female","briggsae sex-neutral no_interaction","B-N-N","cis-trans (compensatory)",47,0.0531073446327684
"female","briggsae sex-neutral no_interaction","B-N-N","conserved",76,0.0858757062146893
"female","briggsae sex-neutral no_interaction","B-N-N","trans-only",166,0.187570621468927
"female","conserved female-biased no_interaction","C-F-N","ambiguous",278,0.281947261663286
"female","conserved female-biased no_interaction","C-F-N","cis + trans (enhancing)",12,0.0121703853955375
"female","conserved female-biased no_interaction","C-F-N","cis x trans (compensatory)",13,0.013184584178499
"female","conserved female-biased no_interaction","C-F-N","cis-only",23,0.0233265720081136
