"sex","class","chromosome","n","enrichment","p.value","chr.pseudo","sig"
"(F) hermaphrodite","no change","I",4,0.826095903055347,1,1,""
"(F) hermaphrodite","no change","II",3,0.809628393349362,1,2,""
"(F) hermaphrodite","no change","III",2,0.521514518281553,0.555284888979536,3,""
"(F) hermaphrodite","no change","IV",2,0.549273317224262,0.556346986378505,4,""
"(F) hermaphrodite","no change","V",7,2.45400070811518,0.0729667707082225,5,""
"(F) hermaphrodite","no change","X",2,1.60121181360164,0.380575067186924,6,""
"(F) hermaphrodite","ambiguous","I",6,0.430104821117911,0.0605690411743543,1,""
"(F) hermaphrodite","ambiguous","II",8,0.850854583398142,0.851921485980741,2,""
"(F) hermaphrodite","ambiguous","III",9,1.014481606279,1,3,""
"(F) hermaphrodite","ambiguous","IV",11,1.3900240397058,0.338978757020097,4,""
"(F) hermaphrodite","ambiguous","V",14,1.73927585427768,0.0946817652171884,5,""
"(F) hermaphrodite","ambiguous","X",3,0.888694184252686,1,6,""
"(F) hermaphrodite","additive","I",31,1.33629640578328,0.194254637670359,1,""
"(F) hermaphrodite","additive","II",15,0.706884360659671,0.295863307252435,2,""
"(F) hermaphrodite","additive","III",27,1.61546759419278,0.0477997363153017,3,"*"
"(F) hermaphrodite","additive","IV",18,0.972063928075257,1,4,""
"(F) hermaphrodite","additive","V",12,0.52323922850349,0.0381560302992978,5,"*"
"(F) hermaphrodite","additive","X",7,0.968010223362313,1,6,""
"(F) hermaphrodite","C. briggsae dominant","I",15,0.584635283547274,0.0609834876030604,1,""
"(F) hermaphrodite","C. briggsae dominant","II",16,0.901970629793317,0.783820655785495,2,""
"(F) hermaphrodite","C. briggsae dominant","III",16,0.929450321611021,0.889594826233425,3,""
"(F) hermaphrodite","C. briggsae dominant","IV",17,1.06357415763974,0.778290554254753,4,""
"(F) hermaphrodite","C. briggsae dominant","V",15,0.806400771744514,0.5835514606547,5,""
"(F) hermaphrodite","C. briggsae dominant","X",18,3.89212352419457,2.05168295192561e-05,6,"*"
"(F) hermaphrodite","C. nigoni dominant","I",145,1.61700707560923,0.000476701727643907,1,"*"
"(F) hermaphrodite","C. nigoni dominant","II",105,1.35074408239245,0.0500035761803418,2,""
"(F) hermaphrodite","C. nigoni dominant","III",99,1.24242815014865,0.149672528500003,3,""
"(F) hermaphrodite","C. nigoni dominant","IV",77,0.808448021512159,0.189001144560441,4,""
"(F) hermaphrodite","C. nigoni dominant","V",78,0.699268706707144,0.0206021861838529,5,"*"
"(F) hermaphrodite","C. nigoni dominant","X",9,0.162135664091715,1.48686820872195e-09,6,"*"
"(F) hermaphrodite","overdominant","I",7,0.794971756825677,0.691822210805326,1,""
"(F) hermaphrodite","overdominant","II",8,1.3262965012906,0.506582174572423,2,""
"(F) hermaphrodite","overdominant","III",3,0.422325301374602,0.182174020407149,3,""
"(F) hermaphrodite","overdominant","IV",8,1.43958165443099,0.365168135985746,4,""
"(F) hermaphrodite","overdominant","V",8,1.28936028268997,0.513191953904361,5,""
"(F) hermaphrodite","overdominant","X",2,0.836287931653672,1,6,""
"(F) hermaphrodite","underdominant","I",79,0.708328095404152,0.0220239525878885,1,""
"(F) hermaphrodite","underdominant","II",66,0.829529649371371,0.270088645321709,2,""
"(F) hermaphrodite","underdominant","III",60,0.735438903868243,0.0674711382586998,3,""
"(F) hermaphrodite","underdominant","IV",74,1.14566641793189,0.418818586804617,4,""
"(F) hermaphrodite","underdominant","V",92,1.49105206631038,0.0098328944026696,5,"*"
"(F) hermaphrodite","underdominant","X",40,2.06565595900106,0.00210595513802382,6,"*"
"(M) hermaphrodite","no change","I",37,0.960303373413832,0.920921476688501,1,""
"(M) hermaphrodite","no change","II",33,1.1870401022496,0.443273962980321,2,""
"(M) hermaphrodite","no change","III",28,0.970284921095876,1,3,""
"(M) hermaphrodite","no change","IV",26,0.929592218631335,0.822611806501909,4,""
"(M) hermaphrodite","no change","V",31,1.05062745312001,0.828306790100113,5,""
"(M) hermaphrodite","no change","X",9,0.808195185694988,0.733955891578803,6,""
"(M) hermaphrodite","ambiguous","I",43,1.11284839204668,0.561387789966201,1,""
"(M) hermaphrodite","ambiguous","II",27,0.830410089352528,0.454419647988562,2,""
"(M) hermaphrodite","ambiguous","III",34,1.18658944750773,0.449361332783148,3,""
"(M) hermaphrodite","ambiguous","IV",35,1.3164636323817,0.187907941023413,4,""
"(M) hermaphrodite","ambiguous","V",24,0.688369802746686,0.112480742601898,5,""
"(M) hermaphrodite","ambiguous","X",10,0.858996725307118,0.742849476681193,6,""
"(M) hermaphrodite","additive","I",35,0.971057145180335,1,1,""
"(M) hermaphrodite","additive","II",30,1.13100178259857,0.574471839973713,2,""
"(M) hermaphrodite","additive","III",34,1.40379436971466,0.112344307350218,3,""
"(M) hermaphrodite","additive","IV",18,0.626984870090696,0.0830932866380622,4,""
"(M) hermaphrodite","additive","V",30,1.09604680398156,0.656757147567564,5,""
"(M) hermaphrodite","additive","X",7,0.65013422211345,0.382663252126978,6,""
"(M) hermaphrodite","C. briggsae dominant","I",11,0.36793836299549,0.000949008285164889,1,"*"
"(M) hermaphrodite","C. briggsae dominant","II",19,1.03131028687097,0.893826314656207,2,""
"(M) hermaphrodite","C. briggsae dominant","III",11,0.536254772879606,0.0583349330694897,3,""
"(M) hermaphrodite","C. briggsae dominant","IV",22,1.37588105982561,0.216394991319625,4,""
"(M) hermaphrodite","C. briggsae dominant","V",22,1.22288923235482,0.426765916542184,5,""
"(M) hermaphrodite","C. briggsae dominant","X",19,3.85850696672526,1.45373037009363e-05,6,"*"
"(M) hermaphrodite","C. nigoni dominant","I",111,1.44428029415239,0.00952865190820731,1,"*"
"(M) hermaphrodite","C. nigoni dominant","II",63,0.804709083153155,0.204212525376247,2,""
"(M) hermaphrodite","C. nigoni dominant","III",86,1.4911563569748,0.0104354647758669,3,"*"
"(M) hermaphrodite","C. nigoni dominant","IV",62,0.876743778949244,0.463919264183149,4,""
"(M) hermaphrodite","C. nigoni dominant","V",70,0.927395093054362,0.694164511567147,5,""
"(M) hermaphrodite","C. nigoni dominant","X",8,0.214062036816318,1.81400277448348e-06,6,"*"
"(M) hermaphrodite","overdominant","I",12,0.636898432683591,0.197664321248569,1,""
"(M) hermaphrodite","overdominant","II",13,0.996877428217126,1,2,""
"(M) hermaphrodite","overdominant","III",7,0.485380164312538,0.0793379947701157,3,""
"(M) hermaphrodite","overdominant","IV",10,0.780101024879423,0.627036829397696,4,""
"(M) hermaphrodite","overdominant","V",15,1.16919219957469,0.638940156925263,5,""
"(M) hermaphrodite","overdominant","X",16,4.73962556535509,6.84330338389998e-06,6,"*"
"(M) hermaphrodite","underdominant","I",38,0.946920130336452,0.845092981553084,1,""
