"","dim1","dim2","species","sex"
"Cbr_F1",0.349529093847839,-1.42340942899684,"Cbr","F"
"Cbr_F2",0.701208180279974,-1.00967231425264,"Cbr","F"
"Cbr_F3",0.447668923066897,-1.45226992274805,"Cbr","F"
"Cbr_M1",-2.39362741684169,-1.27314670539362,"Cbr","M"
"Cbr_M2",-2.68682957386742,-1.35204909057806,"Cbr","M"
"Cbr_M3",-2.15125011843704,-1.54728081530982,"Cbr","M"
"HF1_F1",3.01132574776184,-0.851701372407449,"HF1","F"
"HF1_F2",2.98926781385132,-0.93861746948642,"HF1","F"
"HF1_F3",2.99494602859112,-0.928468285108136,"HF1","F"
"HF1_M1",-0.536879344497838,-0.919053966219254,"HF1","M"
"HF1_M2",-0.212620765135676,-0.897158822187771,"HF1","M"
"HF1_M3",-0.480638560496278,-0.949341656795899,"HF1","M"
"Cni_F1",1.32286770073581,2.74775213513924,"Cni","F"
"Cni_F2",1.11676307714445,2.34142178072545,"Cni","F"
"Cni_F3",1.85702691998375,2.6072783523109,"Cni","F"
"Cni_M1",-2.04014127184016,2.13187270581074,"Cni","M"
"Cni_M2",-1.96624686900782,2.0790665137297,"Cni","M"
"Cni_M3",-2.32236956513906,1.63477836176793,"Cni","M"
