species,sex,chromosome,count,p.value,enrichment,chr.pseudo
Cbr,female,I,839,8.96507017673889e-27,1.70212892598477,1
Cbr,female,II,729,2.60248496999983e-06,1.26662704882186,2
Cbr,female,III,694,8.33152468057799e-12,1.43045683715237,3
Cbr,female,IV,733,1.40621432731759e-06,1.27424204265218,4
Cbr,female,V,619,3.26480695710872e-19,0.644714246328662,5
Cbr,female,X,326,1.03410869300624e-73,0.350978578381168,6
Cbr,male,I,582,0.0618851305525589,0.906275487989382,1
Cbr,male,II,646,0.353489115879321,1.04941202488214,2
Cbr,male,III,506,0.00575318269938255,0.857819066646309,3
Cbr,male,IV,594,0.0714834623855142,0.909785322956945,4
Cbr,male,V,832,0.0951839073373811,1.08165623098579,5
Cbr,male,X,726,0.000637181145822821,1.18556143896635,6
Cbr,no expression,I,12,0.479973447974883,0.772564102353433,1
Cbr,no expression,II,22,0.0662232494122966,1.5918761323567,2
Cbr,no expression,III,11,0.555447977925711,0.790830485709937,3
Cbr,no expression,IV,23,0.0346349896211211,1.68398176662341,4
Cbr,no expression,V,17,0.700177355036259,0.856016621956716,5
Cbr,no expression,X,9,0.0710706060776707,0.517650464777574,6
Cbr,sex-neutral,I,736,1.08674633773582e-16,0.66878431561032,1
Cbr,sex-neutral,II,806,2.57527664325599e-08,0.766190768286283,2
Cbr,sex-neutral,III,744,0.00018374279438086,0.828680468981561,3
Cbr,sex-neutral,IV,858,0.00146906855497185,0.859186945829074,4
Cbr,sex-neutral,V,1326,3.95922526140276e-11,1.32688489451049,5
Cbr,sex-neutral,X,1248,8.567601498359e-38,1.80486074853614,6
Cni,female,I,749,0.0218308117917286,1.14179821491129,1
Cni,female,II,723,0.422256240690276,1.04840104999491,2
Cni,female,III,695,0.00262666732910858,1.196652749473,3
Cni,female,IV,723,0.0215437141865417,1.14478765672033,4
Cni,female,V,764,0.0708682921327034,0.905655182736474,5
Cni,female,X,532,1.91931074943014e-11,0.667735514371487,6
Cni,male,I,710,0.0174000465238966,0.872299100141089,1
Cni,male,II,741,0.547451101211145,0.965743075793357,2
Cni,male,III,633,0.00289614043502963,0.836126699315545,3
Cni,male,IV,686,0.0270775469535059,0.878062330193827,4
Cni,male,V,873,0.132316588750356,1.08636206345353,5
Cni,male,X,797,1.27706657920117e-11,1.50282710368714,6
Cni,no expression,I,8,0.532381595009144,1.22801104646885,1
Cni,no expression,II,3,0.138279955787987,0.396683282413531,2
Cni,no expression,III,6,1,0.96979100252349,3
Cni,no expression,IV,5,0.66887487046078,0.73174954306424,4
Cni,no expression,V,13,0.0411821401189662,2.05548688985785,5
Cni,no expression,X,5,0.825868349254218,0.784391382407084,6
Cni,sex-neutral,I,702,1.07746798712003e-84,2.65152104064206,1
Cni,sex-neutral,II,736,6.81690602764096e-07,1.26717781314458,2
Cni,sex-neutral,III,621,2.19977169950357e-21,1.58510193938797,3
Cni,sex-neutral,IV,794,7.43992735625737e-07,1.26795713469956,4
Cni,sex-neutral,V,1144,2.09885421797978e-25,0.621430414409297,5
Cni,sex-neutral,X,975,1.7257791115979e-167,0.233302655245258,6
F1,female,I,1212,8.72147214404859e-13,0.697848404376765,1
F1,female,II,1005,0.00210523254573471,0.862976927817213,2
F1,female,III,1059,7.85788570645087e-33,0.551186881750978,3
F1,female,IV,990,0.00430283415870509,0.870890659905642,4
F1,female,V,854,6.23566294632594e-23,1.54598017124085,5
F1,female,X,397,1.6996127753444e-40,1.85663101640225,6
F1,male,I,719,1.69756616056614e-123,0.00574242912842366,1
F1,male,II,885,0.00540936320909841,0.813665735489452,2
F1,male,III,666,0.000863135681137768,1.25742240891057,3
F1,male,IV,875,0.00205171809972928,0.794617841975079,4
F1,male,V,1367,0.578064520699695,1.03742425770096,5
F1,male,X,1301,2.60823789033341e-69,2.88635940590954,6
F1,no expression,X,2,NA,NA,6
F1,sex-neutral,I,238,NA,NA,1
F1,sex-neutral,II,313,NA,NA,2
F1,sex-neutral,III,230,NA,NA,3
F1,sex-neutral,IV,343,NA,NA,4
F1,sex-neutral,V,573,NA,NA,5
F1,sex-neutral,X,609,NA,NA,6
