"sex","species_DE","chromosome","count","p.value","enrichment","chr.pseudo"
"female","briggsae sig","I",709,2.0836406928643e-19,1.61785048822378,1
"female","briggsae sig","II",715,1.57554062529174e-16,1.54635094470679,2
"female","briggsae sig","III",587,3.51340657811016e-07,1.33127492663837,3
"female","briggsae sig","IV",502,0.000217952477321832,0.812993657558426,4
"female","briggsae sig","V",701,0.41235334968284,0.959404558742359,5
"female","briggsae sig","X",298,9.06718256407502e-73,0.337744235931172,6
"female","nigoni sig","I",549,0.824802225582856,1.01204174623621,1
"female","nigoni sig","II",485,1.57793800503656e-05,0.784334938939442,2
"female","nigoni sig","III",497,0.931367147217505,0.993554259542813,3
"female","nigoni sig","IV",713,6.08061305605735e-14,1.48457253822835,4
"female","nigoni sig","V",611,4.05071746828619e-08,0.75559040542702,5
"female","nigoni sig","X",671,0.0183967787195077,1.13024562430821,6
"female","no sig","I",609,2.11739761086829e-18,0.631653280876113,1
"female","no sig","II",730,0.000157656666457061,0.824207430134597,2
"female","no sig","III",625,3.12001450103825e-06,0.777744272515031,3
"female","no sig","IV",745,0.000283550979951362,0.831518107191329,4
"female","no sig","V",1156,9.06597469800385e-09,1.29924840446558,5
"female","no sig","X",1174,4.54292159367699e-41,1.90237713478223,6
"male","briggsae sig","I",680,0.000101613253291723,1.22555791738068,1
"male","briggsae sig","II",697,2.59844305823357e-05,1.24429071418237,2
"male","briggsae sig","III",537,0.598727964067517,0.970589170677994,3
"male","briggsae sig","IV",476,3.57319772872095e-14,0.65758435513943,4
"male","briggsae sig","V",777,0.864993616147689,0.991311073326631,5
"male","nigoni sig","I",544,0.529288421574906,0.964669400481848,1
"male","nigoni sig","II",501,0.000452463764845387,0.821692070217792,2
"male","nigoni sig","III",494,0.690202121911634,0.976568071524376,3
"male","nigoni sig","IV",677,2.52649590344369e-09,1.37133956187457,4
"male","nigoni sig","V",688,0.169636648806143,0.932291593515361,5
"male","no sig","I",942,0.00320381325822301,0.867319170750101,1
"male","no sig","II",1005,0.46053905889064,0.96458785133806,2
"male","no sig","III",922,0.41043042051337,1.04310068395939,3
"male","no sig","IV",1050,0.167418566279056,1.06810748928916,4
"male","no sig","V",1324,0.168280472914436,1.06215578523801,5
