"sex","species_DE","chromosome","count","p.value","enrichment","chr.pseudo"
"female","briggsae sig","I",664,0.259100361298945,1.06154752258741,1
"female","briggsae sig","II",648,0.896314783558293,1.00739003340175,2
"female","briggsae sig","III",586,0.285685566819571,1.05935964065993,3
"female","briggsae sig","IV",642,0.183758438695063,1.07159498710644,4
"female","briggsae sig","V",737,7.52088185086081e-08,1.28534643798103,5
"female","briggsae sig","X",342,3.86035749800139e-22,0.590029416006007,6
"female","nigoni sig","I",497,0.00103156390357832,0.836937332388723,1
"female","nigoni sig","II",604,0.77258064663429,1.01499034568438,2
"female","nigoni sig","III",472,6.6797388253019e-06,0.772932558213149,3
"female","nigoni sig","IV",603,0.833480566561866,0.987344386809969,4
"female","nigoni sig","V",803,0.000787542260741703,0.84862007794615,5
"female","nigoni sig","X",1002,1.89826498331481e-26,1.69075527357843,6
"female","no sig","I",719,0.0632096841764097,1.09185200497253,1
"female","no sig","II",729,0.708712193686738,0.982449364213933,2
"female","no sig","III",679,0.00275366554715948,1.15846860791164,3
"female","no sig","IV",753,0.326744384921981,0.954913722821554,4
"female","no sig","V",1027,0.0579184759311549,0.921837425465924,5
"female","no sig","X",876,0.215842926294035,0.944403880552196,6
"male","briggsae sig","I",617,5.50107755594654e-10,1.39477281723547,1
"male","briggsae sig","II",608,0.000221674835211324,1.21582751834502,2
"male","briggsae sig","III",556,1.02482558530576e-05,1.27794721338621,3
"male","briggsae sig","IV",631,0.00200542627673986,1.17810695273832,4
"male","briggsae sig","V",881,0.526376924633175,0.968961343527465,5
"male","briggsae sig","X",450,8.48316048355815e-62,0.38269685230096,6
"male","nigoni sig","I",518,5.73551202234544e-09,0.724006460705485,1
"male","nigoni sig","II",595,0.0880218677780552,0.912462240496449,2
"male","nigoni sig","III",442,1.40220542020076e-06,0.758918186418981,3
"male","nigoni sig","IV",585,0.0413351826501749,0.896624031479272,4
"male","nigoni sig","V",677,0.29642606795116,0.950821981350953,5
"male","nigoni sig","X",829,1.67717583741259e-45,1.98380195958656,6
"male","no sig","I",1031,0.718889126360721,0.98120888898432,1
"male","no sig","II",1000,0.0699196010101861,0.911732410180618,2
"male","no sig","III",955,0.670761891448747,1.02303654973465,3
"male","no sig","IV",987,0.353351771598273,0.953749281261259,4
"male","no sig","V",1232,0.111019840375095,1.07595433879643,5
"male","no sig","X",1029,0.373486410736764,1.04362547482812,6
