"sex","models","models2","class","n","prop"
"female","briggsae female-biased interaction","B-F-I","additive",81,0.068936170212766
"female","briggsae female-biased interaction","B-F-I","ambiguous",25,0.0212765957446809
"female","briggsae female-biased interaction","B-F-I","C. briggsae dominant",227,0.193191489361702
"female","briggsae female-biased interaction","B-F-I","C. nigoni dominant",76,0.0646808510638298
"female","briggsae female-biased interaction","B-F-I","no change",10,0.00851063829787234
"female","briggsae female-biased interaction","B-F-I","overdominant",697,0.593191489361702
"female","briggsae female-biased interaction","B-F-I","underdominant",59,0.0502127659574468
"female","briggsae female-biased no_interaction","B-F-N","additive",52,0.0397857689364958
"female","briggsae female-biased no_interaction","B-F-N","ambiguous",36,0.0275439938791125
"female","briggsae female-biased no_interaction","B-F-N","C. briggsae dominant",158,0.12088752869166
"female","briggsae female-biased no_interaction","B-F-N","C. nigoni dominant",93,0.0711553175210406
"female","briggsae female-biased no_interaction","B-F-N","no change",11,0.00841622035195103
"female","briggsae female-biased no_interaction","B-F-N","overdominant",882,0.674827850038256
"female","briggsae female-biased no_interaction","B-F-N","underdominant",75,0.0573833205814843
"female","briggsae male-biased interaction","B-M-I","additive",98,0.102510460251046
"female","briggsae male-biased interaction","B-M-I","ambiguous",41,0.0428870292887029
"female","briggsae male-biased interaction","B-M-I","C. briggsae dominant",45,0.047071129707113
"female","briggsae male-biased interaction","B-M-I","C. nigoni dominant",581,0.607740585774059
"female","briggsae male-biased interaction","B-M-I","no change",16,0.0167364016736402
"female","briggsae male-biased interaction","B-M-I","overdominant",26,0.0271966527196653
"female","briggsae male-biased interaction","B-M-I","underdominant",149,0.155857740585774
"female","briggsae male-biased no_interaction","B-M-N","additive",31,0.0707762557077626
"female","briggsae male-biased no_interaction","B-M-N","ambiguous",70,0.159817351598174
"female","briggsae male-biased no_interaction","B-M-N","C. briggsae dominant",49,0.111872146118721
"female","briggsae male-biased no_interaction","B-M-N","C. nigoni dominant",134,0.305936073059361
"female","briggsae male-biased no_interaction","B-M-N","no change",33,0.0753424657534247
"female","briggsae male-biased no_interaction","B-M-N","overdominant",41,0.0936073059360731
"female","briggsae male-biased no_interaction","B-M-N","underdominant",80,0.182648401826484
"female","briggsae sex-neutral no_interaction","B-N-N","additive",86,0.0966292134831461
"female","briggsae sex-neutral no_interaction","B-N-N","ambiguous",66,0.0741573033707865
"female","briggsae sex-neutral no_interaction","B-N-N","C. briggsae dominant",112,0.125842696629213
"female","briggsae sex-neutral no_interaction","B-N-N","C. nigoni dominant",223,0.250561797752809
"female","briggsae sex-neutral no_interaction","B-N-N","no change",38,0.0426966292134831
