"sex","models","models2","type","n","prop"
"female","briggsae female-biased interaction","B-F-I","ambiguous",41,0.0350727117194183
"female","briggsae female-biased interaction","B-F-I","cis + trans (enhancing)",289,0.247219846022241
"female","briggsae female-biased interaction","B-F-I","cis x trans (compensatory)",294,0.251497005988024
"female","briggsae female-biased interaction","B-F-I","cis-only",172,0.147134302822926
"female","briggsae female-biased interaction","B-F-I","cis-trans (compensatory)",53,0.0453378956372968
"female","briggsae female-biased interaction","B-F-I","conserved",18,0.0153977758768178
"female","briggsae female-biased interaction","B-F-I","trans-only",302,0.258340461933276
"female","briggsae female-biased no_interaction","B-F-N","ambiguous",70,0.0537221795855718
"female","briggsae female-biased no_interaction","B-F-N","cis + trans (enhancing)",235,0.180353031465848
"female","briggsae female-biased no_interaction","B-F-N","cis x trans (compensatory)",347,0.266308518802763
"female","briggsae female-biased no_interaction","B-F-N","cis-only",256,0.19646968534152
"female","briggsae female-biased no_interaction","B-F-N","cis-trans (compensatory)",108,0.0828856485034536
"female","briggsae female-biased no_interaction","B-F-N","conserved",68,0.0521872601688411
"female","briggsae female-biased no_interaction","B-F-N","trans-only",219,0.168073676132003
"female","briggsae male-biased interaction","B-M-I","ambiguous",20,0.0743494423791822
"female","briggsae male-biased interaction","B-M-I","cis + trans (enhancing)",41,0.152416356877323
"female","briggsae male-biased interaction","B-M-I","cis x trans (compensatory)",21,0.0780669144981413
"female","briggsae male-biased interaction","B-M-I","cis-only",32,0.118959107806691
"female","briggsae male-biased interaction","B-M-I","cis-trans (compensatory)",10,0.0371747211895911
"female","briggsae male-biased interaction","B-M-I","conserved",28,0.104089219330855
"female","briggsae male-biased interaction","B-M-I","trans-only",117,0.434944237918216
"female","briggsae male-biased no_interaction","B-M-N","ambiguous",60,0.212765957446809
"female","briggsae male-biased no_interaction","B-M-N","cis + trans (enhancing)",33,0.117021276595745
"female","briggsae male-biased no_interaction","B-M-N","cis x trans (compensatory)",17,0.0602836879432624
"female","briggsae male-biased no_interaction","B-M-N","cis-only",65,0.230496453900709
"female","briggsae male-biased no_interaction","B-M-N","cis-trans (compensatory)",17,0.0602836879432624
"female","briggsae male-biased no_interaction","B-M-N","conserved",49,0.173758865248227
"female","briggsae male-biased no_interaction","B-M-N","trans-only",41,0.145390070921986
"female","briggsae sex-neutral no_interaction","B-N-N","ambiguous",128,0.144632768361582
"female","briggsae sex-neutral no_interaction","B-N-N","cis + trans (enhancing)",154,0.174011299435028
"female","briggsae sex-neutral no_interaction","B-N-N","cis x trans (compensatory)",103,0.11638418079096
"female","briggsae sex-neutral no_interaction","B-N-N","cis-only",211,0.238418079096045
"female","briggsae sex-neutral no_interaction","B-N-N","cis-trans (compensatory)",47,0.0531073446327684
"female","briggsae sex-neutral no_interaction","B-N-N","conserved",76,0.0858757062146893
"female","briggsae sex-neutral no_interaction","B-N-N","trans-only",166,0.187570621468927
"female","conserved female-biased no_interaction","C-F-N","ambiguous",278,0.281661600810537
"female","conserved female-biased no_interaction","C-F-N","cis + trans (enhancing)",12,0.0121580547112462
"female","conserved female-biased no_interaction","C-F-N","cis x trans (compensatory)",13,0.0131712259371834
