Geneid	SRR580389	SRR580390	SRR580391	SRR580392	SRR580393	SRR580394
I.g3305.t1	123	118	124	72	92	185
I.g3703.t1	22	19	38	0	4	2
X.g20706.t1	1	0	2	2	7	2
I.g2976.t2	1	4	7	14	14	15
I.g3421.t2	8	3	15	1	6	6
V.g13936.t1	128	102	133	64	79	71
I.g3695.t1	5	9	9	4	13	10
II.g5334.t1	17	18	28	5	5	4
I.g3692.t1	6	9	5	3	15	14
IV.g10696.t1	36	45	58	2	6	11
X.g19275.t1	1	1	0	4	0	0
V.g14379.t1	28	36	24	33	27	24
III.g9781.t1	59	80	90	33	75	65
III.g9971.t1	8	13	13	2	3	1
III.g9867.t1	0	0	0	1	0	0
III.g9787.t1	2055	2425	1998	99	151	262
II.g4676.t1	3	3	0	1	1	2
I.g1797.t1	335	340	308	762	1083	800
X.g22307.t1	2	1	0	0	0	0
I.g3123.t1	19	18	24	24	25	30
III.g9535.t1	35	29	46	3	8	14
I.g3834.t1	9	12	9	36	26	47
X.g22383.t1	54	50	63	63	53	63
X.g18739.t3	2	3	8	21	14	13
X.g21228.t1	8	7	7	5	4	6
III.g9821.t1	58	54	53	84	80	76
III.g9795.t1	90	92	80	25	46	48
III.g9782.t3	1196	1142	1088	406	676	594
III.g9794.t1	0	0	0	32	37	33
III.g9888.t1	1	0	0	0	1	1
II.g6557.t1	32	57	61	3	17	21
V.g14321.t1	15	15	15	7	13	9
V.g14458.t1	21	12	25	32	45	33
V.g17807.t1	13	14	5	19	7	14
V.g17995.t1	6	13	6	3	9	7
V.g17740.t1	5	15	3	316	9	158
V.g17739.t1	234	364	354	343	175	254
V.g17681.t1	0	0	2	1	0	0
V.g17683.t1	0	0	0	0	0	0
V.g17602.t1	709	1140	839	1114	992	861
III.g10281.t1	91	80	121	106	121	99
V.g17539.t1	71	120	130	112	30	102
V.g17540.t1	23	20	14	31	19	14
V.g17660.t1	50	42	25	69	115	76
V.g17663.t1	50	72	64	128	122	105
V.g17960.t1	19	19	17	14	12	19
V.g18448.t1	7	4	6	21	23	20
V.g17542.t1	5	9	17	30	5	29
V.g17508.t1	16	10	17	14	33	15
V.g17845.t1	7	10	10	22	29	16
V.g17752.t1	4	2	7	19	19	23
V.g17951.t1	54	43	52	67	72	57
V.g18019.t1	38	36	72	34	16	35
V.g18041.t1	0	2	5	10	4	4
V.g14722.t1	2	2	4	10	15	19
V.g18017.t1	0	0	0	0	0	0
V.g17808.t1	48	51	28	49	21	73
V.g17803.t1	35	42	25	62	65	46
V.g17805.t1	5	6	3	18	1	6
IV.g11198.t1	20	17	8	22	16	16
