Geneid	HF1_1_Cbr	HF1_2_Cbr	HF1_3_Cbr	HF1_1_Cni	HF1_2_Cni	HF1_3_Cni
CBRIG.I.g1002.t1__CNIGO.Cnig_chr_I.g494.t1	472	430	537	1484	1421	1373
CBRIG.I.g1021.t1__CNIGO.Cnig_chr_I.g522.t1	515	525	506	265	211	248
CBRIG.I.g1042.t3__CNIGO.Cnig_chr_I.g545.t2	584	550	499	229	311	307
CBRIG.I.g1066.t1__CNIGO.Cnig_chr_I.g568.t1	142	158	149	187	189	128
CBRIG.I.g1120.t1__CNIGO.Cnig_chr_I.g25.t1	112	96	107	300	321	434
CBRIG.I.g1149.t1__CNIGO.Cnig_chr_I.g635.t1	619	604	635	196	175	173
CBRIG.I.g1155.t1__CNIGO.Cnig_chr_I.g645.t1	717	713	658	125	78	85
CBRIG.I.g1176.t1__CNIGO.Cnig_chr_I.g674.t1	88	41	63	443	345	350
CBRIG.I.g1199.t1__CNIGO.Cnig_chr_I.g704.t1	699	655	785	259	263	223
CBRIG.I.g1237.t1__CNIGO.Cnig_chr_I.g783.t1	292	319	340	345	316	329
CBRIG.I.g1245.t1__CNIGO.Cnig_chr_I.g800.t1	220	177	195	79	104	94
CBRIG.I.g1269.t1__CNIGO.Cnig_chr_I.g836.t1	304	252	272	278	164	247
CBRIG.I.g1288.t1__CNIGO.Cnig_chr_I.g858.t1	220	278	203	969	1065	1115
CBRIG.I.g1306.t1__CNIGO.Cnig_chr_I.g872.t1	118	82	126	67	54	66
CBRIG.I.g1329.t1__CNIGO.Cnig_chr_I.g901.t2	222	258	217	94	149	115
CBRIG.I.g1336.t1__CNIGO.Cnig_chr_I.g908.t1	1074	1114	1088	396	371	324
CBRIG.I.g1357.t4__CNIGO.Cnig_chr_I.g953.t1	329	357	355	789	778	673
CBRIG.I.g1377.t3__CNIGO.Cnig_chr_I.g976.t2	1459	1319	1340	332	307	328
CBRIG.I.g1409.t2__CNIGO.Cnig_chr_I.g1006.t1	1011	975	1064	246	283	312
CBRIG.I.g1413.t1__CNIGO.Cnig_chr_I.g1010.t1	243	340	253	187	206	218
CBRIG.I.g1426.t2__CNIGO.Cnig_chr_I.g1025.t2	545	573	568	328	308	343
CBRIG.I.g1437.t2__CNIGO.Cnig_chr_I.g1037.t1	161	203	158	1507	1405	1538
CBRIG.I.g1441.t3__CNIGO.Cnig_chr_I.g1041.t3	438	507	465	2783	2662	2880
CBRIG.I.g1502.t1__CNIGO.Cnig_chr_I.g1114.t1	448	472	475	89	88	65
CBRIG.I.g1515.t2__CNIGO.Cnig_chr_I.g1127.t2	523	516	569	1686	1603	1796
CBRIG.I.g1538.t2__CNIGO.Cnig_chr_I.g1149.t1	75	61	125	169	181	179
CBRIG.I.g1543.t1__CNIGO.Cnig_chr_I.g1155.t1	46	39	48	34	75	33
CBRIG.I.g1582.t1__CNIGO.Cnig_chr_I.g1192.t1	242	238	270	136	86	154
CBRIG.I.g1585.t1__CNIGO.Cnig_chr_I.g1194.t1	706	670	612	309	413	258
