,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
I.g1000.t2__Cnig_chr_I.g492.t1,44696.6687616952,-2.9120205590801,0.158916338642813,-18.3242364123759,5.30202959160215e-75,4.15508479948776e-74
I.g1001.t1__Cnig_chr_I.g493.t1,18537.0680273189,-4.27085556055263,0.235564720560654,-18.1302851733817,1.8380349241378e-73,1.39009674018541e-72
I.g1002.t1__Cnig_chr_I.g494.t1,3447.72832366807,-2.90194012993797,0.201434277720891,-14.4063868511938,4.71752253187001e-47,1.92081628081754e-46
I.g1004.t3__Cnig_chr_I.g495.t1,1181.28084211003,-2.46615664151482,0.169000579123974,-14.5925928437542,3.1306915416188e-48,1.30870968306297e-47
I.g1007.t2__Cnig_chr_I.g499.t1,31.2847599012866,1.73482698911017,0.399599469186904,4.34141464862343,1.41568271393766e-05,2.18745036682764e-05
I.g1009.t1__Cnig_chr_I.g502.t2,780.95425092573,-2.95103057516888,0.167379050515519,-17.6308239656029,1.42869711873992e-69,9.82436404999375e-69
I.g1011.t2__Cnig_chr_I.g505.t3,1287.42182280685,-1.05354672457641,0.175083871878584,-6.01738305917186,1.77259279868063e-09,3.26063340116134e-09
I.g1012.t1__Cnig_chr_I.g506.t1,4618.71145175301,-3.16824347107908,0.219186263304067,-14.454571300775,2.34585826094011e-47,9.61181587926063e-47
I.g1014.t1__Cnig_chr_I.g512.t1,218.08733479868,-0.686779273377831,0.200393148398941,-3.42715945562468,0.000609930798189848,0.000851106873118786
I.g1015.t2__Cnig_chr_I.g514.t2,1260.31695691168,1.01502908572123,0.22158589341379,4.58074776369342,4.63316367741057e-06,7.35224251194816e-06
I.g1016.t1__Cnig_chr_I.g515.t1,2801.50513053698,-2.39225521087593,0.131327657151031,-18.2159284858388,3.85816822991279e-74,2.96561341505585e-73
I.g1017.t1__Cnig_chr_I.g516.t1,607.549425926336,-1.05180200264081,0.152433658647218,-6.9000640145693,5.19791109016199e-12,1.04172127609419e-11
I.g1018.t1__Cnig_chr_I.g519.t1,165.605296206479,0.928440901602699,0.189344772291567,4.90344090500168,9.41722826217276e-07,1.54528669774955e-06
I.g1019.t2__Cnig_chr_I.g521.t1,317.13212861982,-0.331734762552599,0.173239034084991,-1.91489616820334,0.0555057465934686,0.0658898198440444
I.g1021.t1__Cnig_chr_I.g522.t1,277.93500096003,0.870847932764,0.193702196657728,4.49580824477066,6.93061750908599e-06,1.08990774251985e-05
I.g1022.t1__Cnig_chr_I.g523.t1,10004.973569927,-2.67692409028931,0.147168713625119,-18.1894916681014,6.25172838328496e-74,4.76248984550132e-73
I.g1023.t1__Cnig_chr_I.g524.t2,751.587759525184,0.196865383444615,0.172687583432476,1.1400089081772,0.254282589859031,0.280352312040568
I.g1025.t1__Cnig_chr_I.g526.t2,3486.7590050797,0.299833596432313,0.113075080253114,2.65163284218899,0.00801035951791865,0.0102725839668359
I.g1026.t1__Cnig_chr_I.g528.t2,14099.644812192,-1.89711584316565,0.142630349868039,-13.3009268007886,2.28616801635992e-40,8.14798407503501e-40
I.g1030.t2__Cnig_chr_I.g530.t1,3846.40855609548,-2.52242158639517,0.199886776323756,-12.6192519224464,1.65384838016103e-36,5.51795363637773e-36
I.g1032.t1__Cnig_chr_I.g531.t1,1754.0881116851,-1.65582323311602,0.181923957932434,-9.10173267960114,8.89020283593657e-20,2.20092240143121e-19
I.g1035.t1__Cnig_chr_I.g533.t2,1040.13493331052,2.23346713489655,0.216842681994436,10.2999424022705,7.05035026485593e-25,1.93593588827176e-24
I.g1036.t3__Cnig_chr_I.g534.t4,2546.3525158996,-1.70111821393256,0.130282153823028,-13.0571852246419,5.78266055203543e-39,2.01256659743632e-38
I.g1037.t1__Cnig_chr_I.g535.t1,968.507434819038,-1.94178858643525,0.133448422329267,-14.5508545739427,5.76779827006712e-48,2.399319622045e-47
I.g1038.t3__Cnig_chr_I.g536.t1,4208.60860207941,-2.21600893804045,0.126385793250961,-17.5336869836326,7.92593035824443e-69,5.34774796462252e-68
I.g1040.t1__Cnig_chr_I.g542.t1,1959.8790850676,-5.2171710491687,0.187854382195379,-27.7724213201614,9.34317051579517e-170,8.38180744430151e-168
I.g1041.t1__Cnig_chr_I.g543.t1,37.6584301745264,1.07801455804587,0.384425097970607,2.80422522810488,0.00504376579623948,0.00657899276808126
I.g1042.t3__Cnig_chr_I.g545.t2,51.7159115860184,1.69950929332714,0.342494994141532,4.96214345435028,6.97194702898303e-07,1.15026581593724e-06
I.g1043.t1__Cnig_chr_I.g546.t3,6.98385856960913,2.3702117089137,0.865974984665338,2.73704408428112,0.00619939847615088,0.00802801496873631
I.g1045.t1__Cnig_chr_I.g547.t1,755.022273570224,4.15217056903494,0.205472457790613,20.2079179549515,8.33921895098198e-91,9.77760873736804e-90
I.g1046.t1__Cnig_chr_I.g548.t1,1811.98508981381,-2.69838999364656,0.156401961407506,-17.2529165834173,1.0639054432209e-66,6.81099278110805e-66
I.g1052.t1__Cnig_chr_I.g554.t1,1589.24390666704,0.337260464329393,0.115767699219454,2.91325185352496,0.003576859916652,0.00471885273059856
I.g1056.t1__Cnig_chr_I.g580.t3,7.30670523590366,-1.38606326614561,0.806305005703065,-1.71903095769203,0.0856087350889316,0.0996807029009198
I.g1057.t1__Cnig_chr_I.g579.t1,2927.5152483239,-1.55545973663947,0.137684930096567,-11.297240268405,1.35406556319174e-29,4.0393870093377e-29
I.g1059.t1__Cnig_chr_I.g578.t1,2151.60193813825,-2.6875222269834,0.150616947806527,-17.8434251000466,3.25141070515057e-71,2.32980748163075e-70
I.g1060.t1__Cnig_chr_I.g577.t3,742.40899468201,-1.848176254401,0.165642478590798,-11.1576225502319,6.57257444148765e-29,1.93864644352424e-28
I.g1061.t1__Cnig_chr_I.g576.t1,22424.1335231941,1.42415986351757,0.132023206698057,10.7871933967995,3.95689381657319e-27,1.13115731829753e-26
I.g1063.t1__Cnig_chr_I.g575.t1,994.695495843895,-3.20661268672749,0.222148545147611,-14.4345428172703,3.13719000708037e-47,1.28272032793247e-46
I.g1065.t1__Cnig_chr_I.g569.t3,2151.68329305032,-2.62411263451063,0.125966639618873,-20.8318062818076,2.22894619425749e-96,3.02426968207912e-95
I.g1066.t1__Cnig_chr_I.g568.t1,1324.17232370785,-2.0955723324178,0.145776020192054,-14.3752884024201,7.39613161443824e-47,2.99713672197563e-46
I.g1067.t1__Cnig_chr_I.g567.t1,2229.13573576552,-1.49047886701099,0.14882514902937,-10.0149664000461,1.3100641770874e-23,3.50550139693168e-23
I.g1069.t2__Cnig_chr_I.g566.t1,13444.8701594747,-5.81226148293068,0.332557035064785,-17.4774876790635,2.12664622680337e-68,1.41942965974991e-67
I.g1070.t1__Cnig_chr_I.g564.t2,378.824486066894,0.161875942260937,0.147136854660051,1.10017264291084,0.271256907767264,0.29798269510307
I.g1071.t1__Cnig_chr_I.g563.t1,210.941262400001,0.0832175265455452,0.189127289614761,0.440008032236138,0.659931289825689,0.683645298796862
I.g1072.t1__Cnig_chr_I.g562.t3,624.506109627673,-0.401437344082978,0.153069975140365,-2.62257404637887,0.00872683020508428,0.0111401476012478
I.g1075.t1__Cnig_chr_I.g72.t1,9.16613679127455,2.07298636893945,0.788961753466057,2.62748651608577,0.00860182508819938,0.0109918926907213
I.g1077.t3__Cnig_chr_I.g70.t2,615.814244021312,5.04031605581579,0.247926154537924,20.3299085778576,6.99326556543133e-92,8.40918600090138e-91
