# Program:featureCounts v2.0.1; Command:"featureCounts" "-t" "transcript" "-a" "nigoni.cds.small.gff" "-o" "counts/Cni_fc.counts.txt" "alignments/Cni_1_Cni.sorted.bam" "alignments/Cni_2_Cni.sorted.bam" "alignments/Cni_3_Cni.sorted.bam" "alignments/hf1_split/HF1_1_Cni.sorted.bam" "alignments/hf1_split/HF1_2_Cni.sorted.bam" "alignments/hf1_split/HF1_3_Cni.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	alignments/Cni_1_Cni.sorted.bam	alignments/Cni_2_Cni.sorted.bam	alignments/Cni_3_Cni.sorted.bam	alignments/hf1_split/HF1_1_Cni.sorted.bam	alignments/hf1_split/HF1_2_Cni.sorted.bam	alignments/hf1_split/HF1_3_Cni.sorted.bam
CBRIG.I.g1002.t1__CNIGO.Cnig_chr_I.g494.t1	CNIGO.Cnig_chr_I.g494.t1	1	2478	+	2478	6127	5805	5642	1484	1421	1373
CBRIG.I.g1021.t1__CNIGO.Cnig_chr_I.g522.t1	CNIGO.Cnig_chr_I.g522.t1	1	1173	+	1173	555	403	435	265	211	248
CBRIG.I.g1042.t3__CNIGO.Cnig_chr_I.g545.t2	CNIGO.Cnig_chr_I.g545.t2	1	1455	+	1455	1590	1669	1745	229	311	307
CBRIG.I.g1066.t1__CNIGO.Cnig_chr_I.g568.t1	CNIGO.Cnig_chr_I.g568.t1	1	822	+	822	357	322	337	187	189	128
CBRIG.I.g1120.t1__CNIGO.Cnig_chr_I.g25.t1	CNIGO.Cnig_chr_I.g25.t1	1	471	+	471	354	348	337	300	321	434
CBRIG.I.g1149.t1__CNIGO.Cnig_chr_I.g635.t1	CNIGO.Cnig_chr_I.g635.t1	1	852	+	852	316	355	336	196	175	173
CBRIG.I.g1155.t1__CNIGO.Cnig_chr_I.g645.t1	CNIGO.Cnig_chr_I.g645.t1	1	411	+	411	108	143	143	125	78	85
CBRIG.I.g1176.t1__CNIGO.Cnig_chr_I.g674.t1	CNIGO.Cnig_chr_I.g674.t1	1	279	+	279	703	536	520	443	345	350
CBRIG.I.g1199.t1__CNIGO.Cnig_chr_I.g704.t1	CNIGO.Cnig_chr_I.g704.t1	1	1194	+	1194	575	426	539	259	263	223
CBRIG.I.g1237.t1__CNIGO.Cnig_chr_I.g783.t1	CNIGO.Cnig_chr_I.g783.t1	1	1623	+	1623	1215	1215	1409	345	316	329
CBRIG.I.g1245.t1__CNIGO.Cnig_chr_I.g800.t1	CNIGO.Cnig_chr_I.g800.t1	1	489	+	489	419	374	378	79	104	94
CBRIG.I.g1269.t1__CNIGO.Cnig_chr_I.g836.t1	CNIGO.Cnig_chr_I.g836.t1	1	1284	+	1284	3089	3224	3091	278	164	247
CBRIG.I.g1288.t1__CNIGO.Cnig_chr_I.g858.t1	CNIGO.Cnig_chr_I.g858.t1	1	1356	+	1356	2752	2725	2776	969	1065	1115
CBRIG.I.g1306.t1__CNIGO.Cnig_chr_I.g872.t1	CNIGO.Cnig_chr_I.g872.t1	1	408	+	408	134	140	191	67	54	66
CBRIG.I.g1329.t1__CNIGO.Cnig_chr_I.g901.t2	CNIGO.Cnig_chr_I.g901.t2	1	612	+	612	256	228	187	94	149	115
CBRIG.I.g1336.t1__CNIGO.Cnig_chr_I.g908.t1	CNIGO.Cnig_chr_I.g908.t1	1	1746	+	1746	718	762	707	396	371	324
CBRIG.I.g1357.t4__CNIGO.Cnig_chr_I.g953.t1	CNIGO.Cnig_chr_I.g953.t1	1	1788	+	1788	725	741	713	789	778	673
CBRIG.I.g1377.t3__CNIGO.Cnig_chr_I.g976.t2	CNIGO.Cnig_chr_I.g976.t2	1	1671	+	1671	620	722	646	332	307	328
CBRIG.I.g1409.t2__CNIGO.Cnig_chr_I.g1006.t1	CNIGO.Cnig_chr_I.g1006.t1	1	1278	+	1278	1094	1111	1031	246	283	312
CBRIG.I.g1413.t1__CNIGO.Cnig_chr_I.g1010.t1	CNIGO.Cnig_chr_I.g1010.t1	1	1098	+	1098	906	920	956	187	206	218
CBRIG.I.g1426.t2__CNIGO.Cnig_chr_I.g1025.t2	CNIGO.Cnig_chr_I.g1025.t2	1	1560	+	1560	637	700	634	328	308	343
CBRIG.I.g1437.t2__CNIGO.Cnig_chr_I.g1037.t1	CNIGO.Cnig_chr_I.g1037.t1	1	855	+	855	654	731	691	1507	1405	1538
CBRIG.I.g1441.t3__CNIGO.Cnig_chr_I.g1041.t3	CNIGO.Cnig_chr_I.g1041.t3	1	2010	+	2010	840	930	735	2783	2662	2880
CBRIG.I.g1502.t1__CNIGO.Cnig_chr_I.g1114.t1	CNIGO.Cnig_chr_I.g1114.t1	1	438	+	438	127	179	159	89	88	65
CBRIG.I.g1515.t2__CNIGO.Cnig_chr_I.g1127.t2	CNIGO.Cnig_chr_I.g1127.t2	1	2763	+	2763	1165	1061	1088	1686	1603	1796
CBRIG.I.g1538.t2__CNIGO.Cnig_chr_I.g1149.t1	CNIGO.Cnig_chr_I.g1149.t1	1	381	+	381	402	462	454	169	181	179
CBRIG.I.g1543.t1__CNIGO.Cnig_chr_I.g1155.t1	CNIGO.Cnig_chr_I.g1155.t1	1	237	+	237	161	201	172	34	75	33
CBRIG.I.g1582.t1__CNIGO.Cnig_chr_I.g1192.t1	CNIGO.Cnig_chr_I.g1192.t1	1	714	+	714	300	270	257	136	86	154
CBRIG.I.g1585.t1__CNIGO.Cnig_chr_I.g1194.t1	CNIGO.Cnig_chr_I.g1194.t1	1	1677	+	1677	610	753	647	309	413	258
CBRIG.I.g1588.t3__CNIGO.Cnig_chr_I.g1197.t1	CNIGO.Cnig_chr_I.g1197.t1	1	2112	+	2112	791	850	818	447	418	538
CBRIG.I.g1627.t1__CNIGO.Cnig_chr_I.g1233.t1	CNIGO.Cnig_chr_I.g1233.t1	1	1428	+	1428	1813	1746	1852	230	255	288
CBRIG.I.g1631.t1__CNIGO.Cnig_chr_I.g1237.t2	CNIGO.Cnig_chr_I.g1237.t2	1	2382	+	2382	4794	4818	4854	1710	1954	1851
