,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,CniF
I.g1000.t2__Cnig_chr_I.g492.t1,26166.8541554154,0.53551005341884,0.0532487016704381,10.0567720267279,8.57643802478456e-24,6.76438538273091e-23,1
I.g1001.t1__Cnig_chr_I.g493.t1,11693.339556172,0.601265814856452,0.0537613515546552,11.1839787778622,4.88496653536564e-29,4.6914045931111e-28,1
I.g1002.t1__Cnig_chr_I.g494.t1,1987.11493868841,-0.858337401938837,0.117613895092433,-7.29792514110912,2.92239142947238e-13,1.44832846889e-12,-1
I.g1004.t3__Cnig_chr_I.g495.t1,671.628967611709,2.02374580915488,0.112010714641575,18.0674305635018,5.753139128022e-73,1.54370088683613e-71,1
I.g1007.t2__Cnig_chr_I.g499.t1,4.87591024549841,-0.674027758467586,0.879011220385139,-0.766802223721628,0.44319911404925,0.545456878502793,0
I.g1009.t1__Cnig_chr_I.g502.t2,454.171258198932,-0.348586896708693,0.111056306797669,-3.13883026331656,0.00169623670121527,0.00375052702938925,-1
I.g1011.t2__Cnig_chr_I.g505.t3,579.632568554614,1.29812735432003,0.153863858512953,8.43685688677012,3.25985209565775e-17,1.97795137206607e-16,1
I.g1012.t1__Cnig_chr_I.g506.t1,2722.41233403459,-0.638122491219389,0.075668468839791,-8.43313603411816,3.36523136172585e-17,2.04002751923518e-16,-1
I.g1014.t1__Cnig_chr_I.g512.t1,87.6393173888938,-1.07138570057956,0.251329585759939,-4.26287138993223,2.01816684922928e-05,5.59726291323101e-05,-1
I.g1015.t2__Cnig_chr_I.g514.t2,272.078430765512,-1.04152621315252,0.145934438369367,-7.13694604776127,9.5427278287089e-13,4.59392935922115e-12,-1
I.g1016.t1__Cnig_chr_I.g515.t1,1547.62758491976,-0.233682751291497,0.0738040591894014,-3.16625879196974,0.00154413349807598,0.00343249893245945,-1
I.g1017.t1__Cnig_chr_I.g516.t1,268.447385203772,-0.585857956149558,0.132713977569395,-4.41444048983626,1.01271568557668e-05,2.89079942742949e-05,-1
I.g1018.t1__Cnig_chr_I.g519.t1,37.2075096284853,-0.927748338767874,0.390713237669141,-2.37449937530271,0.0175727659472628,0.0328456905870454,-1
