# Program:featureCounts v2.0.1; Command:"featureCounts" "-t" "transcript" "-a" "references/annotations/nigoni.chr.transcript.ortho.gff" "-o" "counts/Cni_fc.counts.txt" "STAR/BAM/9F1_Cni.bam" "STAR/BAM/9F2_Cni.bam" "STAR/BAM/9F3_Cni.bam" "STAR/BAM/9M1_Cni.bam" "STAR/BAM/9M2_Cni.bam" "STAR/BAM/9M3_Cni.bam" 
Geneid	Chr	Start	End	Strand	Length	STAR/BAM/9F1_Cni.bam	STAR/BAM/9F2_Cni.bam	STAR/BAM/9F3_Cni.bam	STAR/BAM/9M1_Cni.bam	STAR/BAM/9M2_Cni.bam	STAR/BAM/9M3_Cni.bam
Cnig_chr_I.g3113.t1	Cnig_chr_I	12871794	12873948	-	2155	91	51	58	103	73	79
Cnig_chr_I.g3707.t1	Cnig_chr_I	15599360	15601300	+	1941	2	3	0	4	4	1
Cnig_chr_X.g24597.t2	Cnig_chr_X	12856543	12857614	-	1072	1	2	7	10	7	10
Cnig_chr_I.g2602.t1	Cnig_chr_I	10717418	10717717	-	300	5	0	0	10	16	10
Cnig_chr_I.g3279.t1	Cnig_chr_I	13534389	13534994	+	606	2	2	1	30	26	37
Cnig_chr_V.g16389.t1	Cnig_chr_V	308129	309632	+	1504	86	60	63	92	102	84
Cnig_chr_I.g3672.t1	Cnig_chr_I	15510939	15512605	-	1667	1	1	0	5	3	5
Cnig_chr_II.g5670.t1	Cnig_chr_II	8385651	8386683	-	1033	0	0	0	8	4	3
Cnig_chr_I.g3673.t1	Cnig_chr_I	15513145	15514807	+	1663	0	1	0	7	6	6
Cnig_chr_IV.g12504.t2	Cnig_chr_IV	2532328	2533501	+	1174	2	0	0	1	11	1
Cnig_chr_X.g23029.t1	Cnig_chr_X	4546497	4547668	-	1172	26	20	39	201	167	203
Cnig_chr_V.g21644.t1	Cnig_chr_V	19650492	19651469	+	978	0	1	0	0	2	1
Cnig_chr_III.g11131.t1	Cnig_chr_III	11520369	11521211	-	843	0	0	0	0	0	1
Cnig_chr_III.g11373.t1	Cnig_chr_III	12635755	12636396	+	642	0	0	0	0	0	0
Cnig_chr_III.g11278.t1	Cnig_chr_III	12172613	12172876	-	264	0	0	0	0	0	0
Cnig_chr_III.g11168.t1	Cnig_chr_III	11645575	11646507	+	933	242	512	397	5	3	6
Cnig_chr_II.g5007.t1	Cnig_chr_II	5405427	5406510	-	1084	3	2	7	2	0	12
Cnig_chr_I.g1413.t2	Cnig_chr_I	6368921	6371097	+	2177	457	482	399	609	607	554
Cnig_chr_X.g26577.t1	Cnig_chr_X	23062043	23063091	+	1049	4	1	8	9	5	6
Cnig_chr_I.g2779.t1	Cnig_chr_I	11535742	11538629	-	2888	19	4	14	21	35	15
Cnig_chr_III.g10898.t1	Cnig_chr_III	10611918	10615573	+	3656	0	0	0	1	0	0
Cnig_chr_I.g3861.t1	Cnig_chr_I	16292195	16294342	-	2148	16	14	14	26	20	29
Cnig_chr_X.g26707.t1	Cnig_chr_X	23612115	23614085	-	1971	0	2	2	14	7	5
Cnig_chr_X.g22394.t1	Cnig_chr_X	1058033	1059185	+	1153	4	2	4	36	33	36
Cnig_chr_X.g25208.t1	Cnig_chr_X	16119393	16120696	+	1304	11	11	9	6	7	10
Cnig_chr_III.g11212.t1	Cnig_chr_III	11821693	11823965	+	2273	160	126	143	237	184	193
Cnig_chr_III.g11175.t1	Cnig_chr_III	11668748	11668993	-	246	0	0	0	3	1	6
Cnig_chr_III.g11137.t1	Cnig_chr_III	11538692	11539914	-	1223	472	570	566	340	321	319
Cnig_chr_III.g11174.t1	Cnig_chr_III	11663340	11666128	-	2789	0	1	0	45	43	85
Cnig_chr_III.g11297.t1	Cnig_chr_III	12313841	12315282	-	1442	2	0	0	0	1	1
Cnig_chr_II.g6968.t1	Cnig_chr_II	13634336	13635915	+	1580	4	4	11	26	24	32
Cnig_chr_V.g16909.t1	Cnig_chr_V	2143481	2145242	+	1762	5	3	0	1	0	0
Cnig_chr_V.g17072.t1	Cnig_chr_V	2848715	2849375	+	661	176	166	198	151	163	140
Cnig_chr_V.g21044.t1	Cnig_chr_V	17608422	17609642	+	1221	44	69	47	90	58	80
Cnig_chr_V.g21347.t1	Cnig_chr_V	18531868	18532653	-	786	11	7	14	5	5	5
Cnig_chr_V.g20922.t1	Cnig_chr_V	17196501	17197593	-	1093	7	2	3	7	2	6
Cnig_chr_V.g20921.t1	Cnig_chr_V	17194868	17196315	-	1448	122	139	95	120	154	124
Cnig_chr_V.g20858.t1	Cnig_chr_V	16964921	16966035	+	1115	95	138	136	70	138	135
Cnig_chr_V.g20859.t1	Cnig_chr_V	16966180	16967751	+	1572	39	48	38	27	46	49
Cnig_chr_V.g20733.t2	Cnig_chr_V	16518081	16519158	-	1078	461	405	626	279	424	487
Cnig_chr_III.g11793.t1	Cnig_chr_III	14894009	14895251	+	1243	20	23	17	10	16	19
Cnig_chr_V.g20664.t1	Cnig_chr_V	16286373	16287207	-	835	122	84	81	97	113	137
Cnig_chr_V.g20665.t1	Cnig_chr_V	16287310	16288446	-	1137	43	39	19	32	20	30
Cnig_chr_V.g20813.t1	Cnig_chr_V	16834964	16838303	-	3340	229	215	212	232	211	221
Cnig_chr_V.g20814.t2	Cnig_chr_V	16838435	16840235	-	1801	114	114	82	145	138	124
Cnig_chr_V.g21303.t1	Cnig_chr_V	18303789	18307011	-	3223	19	20	24	19	20	37
Cnig_chr_V.g22011.t1	Cnig_chr_V	21411542	21412695	+	1154	5	5	7	12	27	25
Cnig_chr_V.g20669.t2	Cnig_chr_V	16294990	16296370	+	1381	275	206	124	121	192	193
Cnig_chr_V.g20626.t1	Cnig_chr_V	16205060	16206229	-	1170	61	45	43	47	50	46
Cnig_chr_V.g21274.t1	Cnig_chr_V	18206068	18207242	+	1175	23	31	12	15	24	18
Cnig_chr_V.g20948.t1	Cnig_chr_V	17283512	17284710	-	1199	241	195	234	314	257	316
Cnig_chr_V.g21282.t1	Cnig_chr_V	18224210	18225874	+	1665	139	121	102	52	83	48
Cnig_chr_V.g21388.t2	Cnig_chr_V	18668691	18670431	+	1741	42	41	41	41	39	34
Cnig_chr_V.g21413.t1	Cnig_chr_V	18742780	18743602	+	823	15	25	19	9	22	31
Cnig_chr_V.g17414.t1	Cnig_chr_V	4197070	4198057	+	988	32	20	30	39	33	24
Cnig_chr_V.g21387.t1	Cnig_chr_V	18666919	18668182	+	1264	472	400	299	281	313	299
Cnig_chr_V.g21045.t1	Cnig_chr_V	17610516	17611500	+	985	124	102	106	233	126	217
Cnig_chr_V.g21042.t2	Cnig_chr_V	17604528	17606576	+	2049	41	38	45	132	113	109
Cnig_chr_V.g21043.t1	Cnig_chr_V	17607600	17608244	-	645	22	23	21	26	31	35
Cnig_chr_IV.g13083.t1	Cnig_chr_IV	5727298	5729361	-	2064	48	65	68	23	57	27
Cnig_chr_V.g18138.t1	Cnig_chr_V	7010778	7011502	-	725	114	105	93	110	113	86
Cnig_chr_V.g21048.t1	Cnig_chr_V	17614865	17615941	+	1077	15	16	17	22	36	31
Cnig_chr_V.g21053.t1	Cnig_chr_V	17625323	17626862	-	1540	5	3	2	115	107	157
Cnig_chr_V.g20438.t2	Cnig_chr_V	15529875	15532497	-	2623	154	186	196	132	103	129
Cnig_chr_IV.g16024.t3	Cnig_chr_IV	19316445	19318761	+	2317	73	59	63	165	154	172
Cnig_chr_V.g18136.t2	Cnig_chr_V	7006507	7008315	-	1809	229	208	177	91	138	123
Cnig_chr_V.g20552.t1	Cnig_chr_V	15951560	15952588	+	1029	3	0	1	1	1	3
Cnig_chr_IV.g12138.t1	Cnig_chr_IV	704636	710676	+	6041	140	157	126	74	62	61
Cnig_chr_X.g22474.t1	Cnig_chr_X	1479159	1480811	+	1653	0	0	0	25	34	23
Cnig_chr_II.g8014.t2	Cnig_chr_II	17877122	17883033	-	5912	26	29	27	143	152	106
Cnig_chr_II.g5147.t1	Cnig_chr_II	6010924	6013029	-	2106	3	3	3	1	2	1
Cnig_chr_II.g8131.t1	Cnig_chr_II	18323040	18324254	+	1215	38	17	16	54	55	43
