"gene","sex","class","chromosome","logFC.F1.vs.briggsae","logFC.F1.vs.nigoni","F1_dist_from_zero"
"I.g1000.t2__Cnig_chr_I.g492.t1","female","overdominant","I",1.68238768841343,0.938079444053424,1.92624540946388
"I.g1001.t1__Cnig_chr_I.g493.t1","female","overdominant","I",2.00650738466509,1.75246476251194,2.66405792515132
"I.g1002.t1__Cnig_chr_I.g494.t1","female","overdominant","I",1.64285818535469,0.531885537393886,1.72681360953511
"I.g1004.t3__Cnig_chr_I.g495.t1","female","overdominant","I",2.43713499542554,0.768211200761413,2.55534252790172
"I.g1007.t2__Cnig_chr_I.g499.t1","female","underdominant","I",-3.09489108981916,-2.64551156450446,4.07149632147309
"I.g1009.t1__Cnig_chr_I.g502.t2","female","overdominant","I",0.413483760462879,0.705496500498884,0.817737202518447
"I.g1011.t2__Cnig_chr_I.g505.t3","female","C. nigoni dominant","I",1.34676547625424,-0.135324795202878,1.35354720945633
"I.g1012.t1__Cnig_chr_I.g506.t1","female","overdominant","I",1.26423827916512,1.66030014910685,2.08683852073672
"I.g1014.t1__Cnig_chr_I.g512.t1","female","additive","I",-2.09604248005505,1.20717009739359,2.41881246115456
"I.g1015.t2__Cnig_chr_I.g514.t2","female","C. briggsae dominant","I",-0.386462670141932,-2.6156348755471,2.64403086169423
"I.g1016.t1__Cnig_chr_I.g515.t1","female","overdominant","I",1.24051695750842,0.672104057692434,1.41088843862035
"I.g1017.t1__Cnig_chr_I.g516.t1","female","overdominant","I",1.40729547045278,1.54814508436312,2.09218396499797
"I.g1018.t1__Cnig_chr_I.g519.t1","female","underdominant","I",-1.72644389140341,-1.06790280463763,2.03003076585481
"I.g1019.t2__Cnig_chr_I.g521.t1","female","ambiguous","I",-0.392707545978534,-0.951921573956083,1.02974457980196
"I.g1021.t1__Cnig_chr_I.g522.t1","female","underdominant","I",-1.22841259649777,-2.64515594022359,2.91647860532775
"I.g1022.t1__Cnig_chr_I.g523.t1","female","overdominant","I",1.10021999606898,1.19314049054282,1.62298129068785
"I.g1023.t1__Cnig_chr_I.g524.t2","female","overdominant","I",9.41923319306185,5.80677444178586,11.0652873149799
"I.g1025.t1__Cnig_chr_I.g526.t2","female","ambiguous","I",0.668129253616934,0.311289046644587,0.737087220144005
"I.g1026.t1__Cnig_chr_I.g528.t2","female","C. nigoni dominant","I",0.803236368072883,0.0608923143648706,0.805541145407003
"I.g1030.t2__Cnig_chr_I.g530.t1","female","C. nigoni dominant","I",2.94495951318992,0.178396109047993,2.95035789456996
"I.g1032.t1__Cnig_chr_I.g531.t1","female","overdominant","I",1.17013496032132,0.914935923167842,1.48536984245311
"I.g1035.t1__Cnig_chr_I.g533.t2","female","additive","I",-3.33857223312569,2.95943304700466,4.46142449398184
"I.g1036.t3__Cnig_chr_I.g534.t4","female","ambiguous","I",0.656461528805264,0.178289504289124,0.680241785059553
"I.g1037.t1__Cnig_chr_I.g535.t1","female","C. briggsae dominant","I",-0.340738937197507,0.449890043499055,0.564361652278101
"I.g1038.t3__Cnig_chr_I.g536.t1","female","overdominant","I",0.791866522538024,0.631683435713824,1.01295436840545
