Geneid	BF1_Cbr	BF2_Cbr	BF3_Cbr	BM1_Cbr	BM2_Cbr	BM3_Cbr	9F1_Cni	9F2_Cni	9F3_Cni	9M1_Cni	9M2_Cni	9M3_Cni
I.g3305.t1__Cnig_chr_I.g3113.t1	131	107	90	39	26	44	91	51	58	103	73	79
I.g3703.t1__Cnig_chr_I.g3707.t1	3	14	7	1	3	5	2	3	0	4	4	1
X.g20706.t1__Cnig_chr_X.g24597.t2	1	1	0	3	0	1	1	2	7	10	7	10
I.g2976.t2__Cnig_chr_I.g2602.t1	11	3	4	37	20	22	5	0	0	10	16	10
I.g3421.t2__Cnig_chr_I.g3279.t1	1	11	5	3	1	12	2	2	1	30	26	37
V.g13936.t1__Cnig_chr_V.g16389.t1	312	226	187	119	86	146	86	60	63	92	102	84
I.g3695.t1__Cnig_chr_I.g3672.t1	12	5	10	12	6	10	1	1	0	5	3	5
II.g5334.t1__Cnig_chr_II.g5670.t1	14	21	8	2	0	1	0	0	0	8	4	3
I.g3692.t1__Cnig_chr_I.g3673.t1	13	6	11	10	9	15	0	1	0	7	6	6
IV.g10696.t1__Cnig_chr_IV.g12504.t2	33	14	28	2	0	8	2	0	0	1	11	1
X.g19275.t1__Cnig_chr_X.g23029.t1	1	1	0	3	0	3	26	20	39	201	167	203
V.g14379.t1__Cnig_chr_V.g21644.t1	73	45	32	74	38	42	0	1	0	0	2	1
III.g9781.t1__Cnig_chr_III.g11131.t1	84	76	68	75	60	67	0	0	0	0	0	1
III.g9971.t1__Cnig_chr_III.g11373.t1	2	5	1	0	0	0	0	0	0	0	0	0
III.g9867.t1__Cnig_chr_III.g11278.t1	5	0	0	3	0	1	0	0	0	0	0	0
III.g9787.t1__Cnig_chr_III.g11168.t1	3075	2688	3051	205	90	638	242	512	397	5	3	6
II.g4676.t1__Cnig_chr_II.g5007.t1	2	3	2	1	4	1	3	2	7	2	0	12
I.g1797.t1__Cnig_chr_I.g1413.t2	1218	1136	1378	1185	978	1088	457	482	399	609	607	554
X.g22307.t1__Cnig_chr_X.g26577.t1	1	1	1	0	0	0	4	1	8	9	5	6
I.g3123.t1__Cnig_chr_I.g2779.t1	34	20	16	30	40	26	19	4	14	21	35	15
III.g9535.t1__Cnig_chr_III.g10898.t1	41	29	21	3	1	2	0	0	0	1	0	0
I.g3834.t1__Cnig_chr_I.g3861.t1	31	16	18	53	97	60	16	14	14	26	20	29
X.g22383.t1__Cnig_chr_X.g26707.t1	112	51	76	48	27	71	0	2	2	14	7	5
X.g18739.t3__Cnig_chr_X.g22394.t1	8	4	3	33	12	35	4	2	4	36	33	36
X.g21228.t1__Cnig_chr_X.g25208.t1	6	5	4	11	10	1	11	11	9	6	7	10
III.g9821.t1__Cnig_chr_III.g11212.t1	102	73	81	165	100	118	160	126	143	237	184	193
III.g9795.t1__Cnig_chr_III.g11175.t1	96	63	65	59	32	41	0	0	0	3	1	6
III.g9782.t3__Cnig_chr_III.g11137.t1	1943	1297	1495	622	509	766	472	570	566	340	321	319
III.g9794.t1__Cnig_chr_III.g11174.t1	1	5	1	49	36	38	0	1	0	45	43	85
III.g9888.t1__Cnig_chr_III.g11297.t1	0	0	0	2	3	0	2	0	0	0	1	1
II.g6557.t1__Cnig_chr_II.g6968.t1	15	40	17	12	7	12	4	4	11	26	24	32
V.g14321.t1__Cnig_chr_V.g16909.t1	14	21	20	22	82	26	5	3	0	1	0	0
V.g14458.t1__Cnig_chr_V.g17072.t1	54	31	47	50	30	57	176	166	198	151	163	140
