gene_id	HF1_1_Cbr	HF1_1_Cni
CBRIG.I.g1002.t1__CNIGO.Cnig_chr_I.g494.t1	477	1491
CBRIG.I.g1021.t1__CNIGO.Cnig_chr_I.g522.t1	514	266
CBRIG.I.g1042.t3__CNIGO.Cnig_chr_I.g545.t2	584	234
CBRIG.I.g1066.t1__CNIGO.Cnig_chr_I.g568.t1	147	193
CBRIG.I.g1120.t1__CNIGO.Cnig_chr_I.g25.t1	110	301
CBRIG.I.g1149.t1__CNIGO.Cnig_chr_I.g635.t1	620	197
CBRIG.I.g1155.t1__CNIGO.Cnig_chr_I.g645.t1	717	125
CBRIG.I.g1176.t1__CNIGO.Cnig_chr_I.g674.t1	88	443
CBRIG.I.g1199.t1__CNIGO.Cnig_chr_I.g704.t1	712	265
CBRIG.I.g1237.t1__CNIGO.Cnig_chr_I.g783.t1	292	345
CBRIG.I.g1245.t1__CNIGO.Cnig_chr_I.g800.t1	220	80
CBRIG.I.g1269.t1__CNIGO.Cnig_chr_I.g836.t1	320	298
CBRIG.I.g1288.t1__CNIGO.Cnig_chr_I.g858.t1	227	861
CBRIG.I.g1306.t1__CNIGO.Cnig_chr_I.g872.t1	118	69
CBRIG.I.g1329.t1__CNIGO.Cnig_chr_I.g901.t2	226	96
CBRIG.I.g1336.t1__CNIGO.Cnig_chr_I.g908.t1	1079	404
CBRIG.I.g1357.t4__CNIGO.Cnig_chr_I.g953.t1	360	790
CBRIG.I.g1377.t3__CNIGO.Cnig_chr_I.g976.t2	1471	341
CBRIG.I.g1409.t2__CNIGO.Cnig_chr_I.g1006.t1	1010	247
CBRIG.I.g1413.t1__CNIGO.Cnig_chr_I.g1010.t1	249	192
CBRIG.I.g1426.t2__CNIGO.Cnig_chr_I.g1025.t2	547	304
CBRIG.I.g1437.t2__CNIGO.Cnig_chr_I.g1037.t1	165	1536
CBRIG.I.g1441.t3__CNIGO.Cnig_chr_I.g1041.t3	439	2786
CBRIG.I.g1502.t1__CNIGO.Cnig_chr_I.g1114.t1	448	89
CBRIG.I.g1515.t2__CNIGO.Cnig_chr_I.g1127.t2	532	1703
CBRIG.I.g1538.t2__CNIGO.Cnig_chr_I.g1149.t1	76	171
CBRIG.I.g1543.t1__CNIGO.Cnig_chr_I.g1155.t1	46	34
CBRIG.I.g1582.t1__CNIGO.Cnig_chr_I.g1192.t1	241	138
CBRIG.I.g1585.t1__CNIGO.Cnig_chr_I.g1194.t1	710	315
CBRIG.I.g1588.t3__CNIGO.Cnig_chr_I.g1197.t1	523	471
CBRIG.I.g1627.t1__CNIGO.Cnig_chr_I.g1233.t1	312	232
CBRIG.I.g1631.t1__CNIGO.Cnig_chr_I.g1237.t2	525	1773
CBRIG.I.g1656.t1__CNIGO.Cnig_chr_I.g1262.t1	1028	300
CBRIG.I.g1681.t2__CNIGO.Cnig_chr_I.g1290.t1	1616	774
CBRIG.I.g1726.t1__CNIGO.Cnig_chr_I.g1339.t1	191	92
CBRIG.I.g1749.t1__CNIGO.Cnig_chr_I.g1361.t1	695	247
CBRIG.I.g1751.t1__CNIGO.Cnig_chr_I.g1365.t1	776	281
CBRIG.I.g1758.t1__CNIGO.Cnig_chr_I.g1372.t1	93	105
CBRIG.I.g1794.t1__CNIGO.Cnig_chr_I.g1410.t1	552	467
CBRIG.I.g1820.t1__CNIGO.Cnig_chr_I.g1433.t1	161	71
CBRIG.I.g1835.t1__CNIGO.Cnig_chr_I.g1453.t1	179	223
CBRIG.I.g1846.t1__CNIGO.Cnig_chr_I.g1468.t1	566	355
CBRIG.I.g1847.t1__CNIGO.Cnig_chr_I.g1469.t1	257	185
CBRIG.I.g1871.t1__CNIGO.Cnig_chr_I.g1486.t2	209	241
CBRIG.I.g1944.t2__CNIGO.Cnig_chr_I.g1546.t1	432	136
CBRIG.I.g1966.t1__CNIGO.Cnig_chr_I.g1570.t3	117	146
CBRIG.I.g1967.t1__CNIGO.Cnig_chr_I.g1571.t1	1176	429
CBRIG.I.g1994.t1__CNIGO.Cnig_chr_I.g1673.t1	1166	366
CBRIG.I.g2029.t1__CNIGO.Cnig_chr_I.g1635.t1	55	85
CBRIG.I.g2051.t1__CNIGO.Cnig_chr_I.g1615.t2	281	245
CBRIG.I.g2085.t3__CNIGO.Cnig_chr_I.g1709.t1	433	319
CBRIG.I.g2123.t1__CNIGO.Cnig_chr_I.g1766.t2	1145	377
CBRIG.I.g2149.t1__CNIGO.Cnig_chr_I.g1742.t1	242	502
CBRIG.I.g2162.t1__CNIGO.Cnig_chr_I.g1789.t1	85	134
CBRIG.I.g2171.t1__CNIGO.Cnig_chr_I.g1796.t1	213	380
CBRIG.I.g2193.t3__CNIGO.Cnig_chr_I.g1821.t1	381	536
CBRIG.I.g2199.t2__CNIGO.Cnig_chr_I.g1827.t1	113	88
CBRIG.I.g2203.t1__CNIGO.Cnig_chr_I.g1831.t1	411	157
CBRIG.I.g2294.t2__CNIGO.Cnig_chr_I.g1920.t1	305	526
CBRIG.I.g2299.t1__CNIGO.Cnig_chr_I.g1925.t1	47	115
CBRIG.I.g2398.t1__CNIGO.Cnig_chr_I.g2084.t1	242	245
CBRIG.I.g2416.t2__CNIGO.Cnig_chr_I.g2070.t2	501	84
CBRIG.I.g2417.t2__CNIGO.Cnig_chr_I.g2069.t2	255	315
CBRIG.I.g2423.t1__CNIGO.Cnig_chr_I.g2063.t2	324	210
CBRIG.I.g2513.t1__CNIGO.Cnig_chr_I.g1992.t1	273	692
CBRIG.I.g2517.t1__CNIGO.Cnig_chr_I.g1988.t1	117	318
CBRIG.I.g2526.t1__CNIGO.Cnig_chr_I.g2100.t1	98	102
CBRIG.I.g2529.t1__CNIGO.Cnig_chr_I.g2102.t1	146	157
CBRIG.I.g2547.t2__CNIGO.Cnig_chr_I.g2120.t2	524	116
CBRIG.I.g2549.t2__CNIGO.Cnig_chr_I.g2123.t2	228	260
CBRIG.I.g2552.t2__CNIGO.Cnig_chr_I.g2128.t1	650	1752
CBRIG.I.g2560.t1__CNIGO.Cnig_chr_I.g2135.t1	93	339
CBRIG.I.g2619.t1__CNIGO.Cnig_chr_I.g2205.t1	432	1027
CBRIG.I.g2640.t1__CNIGO.Cnig_chr_I.g2225.t2	321	1056
CBRIG.I.g2651.t1__CNIGO.Cnig_chr_I.g2235.t1	171	556
CBRIG.I.g2655.t1__CNIGO.Cnig_chr_I.g2248.t1	359	142
CBRIG.I.g2683.t1__CNIGO.Cnig_chr_I.g2275.t1	172	211
CBRIG.I.g2697.t1__CNIGO.Cnig_chr_I.g2287.t1	211	317
CBRIG.I.g2725.t1__CNIGO.Cnig_chr_I.g2319.t1	77	107
CBRIG.I.g2735.t1__CNIGO.Cnig_chr_I.g2327.t1	1042	245
CBRIG.I.g2758.t1__CNIGO.Cnig_chr_I.g2361.t1	208	404
CBRIG.I.g2782.t1__CNIGO.Cnig_chr_I.g2394.t2	217	137
CBRIG.I.g2795.t3__CNIGO.Cnig_chr_I.g2411.t2	235	919
CBRIG.I.g2830.t1__CNIGO.Cnig_chr_I.g2443.t1	403	273
CBRIG.I.g2847.t1__CNIGO.Cnig_chr_I.g2464.t1	322	298
CBRIG.I.g2850.t1__CNIGO.Cnig_chr_I.g2467.t1	306	617
CBRIG.I.g2874.t1__CNIGO.Cnig_chr_I.g2498.t1	126	179
CBRIG.I.g2910.t1__CNIGO.Cnig_chr_I.g2525.t2	90	133
CBRIG.I.g2924.t1__CNIGO.Cnig_chr_I.g2539.t1	1010	4710
CBRIG.I.g2950.t1__CNIGO.Cnig_chr_I.g2578.t1	930	163
CBRIG.I.g2968.t1__CNIGO.Cnig_chr_I.g2595.t1	57	142
CBRIG.I.g2975.t1__CNIGO.Cnig_chr_I.g2601.t1	1714	293
CBRIG.I.g3000.t1__CNIGO.Cnig_chr_I.g2632.t1	384	416
CBRIG.I.g3003.t1__CNIGO.Cnig_chr_I.g2635.t3	507	155
CBRIG.I.g3031.t1__CNIGO.Cnig_chr_I.g2664.t1	192	665
CBRIG.I.g3119.t1__CNIGO.Cnig_chr_I.g2776.t1	934	207
CBRIG.I.g3152.t1__CNIGO.Cnig_chr_I.g2813.t1	409	121
CBRIG.I.g3171.t1__CNIGO.Cnig_chr_I.g2897.t1	41	149
CBRIG.I.g3204.t1__CNIGO.Cnig_chr_I.g2954.t1	238	172
CBRIG.I.g3213.t1__CNIGO.Cnig_chr_I.g2964.t1	171	204
CBRIG.I.g3222.t1__CNIGO.Cnig_chr_I.g2975.t1	266	111
CBRIG.I.g3263.t2__CNIGO.Cnig_chr_I.g3034.t1	510	2405
CBRIG.I.g3279.t1__CNIGO.Cnig_chr_I.g3060.t2	646	64
CBRIG.I.g3280.t1__CNIGO.Cnig_chr_I.g3061.t2	1191	599
CBRIG.I.g3459.t1__CNIGO.Cnig_chr_I.g3225.t1	86	76
CBRIG.I.g3476.t1__CNIGO.Cnig_chr_I.g3202.t1	101	170
CBRIG.I.g3527.t2__CNIGO.Cnig_chr_I.g3435.t1	1518	414
CBRIG.I.g3532.t2__CNIGO.Cnig_chr_I.g3442.t1	702	210
CBRIG.I.g3581.t2__CNIGO.Cnig_chr_I.g3511.t1	66	98
CBRIG.I.g3612.t5__CNIGO.Cnig_chr_I.g3562.t3	1531	685
CBRIG.I.g3663.t1__CNIGO.Cnig_chr_I.g3607.t1	116	119
CBRIG.I.g3685.t1__CNIGO.Cnig_chr_I.g3646.t1	69	150
CBRIG.I.g3715.t2__CNIGO.Cnig_chr_I.g3733.t3	257	277
CBRIG.I.g3773.t1__CNIGO.Cnig_chr_I.g3793.t2	348	654
CBRIG.I.g3779.t1__CNIGO.Cnig_chr_I.g3798.t1	131	173
CBRIG.I.g3892.t1__CNIGO.Cnig_chr_I.g3948.t1	62	113
CBRIG.I.g3901.t1__CNIGO.Cnig_chr_I.g3940.t1	304	206
CBRIG.I.g3903.t1__CNIGO.Cnig_chr_I.g3938.t1	649	336
CBRIG.I.g3915.t1__CNIGO.Cnig_chr_I.g3926.t1	609	1624
CBRIG.I.g3919.t1__CNIGO.Cnig_chr_I.g3921.t1	147	402
CBRIG.I.g3920.t1__CNIGO.Cnig_chr_I.g3920.t1	259	82
CBRIG.I.g730.t1__CNIGO.Cnig_chr_I.g100.t1	78	54
CBRIG.I.g779.t1__CNIGO.Cnig_chr_I.g222.t1	204	440
CBRIG.I.g801.t1__CNIGO.Cnig_chr_I.g250.t1	893	286
CBRIG.I.g821.t1__CNIGO.Cnig_chr_I.g294.t2	724	2009
CBRIG.I.g829.t1__CNIGO.Cnig_chr_I.g302.t2	227	675
CBRIG.I.g833.t2__CNIGO.Cnig_chr_I.g300.t2	569	205
CBRIG.I.g841.t2__CNIGO.Cnig_chr_I.g309.t1	38	57
CBRIG.I.g885.t1__CNIGO.Cnig_chr_I.g370.t1	690	105
CBRIG.I.g886.t1__CNIGO.Cnig_chr_I.g371.t1	519	242
CBRIG.I.g894.t1__CNIGO.Cnig_chr_I.g379.t2	147	221
CBRIG.I.g898.t1__CNIGO.Cnig_chr_I.g383.t1	476	136
CBRIG.I.g919.t3__CNIGO.Cnig_chr_I.g408.t1	236	170
CBRIG.I.g942.t1__CNIGO.Cnig_chr_I.g430.t1	438	1263
CBRIG.I.g943.t1__CNIGO.Cnig_chr_I.g429.t1	140	120
CBRIG.I.g944.t1__CNIGO.Cnig_chr_I.g428.t2	551	255
CBRIG.I.g975.t1__CNIGO.Cnig_chr_I.g463.t2	423	472
CBRIG.II.g3927.t1__CNIGO.Cnig_chr_II.g3973.t1	1143	236
CBRIG.II.g3934.t1__CNIGO.Cnig_chr_II.g3981.t1	904	203
CBRIG.II.g3961.t1__CNIGO.Cnig_chr_II.g4012.t1	294	601
CBRIG.II.g3980.t1__CNIGO.Cnig_chr_II.g4031.t1	99	402
CBRIG.II.g3989.t1__CNIGO.Cnig_chr_II.g4041.t1	514	299
CBRIG.II.g4041.t1__CNIGO.Cnig_chr_II.g4120.t1	285	506
CBRIG.II.g4104.t1__CNIGO.Cnig_chr_II.g4192.t2	433	233
CBRIG.II.g4126.t1__CNIGO.Cnig_chr_II.g4222.t2	1801	316
CBRIG.II.g4142.t1__CNIGO.Cnig_chr_II.g4205.t1	151	110
CBRIG.II.g4167.t2__CNIGO.Cnig_chr_II.g4238.t3	735	232
CBRIG.II.g4218.t1__CNIGO.Cnig_chr_II.g7837.t1	190	66
CBRIG.II.g4249.t1__CNIGO.Cnig_chr_II.g4388.t3	194	796
CBRIG.II.g4252.t1__CNIGO.Cnig_chr_II.g4392.t1	213	550
CBRIG.II.g4263.t1__CNIGO.Cnig_chr_II.g4400.t1	196	733
CBRIG.II.g4298.t1__CNIGO.Cnig_chr_II.g4465.t2	3841	574
CBRIG.II.g4312.t1__CNIGO.Cnig_chr_II.g4485.t1	104	367
CBRIG.II.g4339.t1__CNIGO.Cnig_chr_II.g4523.t2	120	229
CBRIG.II.g4375.t1__CNIGO.Cnig_chr_II.g4562.t1	288	519
CBRIG.II.g4383.t1__CNIGO.Cnig_chr_II.g4568.t1	1110	75
CBRIG.II.g4385.t2__CNIGO.Cnig_chr_II.g4570.t1	182	372
CBRIG.II.g4386.t1__CNIGO.Cnig_chr_II.g4571.t1	970	215
CBRIG.II.g4400.t1__CNIGO.Cnig_chr_II.g4586.t1	135	124
CBRIG.II.g4412.t1__CNIGO.Cnig_chr_II.g4602.t1	1056	347
CBRIG.II.g4426.t1__CNIGO.Cnig_chr_II.g4616.t1	133	131
CBRIG.II.g4439.t1__CNIGO.Cnig_chr_II.g4662.t2	279	473
CBRIG.II.g4456.t1__CNIGO.Cnig_chr_II.g4644.t1	256	598
CBRIG.II.g4459.t1__CNIGO.Cnig_chr_II.g4666.t2	1302	228
CBRIG.II.g4477.t1__CNIGO.Cnig_chr_II.g4688.t1	222	90
CBRIG.II.g4502.t1__CNIGO.Cnig_chr_II.g4713.t1	823	255
CBRIG.II.g4516.t1__CNIGO.Cnig_chr_II.g4735.t1	370	380
CBRIG.II.g4578.t1__CNIGO.Cnig_chr_II.g4808.t2	992	253
CBRIG.II.g4650.t1__CNIGO.Cnig_chr_II.g5039.t1	174	361
CBRIG.II.g4655.t2__CNIGO.Cnig_chr_II.g5030.t1	368	1073
CBRIG.II.g4665.t1__CNIGO.Cnig_chr_II.g5016.t1	788	199
CBRIG.II.g4674.t1__CNIGO.Cnig_chr_II.g5009.t1	973	290
CBRIG.II.g4703.t1__CNIGO.Cnig_chr_II.g4962.t1	1591	584
CBRIG.II.g4714.t1__CNIGO.Cnig_chr_II.g4953.t1	343	1032
CBRIG.II.g4757.t1__CNIGO.Cnig_chr_II.g5079.t1	211	470
CBRIG.II.g4793.t1__CNIGO.Cnig_chr_II.g5128.t1	305	109
CBRIG.II.g4807.t1__CNIGO.Cnig_chr_II.g5147.t1	253	219
CBRIG.II.g4811.t1__CNIGO.Cnig_chr_II.g5152.t1	1288	164
CBRIG.II.g4836.t1__CNIGO.Cnig_chr_II.g5176.t1	7378	338
CBRIG.II.g4879.t1__CNIGO.Cnig_chr_II.g5216.t1	500	255
CBRIG.II.g4886.t2__CNIGO.Cnig_chr_II.g5224.t1	104	271
CBRIG.II.g4901.t1__CNIGO.Cnig_chr_II.g5240.t1	503	1858
CBRIG.II.g4930.t1__CNIGO.Cnig_chr_II.g5267.t1	1421	195
CBRIG.II.g4947.t2__CNIGO.Cnig_chr_II.g5288.t1	859	397
CBRIG.II.g4958.t1__CNIGO.Cnig_chr_II.g5299.t1	391	186
CBRIG.II.g4979.t1__CNIGO.Cnig_chr_II.g5314.t1	59	147
CBRIG.II.g4992.t1__CNIGO.Cnig_chr_II.g5327.t1	33	119
CBRIG.II.g5005.t1__CNIGO.Cnig_chr_II.g5342.t1	252	859
CBRIG.II.g5016.t1__CNIGO.Cnig_chr_II.g5353.t1	577	119
CBRIG.II.g5020.t1__CNIGO.Cnig_chr_II.g5356.t1	1541	754
CBRIG.II.g5046.t1__CNIGO.Cnig_chr_II.g5384.t1	163	192
CBRIG.II.g5054.t1__CNIGO.Cnig_chr_II.g5394.t1	354	198
