,logFC,AveExpr,t,P.Value,adj.P.Val,B
I.g1000.t2__Cnig_chr_I.g492.t1,-2.09617737962729,9.37089113161555,-18.4267421774912,1.44508130014155e-08,1.09114348569411e-07,10.2710329473853
I.g1001.t1__Cnig_chr_I.g493.t1,-3.48750144712865,7.57839018434614,-21.6663306731144,3.3661569138807e-09,5.46336590082643e-08,11.8259148870203
I.g1002.t1__Cnig_chr_I.g494.t1,-2.07677793464323,5.69120728804152,-15.1113030523977,8.47221210315996e-08,3.4717195883122e-07,8.4309771577567
I.g1004.t3__Cnig_chr_I.g495.t1,-1.64640251054051,4.87097694648133,-13.7465496513075,1.95429686730113e-07,6.56588221982144e-07,7.58346195557264
I.g1007.t2__Cnig_chr_I.g499.t1,3.45429459982956,-1.26113895212445,6.98084792090882,5.83789465155792e-05,9.27285641223711e-05,2.28525961805094
I.g1009.t1__Cnig_chr_I.g502.t2,-2.21324415752323,3.31461586903403,-14.6157167430902,1.13808079493877e-07,4.3421943720981e-07,8.30886903367826
I.g1011.t2__Cnig_chr_I.g505.t3,-0.246647435383325,4.86281079424625,-1.59447240954132,0.144614941038622,0.155360178383802,-6.69531179355121
I.g1012.t1__Cnig_chr_I.g506.t1,-2.35533247780281,6.00668972704186,-15.2433537835365,7.8433690059981e-08,3.28028099697619e-07,8.50222247873889
I.g1014.t1__Cnig_chr_I.g512.t1,0.24364484346149,2.21409075432727,1.29525397619869,0.226839159709416,0.239937531442497,-6.68162899269285
I.g1015.t2__Cnig_chr_I.g514.t2,1.79311450513105,4.68686939727151,10.9102890318847,1.45860653305141e-06,3.48130737126523e-06,5.45174533786571
I.g1016.t1__Cnig_chr_I.g515.t1,-1.52190119651224,5.53973171619194,-13.6621451202153,2.06307478028077e-07,6.85483251129919e-07,7.47371497271888
I.g1017.t1__Cnig_chr_I.g516.t1,-0.299416773846997,3.75319725524229,-2.29250460246507,0.0470215416964149,0.0524688936074917,-5.49404700398296
I.g1018.t1__Cnig_chr_I.g519.t1,1.83684885143229,1.75241789681764,9.60759857826782,4.30345771036771e-06,8.89712674307056e-06,4.6629922698549
I.g1019.t2__Cnig_chr_I.g521.t1,0.609894912336976,2.82287714417041,3.23714644387154,0.00993846717871836,0.0116865008714326,-3.77345894520178
I.g1021.t1__Cnig_chr_I.g522.t1,1.69476001070858,2.66826211163786,10.2928981294513,2.40040250012545e-06,5.33494390194016e-06,5.1531743138827
I.g1022.t1__Cnig_chr_I.g523.t1,-2.06405997406989,7.33743328991636,-17.8540004100451,1.91747654848049e-08,1.28387560202607e-07,9.9713400424866
I.g1023.t1__Cnig_chr_I.g524.t2,0.849399922349641,4.04572738655677,4.27702749760101,0.00196522592130357,0.00247833289866163,-2.25914425814297
I.g1025.t1__Cnig_chr_I.g526.t2,1.19051785098893,6.44218124394933,11.3957968554277,1.00266612746655e-06,2.53083861104764e-06,5.72070631418334
I.g1026.t1__Cnig_chr_I.g528.t2,-1.05960486685682,8.16530480206436,-10.6084970067189,1.85495695961006e-06,4.28071963287605e-06,5.02382764700751
I.g1030.t2__Cnig_chr_I.g530.t1,-1.52107137077891,5.96612738711401,-12.589731761454,4.22209593704795e-07,1.22841473177203e-06,6.67460288737078
I.g1032.t1__Cnig_chr_I.g531.t1,-0.945598823399837,5.30533362326299,-7.69142517815655,2.69883537327538e-05,4.58660024171169e-05,2.20219772485252
I.g1035.t1__Cnig_chr_I.g533.t2,3.03516654825039,4.16196730947811,12.2956434916709,5.18801579810516e-07,1.45726577370318e-06,6.65705530625281
I.g1036.t3__Cnig_chr_I.g534.t4,-0.88751923740688,5.65299704181717,-9.04430407762647,7.14185398391594e-06,1.39261946647501e-05,3.61805326036437
I.g1037.t1__Cnig_chr_I.g535.t1,-1.09578070581518,4.19081519622608,-8.55358291487056,1.13446537786408e-05,2.1019669088461e-05,3.25960157892834
I.g1038.t3__Cnig_chr_I.g536.t1,-1.32331428757059,6.26239649212192,-13.4784858284768,2.32362170576486e-07,7.53342616184816e-07,7.30488016014582
I.g1040.t1__Cnig_chr_I.g542.t1,-4.41446725189223,3.7730013419711,-25.5657695931743,7.53050410976628e-10,3.89984619759518e-08,13.3954948446041
I.g1041.t1__Cnig_chr_I.g543.t1,2.61956543707944,-0.583583624938697,5.41811208870837,0.000394265489790934,0.000543808805123008,0.261109831600026
I.g1042.t3__Cnig_chr_I.g545.t2,2.46831116195976,-0.291992969768406,8.23789525091993,1.54531790211663e-05,2.76757137195843e-05,3.55677903811391
I.g1045.t1__Cnig_chr_I.g547.t1,4.924730352184,3.12464046314741,17.7745109814494,1.99559979996386e-08,1.31360456017502e-07,10.162074473836
I.g1046.t1__Cnig_chr_I.g548.t1,-1.84877720757461,4.95507276218704,-13.3085924387385,2.59728516643562e-07,8.25563268287771e-07,7.27399794903103
I.g1052.t1__Cnig_chr_I.g554.t1,1.15478174864316,5.06323227454032,9.98257390937189,3.11360777799804e-06,6.70187248688543e-06,4.5802261417291
I.g1056.t1__Cnig_chr_I.g580.t3,-1.16549170415874,-0.922769137221804,-2.75036963433137,0.0220557677517956,0.0252403515168738,-3.85488063110022
I.g1057.t1__Cnig_chr_I.g579.t1,-0.728328829137506,5.90084187066896,-7.12447214929689,4.97254524982311e-05,7.9990755846784e-05,1.49385630854235
I.g1059.t1__Cnig_chr_I.g578.t1,-1.82806719651572,5.09113245987341,-15.1238430241319,8.41016328924014e-08,3.44949528035604e-07,8.47371840236084
I.g1060.t1__Cnig_chr_I.g577.t3,-0.974677567048333,3.93974797813854,-7.24997291403423,4.33032797048316e-05,7.04989104377124e-05,1.84069411024679
I.g1061.t1__Cnig_chr_I.g576.t1,2.27979931639382,8.91213563027453,16.4073502119312,4.07801586005194e-08,2.08047927775531e-07,9.15934957980348
I.g1063.t1__Cnig_chr_I.g575.t1,-2.2604223140253,3.96007756521531,-12.9051060355914,3.40131463047454e-07,1.02529672577633e-06,7.08483569674794
