# Program:featureCounts v2.0.1; Command:"featureCounts" "-t" "transcript" "-a" "references/annotations/briggsae.chr.transcript.ortho.gff" "-o" "counts/Cbr_fc.counts.txt" "STAR/BAM/BF1_Cbr.bam" "STAR/BAM/BF2_Cbr.bam" "STAR/BAM/BF3_Cbr.bam" "STAR/BAM/BM1_Cbr.bam" "STAR/BAM/BM2_Cbr.bam" "STAR/BAM/BM3_Cbr.bam" 
Geneid	Chr	Start	End	Strand	Length	STAR/BAM/BF1_Cbr.bam	STAR/BAM/BF2_Cbr.bam	STAR/BAM/BF3_Cbr.bam	STAR/BAM/BM1_Cbr.bam	STAR/BAM/BM2_Cbr.bam	STAR/BAM/BM3_Cbr.bam
I.g3305.t1	I	11910148	11912380	-	2233	131	107	90	39	26	44
I.g3703.t1	I	14347249	14348988	+	1740	3	14	7	1	3	5
X.g20706.t1	X	12187099	12187542	-	444	1	1	0	3	0	1
I.g2976.t2	I	10326360	10327965	-	1606	11	3	4	37	20	22
I.g3421.t2	I	12631937	12634164	-	2228	1	11	5	3	1	12
V.g13936.t1	V	291149	292367	+	1219	312	226	187	119	86	146
I.g3695.t1	I	14318521	14319794	+	1274	12	5	10	12	6	10
II.g5334.t1	II	7514659	7515684	-	1026	14	21	8	2	0	1
I.g3692.t1	I	14315754	14316495	-	742	13	6	11	10	9	15
IV.g10696.t1	IV	1480150	1481371	-	1222	33	14	28	2	0	8
X.g19275.t1	X	4229669	4229926	-	258	1	1	0	3	0	3
V.g14379.t1	V	1917352	1918452	+	1101	73	45	32	74	38	42
III.g9781.t1	III	10958874	10959737	+	864	84	76	68	75	60	67
III.g9971.t1	III	12024876	12026377	-	1502	2	5	1	0	0	0
III.g9867.t1	III	11418820	11419182	-	363	5	0	0	3	0	1
III.g9787.t1	III	10983292	10986440	+	3149	3075	2688	3051	205	90	638
II.g4676.t1	II	4503299	4504009	+	711	2	3	2	1	4	1
I.g1797.t1	I	5584515	5587199	+	2685	1218	1136	1378	1185	978	1088
X.g22307.t1	X	20957418	20958284	+	867	1	1	1	0	0	0
I.g3123.t1	I	11006676	11007259	-	584	34	20	16	30	40	26
III.g9535.t1	III	9901751	9902932	+	1182	41	29	21	3	1	2
I.g3834.t1	I	15019445	15022114	-	2670	31	16	18	53	97	60
X.g22383.t1	X	21318253	21320494	-	2242	112	51	76	48	27	71
X.g18739.t3	X	1063328	1065163	+	1836	8	4	3	33	12	35
X.g21228.t1	X	15112508	15113830	+	1323	6	5	4	11	10	1
III.g9821.t1	III	11145913	11148231	+	2319	102	73	81	165	100	118
III.g9795.t1	III	11011079	11012696	-	1618	96	63	65	59	32	41
III.g9782.t3	III	10961505	10964150	-	2646	1943	1297	1495	622	509	766
III.g9794.t1	III	11005046	11007348	-	2303	1	5	1	49	36	38
III.g9888.t1	III	11557468	11559556	-	2089	0	0	0	2	3	0
II.g6557.t1	II	12721663	12723088	+	1426	15	40	17	12	7	12
