,logFC,AveExpr,t,P.Value,adj.P.Val,B
I.g1000.t2__Cnig_chr_I.g492.t1,0.938079444053424,9.58555572839544,14.9050164518326,1.31942818965864e-06,7.78089689620388e-06,5.52884238942651
I.g1001.t1__Cnig_chr_I.g493.t1,1.75246476251194,8.07684047646775,25.3037704708164,3.31756856902326e-08,1.59212198276213e-06,9.67622263008828
I.g1002.t1__Cnig_chr_I.g494.t1,0.531885537393886,6.08885041141131,5.3170241032977,0.00106288764416159,0.00168182604053479,-1.7059488129894
I.g1004.t3__Cnig_chr_I.g495.t1,0.768211200761413,4.94187009268804,9.60734637219718,2.58564798971755e-05,7.21236772868983e-05,2.61973606155672
I.g1007.t2__Cnig_chr_I.g499.t1,-2.64551156450446,-2.02998661375951,-4.84503988072096,0.00180793647986226,0.0027169307544872,-0.832256542958421
I.g1009.t1__Cnig_chr_I.g502.t2,0.705496500498884,3.69762369153956,5.47166343326944,0.000898991413496078,0.00144915314999295,-1.07921084456197
I.g1011.t2__Cnig_chr_I.g505.t3,-0.135324795202878,4.6931835259229,-1.10943830460652,0.303495306079534,0.330958570087884,-7.26028537056467
I.g1012.t1__Cnig_chr_I.g506.t1,1.66030014910685,5.98410297809085,18.3092297389336,3.17813867904046e-07,3.51277710284437e-06,7.3321675438905
I.g1014.t1__Cnig_chr_I.g512.t1,1.20717009739359,1.11375068013631,5.94726125906407,0.000547528160415577,0.00093688151893332,-0.0639783906827507
I.g1015.t2__Cnig_chr_I.g514.t2,-2.6156348755471,4.7270791588861,-20.1834227492039,1.61256962495674e-07,2.69998383222845e-06,8.29027910244115
I.g1016.t1__Cnig_chr_I.g515.t1,0.672104057692434,5.59590000190427,6.5900025395281,0.000292415791285653,0.000545151286569143,-0.198954155828267
I.g1017.t1__Cnig_chr_I.g516.t1,1.54814508436312,2.76035591039409,11.5397388165512,7.57360497503769e-06,2.71534445829451e-05,4.31512377981673
I.g1018.t1__Cnig_chr_I.g519.t1,-1.06790280463763,1.00042068193091,-4.13071791883241,0.00429243107616273,0.00601448975589285,-2.16501871691909
I.g1019.t2__Cnig_chr_I.g521.t1,-0.951921573956083,2.63344589644283,-4.35367231155268,0.003250708578142,0.0046492855733167,-2.20964025231959
I.g1021.t1__Cnig_chr_I.g522.t1,-2.64515594022359,2.77152912409824,-12.4806257297155,4.44990623550816e-06,1.81053664187334e-05,4.97924487486359
I.g1022.t1__Cnig_chr_I.g523.t1,1.19314049054282,7.40878730800519,16.6982298141498,6.02105579418285e-07,4.82842621943444e-06,6.51269879503959
I.g1023.t1__Cnig_chr_I.g524.t2,5.80677444178586,0.361571781721537,15.0387989652696,1.24067479989983e-06,7.48376178992674e-06,6.04710077877518
I.g1025.t1__Cnig_chr_I.g526.t2,0.311289046644587,5.32501789605477,2.43929550761745,0.0444205104976559,0.053770701127041,-5.59076222529755
I.g1026.t1__Cnig_chr_I.g528.t2,0.0608923143648706,8.29938085123933,1.03454109346515,0.334919223517906,0.363192515865974,-7.82370581331527
I.g1030.t2__Cnig_chr_I.g530.t1,0.178396109047993,6.26516890883843,1.68349957032082,0.135666591888041,0.155147944302324,-6.84377106922665
I.g1032.t1__Cnig_chr_I.g531.t1,0.914935923167842,4.94967838198937,10.1343011789788,1.81257060165078e-05,5.42561250575233e-05,3.01025883838931
I.g1035.t1__Cnig_chr_I.g533.t2,2.95943304700466,0.802673986239553,4.27595195843332,0.00357845077163313,0.00507909141780187,-2.01602332110157
I.g1036.t3__Cnig_chr_I.g534.t4,0.178289504289124,5.64052725290076,2.46406966071471,0.0428273157440812,0.0519704022095118,-5.60444113584478
