"logFC","DE","species","sex","p.value","genes","chromosome","species_DE"
0.0272105123158626,"no sig","nigoni","male",0.946549492596465,"I.g1000.t2__Cnig_chr_I.g492.t1","I","nigoni no sig"
0.116256006708714,"no sig","nigoni","male",0.758023755759431,"I.g1001.t1__Cnig_chr_I.g493.t1","I","nigoni no sig"
-0.0211384599693147,"no sig","briggsae","male",0.953730989194835,"I.g1002.t1__Cnig_chr_I.g494.t1","I","briggsae no sig"
2.05054244599235,"sig","nigoni","male",2.58113846936653e-26,"I.g1004.t3__Cnig_chr_I.g495.t1","I","nigoni sig"
-0.209817395192678,"no sig","briggsae","male",0.721201553105154,"I.g1007.t2__Cnig_chr_I.g499.t1","I","briggsae no sig"
0.48320477808572,"no sig","nigoni","male",0.130251471244382,"I.g1009.t1__Cnig_chr_I.g502.t2","I","nigoni no sig"
1.14588181998207,"sig","nigoni","male",1.04808374482695e-09,"I.g1011.t2__Cnig_chr_I.g505.t3","I","nigoni sig"
0.111370921745543,"no sig","nigoni","male",0.849443050433285,"I.g1012.t1__Cnig_chr_I.g506.t1","I","nigoni no sig"
-2.45877491462813,"sig","briggsae","male",5.47897729931104e-12,"I.g1014.t1__Cnig_chr_I.g512.t1","I","briggsae sig"
1.07342671206874,"sig","nigoni","male",0.00972617173588946,"I.g1015.t2__Cnig_chr_I.g514.t2","I","nigoni sig"
0.442739042348941,"no sig","nigoni","male",0.29535937958526,"I.g1016.t1__Cnig_chr_I.g515.t1","I","nigoni no sig"
0.648199339091842,"sig","nigoni","male",0.0122956092828476,"I.g1017.t1__Cnig_chr_I.g516.t1","I","nigoni sig"
-0.330411666979097,"no sig","briggsae","male",0.32968521258264,"I.g1018.t1__Cnig_chr_I.g519.t1","I","briggsae no sig"
-0.712911208212165,"sig","briggsae","male",0.0247723381766341,"I.g1019.t2__Cnig_chr_I.g521.t1","I","briggsae sig"
-0.118165978911765,"no sig","briggsae","male",0.6177585028075,"I.g1021.t1__Cnig_chr_I.g522.t1","I","briggsae no sig"
-1.65623447766128,"sig","briggsae","male",4.21437266403789e-13,"I.g1022.t1__Cnig_chr_I.g523.t1","I","briggsae sig"
12.1824887651235,"sig","nigoni","male",2.6550275762183e-22,"I.g1023.t1__Cnig_chr_I.g524.t2","I","nigoni sig"
-0.326822859694873,"no sig","briggsae","male",0.116545502800815,"I.g1025.t1__Cnig_chr_I.g526.t2","I","briggsae no sig"
0.44149994445296,"no sig","nigoni","male",0.115749316623661,"I.g1026.t1__Cnig_chr_I.g528.t2","I","nigoni no sig"
2.05811693855815,"sig","nigoni","male",1.72406797429644e-05,"I.g1030.t2__Cnig_chr_I.g530.t1","I","nigoni sig"
0.0788231389351502,"no sig","nigoni","male",0.884634478633473,"I.g1032.t1__Cnig_chr_I.g531.t1","I","nigoni no sig"
-1.09126321555114,"no sig","briggsae","male",0.0939406663145012,"I.g1035.t1__Cnig_chr_I.g533.t2","I","briggsae no sig"
0.448072126646845,"sig","nigoni","male",0.0115758772189446,"I.g1036.t3__Cnig_chr_I.g534.t4","I","nigoni sig"
-0.591281353630234,"sig","briggsae","male",0.0248972709137795,"I.g1037.t1__Cnig_chr_I.g535.t1","I","briggsae sig"
0.0572418243690473,"no sig","nigoni","male",0.85038251837893,"I.g1038.t3__Cnig_chr_I.g536.t1","I","nigoni no sig"
-0.975722624820085,"sig","briggsae","male",0.0147947226927058,"I.g1040.t1__Cnig_chr_I.g542.t1","I","briggsae sig"
1.54660906687324,"sig","nigoni","male",1.51372674274796e-05,"I.g1041.t1__Cnig_chr_I.g543.t1","I","nigoni sig"
-0.957386030433196,"sig","briggsae","male",0.0104569808488481,"I.g1042.t3__Cnig_chr_I.g545.t2","I","briggsae sig"
-0.452930227659185,"no sig","briggsae","male",0.120481644683339,"I.g1045.t1__Cnig_chr_I.g547.t1","I","briggsae no sig"
0.898851450089312,"sig","nigoni","male",1.62607173008542e-07,"I.g1046.t1__Cnig_chr_I.g548.t1","I","nigoni sig"
0.0266724092583326,"no sig","nigoni","male",0.899597337892029,"I.g1052.t1__Cnig_chr_I.g554.t1","I","nigoni no sig"
-2.39673273390115,"sig","briggsae","male",0.0343750848123324,"I.g1056.t1__Cnig_chr_I.g580.t3","I","briggsae sig"
0.947808865120129,"sig","nigoni","male",1.34600482877714e-07,"I.g1057.t1__Cnig_chr_I.g579.t1","I","nigoni sig"
0.495695480887257,"no sig","nigoni","male",0.196645799977374,"I.g1059.t1__Cnig_chr_I.g578.t1","I","nigoni no sig"
0.696221122077178,"sig","nigoni","male",0.0081199653558149,"I.g1060.t1__Cnig_chr_I.g577.t3","I","nigoni sig"
-0.633215363756445,"sig","briggsae","male",0.0325110691733454,"I.g1061.t1__Cnig_chr_I.g576.t1","I","briggsae sig"
2.16171087825314,"sig","nigoni","male",0.00119686278562894,"I.g1063.t1__Cnig_chr_I.g575.t1","I","nigoni sig"
0.834202260984573,"sig","nigoni","male",4.19371532057139e-06,"I.g1065.t1__Cnig_chr_I.g569.t3","I","nigoni sig"
0.575162013286509,"sig","nigoni","male",0.00206251829952383,"I.g1066.t1__Cnig_chr_I.g568.t1","I","nigoni sig"
-0.262015261705174,"no sig","briggsae","male",0.153683126440275,"I.g1067.t1__Cnig_chr_I.g567.t1","I","briggsae no sig"
-3.02443426663308,"sig","briggsae","male",1.67034418762686e-10,"I.g1069.t2__Cnig_chr_I.g566.t1","I","briggsae sig"
1.29393120392015,"sig","nigoni","male",1.09707851970531e-10,"I.g1070.t1__Cnig_chr_I.g564.t2","I","nigoni sig"
2.84568760195585,"sig","nigoni","male",6.72432098359355e-20,"I.g1071.t1__Cnig_chr_I.g563.t1","I","nigoni sig"
1.85922855470344,"sig","nigoni","male",4.30444482155357e-07,"I.g1072.t1__Cnig_chr_I.g562.t3","I","nigoni sig"
-3.14281757195177,"sig","briggsae","male",5.70681548135395e-09,"I.g1075.t1__Cnig_chr_I.g72.t1","I","briggsae sig"
-0.734619520956803,"sig","briggsae","male",0.00723316460721812,"I.g1077.t3__Cnig_chr_I.g70.t2","I","briggsae sig"
0.156935858767373,"no sig","nigoni","male",0.572139251401646,"I.g1078.t1__Cnig_chr_I.g69.t1","I","nigoni no sig"
0.608894514468622,"no sig","nigoni","male",0.0570859760314489,"I.g1079.t1__Cnig_chr_I.g68.t1","I","nigoni no sig"
0.804557061973621,"sig","nigoni","male",0.000347203778845742,"I.g1080.t1__Cnig_chr_I.g67.t1","I","nigoni sig"
1.17364768430367,"sig","nigoni","male",3.87398547526618e-05,"I.g1081.t2__Cnig_chr_I.g66.t1","I","nigoni sig"
-2.43568728657027,"sig","briggsae","male",1.14585339868119e-16,"I.g1082.t1__Cnig_chr_I.g64.t1","I","briggsae sig"
