,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,HF1M
I.g1000.t2__Cnig_chr_I.g492.t1,10675.7234645712,0.782064223830774,0.284231878522352,2.7515007391026,0.0059322885951463,0.0139422073911436,1
I.g1001.t1__Cnig_chr_I.g493.t1,2219.9350765199,0.146018622636169,0.322521428505719,0.452740840547218,0.650735367471779,0.732010185682658,0
I.g1002.t1__Cnig_chr_I.g494.t1,1022.70156132061,0.0630477766387654,0.270353901684737,0.233204611606775,0.815602525024076,0.861334884698598,0
I.g1004.t3__Cnig_chr_I.g495.t1,323.442522394926,1.37399557048587,0.191290125845041,7.18278355673678,6.83061951446057e-13,7.58488010579676e-12,1
I.g1007.t2__Cnig_chr_I.g499.t1,47.80904868154,0.831043442883956,0.350736792418735,2.36942191651168,0.0178159165805413,0.0364881103172516,1
I.g1009.t1__Cnig_chr_I.g502.t2,232.680010550613,-0.0188850546775686,0.270125434717375,-0.069912167646588,0.944263568446466,0.959097564728945,0
I.g1011.t2__Cnig_chr_I.g505.t3,845.616624945074,0.834441405362058,0.137716433674859,6.05912731760197,1.36862034304423e-09,1.06887210754588e-08,1
I.g1012.t1__Cnig_chr_I.g506.t1,1077.70759794832,0.285376326837662,0.446580787184886,0.639025088017312,0.522806611251332,0.617924152814698,0
I.g1014.t1__Cnig_chr_I.g512.t1,229.48985058611,-0.162698829649788,0.250544050192753,-0.649382132701288,0.516091409859564,0.611577514977407,0
I.g1015.t2__Cnig_chr_I.g514.t2,1730.92710669968,0.728686217868224,0.379568746035129,1.91977402112234,0.0548864496984148,0.0959035915027657,0
I.g1016.t1__Cnig_chr_I.g515.t1,1008.12392890263,0.437185793746132,0.349614494609413,1.25047960106618,0.211124402453288,0.29867126795861,0
I.g1017.t1__Cnig_chr_I.g516.t1,352.199068065692,1.40635690561217,0.182742252775128,7.69584966943985,1.40556987761428e-14,1.85720453983996e-13,1
I.g1018.t1__Cnig_chr_I.g519.t1,296.260640362939,-0.131309394680521,0.188653411809192,-0.696035091129598,0.486406854058689,0.582935828963287,0
I.g1019.t2__Cnig_chr_I.g521.t1,436.698736216171,-0.472010271869445,0.262562906331222,-1.79770356165241,0.0722239967189142,0.121421084855026,0
I.g1021.t1__Cnig_chr_I.g522.t1,419.92375339205,0.299408474907346,0.171504788776356,1.74577326407939,0.0808503584894467,0.133423149989362,0
I.g1022.t1__Cnig_chr_I.g523.t1,5111.44424440743,-0.921361965874852,0.251304675816898,-3.66631445626648,0.000246071311109105,0.000803695424738625,-1
I.g1023.t1__Cnig_chr_I.g524.t2,524.203126709489,12.2718832030657,1.21198087797319,10.1254759263102,4.25901676489795e-24,1.15001886348809e-22,1
I.g1025.t1__Cnig_chr_I.g526.t2,3579.11563611698,1.20029153140846,0.140292978306788,8.55560660194772,1.17250517480362e-17,1.98612180914561e-16,1
I.g1026.t1__Cnig_chr_I.g528.t2,6898.44932147833,0.337986836714746,0.233450138521619,1.44779025986077,0.147675717617849,0.221627348166078,0
I.g1030.t2__Cnig_chr_I.g530.t1,988.3936452482,1.51270035126268,0.449099189212292,3.36829900297954,0.00075633522479031,0.00222703241745642,1
I.g1032.t1__Cnig_chr_I.g531.t1,900.36161225283,0.606644535829848,0.402491169907028,1.5072244590359,0.131753132858259,0.200952299592419,0
I.g1035.t1__Cnig_chr_I.g533.t2,4686.7110544843,-1.66401438948683,0.570216716663855,-2.91821397173764,0.00352042685862066,0.00882598651298977,-1
I.g1036.t3__Cnig_chr_I.g534.t4,1380.85692305911,0.356403584915293,0.137406372962617,2.59379224726539,0.00949238266490713,0.0209396377981263,1
I.g1037.t1__Cnig_chr_I.g535.t1,634.791122918112,-0.529250221067502,0.228410614467733,-2.31709993995164,0.0204982882905303,0.0411838307248669,-1
I.g1038.t3__Cnig_chr_I.g536.t1,1871.0995902788,0.0879770293730012,0.206179310328996,0.426701540676501,0.669596728244423,0.748104955865707,0
I.g1040.t1__Cnig_chr_I.g542.t1,198.895097605089,-0.995213442403397,0.370210364737223,-2.68823765404246,0.00718302540287628,0.0164424600291457,-1
I.g1041.t1__Cnig_chr_I.g543.t1,63.3004517282904,0.118488580917,0.3092913861584,0.383096931307094,0.701647894852903,0.773645240900314,0
I.g1042.t3__Cnig_chr_I.g545.t2,121.602255090039,-0.447471456939803,0.326260536468557,-1.37151572722595,0.170214244254371,0.250328023582033,0
I.g1043.t1__Cnig_chr_I.g546.t3,9.78167786791002,2.10462640400274,0.856460332098547,2.45735421142724,0.0139964607375556,0.0294985685652716,1
I.g1045.t1__Cnig_chr_I.g547.t1,2523.75007561614,-0.765657512608355,0.219488399397686,-3.48837348447321,0.000485968742110179,0.00149350231404426,-1
I.g1046.t1__Cnig_chr_I.g548.t1,629.012245738778,-0.00856773416488211,0.15418151632859,-0.0555691393423753,0.955685049739602,0.967318982946052,0
I.g1052.t1__Cnig_chr_I.g554.t1,1865.5388394365,0.689491832828672,0.145863560701411,4.72696422268268,2.27901400953282e-06,1.09424771246442e-05,1
I.g1056.t1__Cnig_chr_I.g580.t3,7.13800639215703,-0.713909833139952,0.833478221641063,-0.856542876110561,0.391697567294949,0.491686277053662,0
I.g1057.t1__Cnig_chr_I.g579.t1,1421.28560287173,1.0576755576147,0.129982931640696,8.13703418029044,4.05078385305029e-16,6.13738762446598e-15,1
I.g1059.t1__Cnig_chr_I.g578.t1,636.025585883477,0.507911891077555,0.325855472401887,1.55870296525551,0.119066699637206,0.18487742157287,0
I.g1060.t1__Cnig_chr_I.g577.t3,294.592845518444,1.28031657437954,0.211705978934218,6.0476165143043,1.4700435052391e-09,1.14024534911492e-08,1
I.g1061.t1__Cnig_chr_I.g576.t1,32040.4402286357,0.98663964687324,0.277022432063005,3.56158755637826,0.000368619137296152,0.00116327020508455,1
I.g1063.t1__Cnig_chr_I.g575.t1,168.168468840229,1.52840355099536,0.629646544411501,2.42739925210561,0.0152075099667051,0.0317467247253506,1
I.g1065.t1__Cnig_chr_I.g569.t3,695.028840728809,0.355356231694953,0.175335273592363,2.02672414063768,0.042690632222775,0.0772977640406002,0
I.g1066.t1__Cnig_chr_I.g568.t1,602.363462168976,0.225044929632151,0.147385373077594,1.52691495046575,0.126782161435292,0.194509625712382,0
I.g1067.t1__Cnig_chr_I.g567.t1,1557.52508244502,-0.0874872070257642,0.146373854857345,-0.597696952854244,0.550042159030918,0.642379360303012,0
I.g1069.t2__Cnig_chr_I.g566.t1,650.43878693484,-0.251044489665598,0.508040729043899,-0.4941424482601,0.621205581291189,0.705025109241725,0
I.g1070.t1__Cnig_chr_I.g564.t2,499.65115207709,0.115339203011489,0.176921206348403,0.651924127084894,0.514450119548214,0.610193023525161,0
I.g1071.t1__Cnig_chr_I.g563.t1,213.870587965347,0.985650608475172,0.292603204859701,3.36855711798432,0.000755627386689541,0.0022259094933892,1
I.g1072.t1__Cnig_chr_I.g562.t3,438.15063073762,2.01415220689181,0.263241972967472,7.65133380587715,1.98905262526721e-14,2.58804595402135e-13,1
I.g1075.t1__Cnig_chr_I.g72.t1,327.333413085906,-5.10913215418342,0.537181619017598,-9.51099585932788,1.88845912855719e-21,4.1601015633289e-20,-1
I.g1077.t3__Cnig_chr_I.g70.t2,2286.82999196419,-0.94390827270019,0.248778933176755,-3.79416480586623,0.000148141257370653,0.000508260856786761,-1
I.g1078.t1__Cnig_chr_I.g69.t1,2021.04461193258,-0.894539150314837,0.298892449771287,-2.99284625958046,0.00276388940646102,0.0071204224346311,-1
I.g1079.t1__Cnig_chr_I.g68.t1,221.377144068468,0.5267277999272,0.270663288838576,1.94606295588664,0.0516471777026945,0.0910721473107387,0
I.g1080.t1__Cnig_chr_I.g67.t1,363.192064843279,0.657324427484668,0.198180442266916,3.31679766159448,0.0009105553450549,0.00263392717122796,1
I.g1081.t2__Cnig_chr_I.g66.t1,155.093940722443,0.789896744006333,0.260038646548868,3.03761288750551,0.00238460069428333,0.00623517067444824,1
I.g1082.t1__Cnig_chr_I.g64.t1,119.168438050141,-0.606116867956374,0.302221243933883,-2.00554024616805,0.0449053226656322,0.0807395806788714,0
I.g1083.t2__Cnig_chr_I.g63.t1,4243.03209123084,-0.298285086790752,0.139225550877982,-2.14245937552203,0.0321565343587963,0.0608417514245243,0
I.g1084.t2__Cnig_chr_I.g60.t2,2491.3468676741,-0.133079975625669,0.141545089886001,-0.940194928222874,0.347117582850476,0.447001167225337,0
