,logFC,AveExpr,t,P.Value,adj.P.Val,B
I.g1000.t2__Cnig_chr_I.g492.t1,0.00750354015284725,10.0701923060083,0.266574502224907,0.797480567840746,0.999158294097857,-8.98590542779292
I.g1001.t1__Cnig_chr_I.g493.t1,0.0238109133581394,8.96866381712661,0.985647417047302,0.357148777364021,0.845017792009234,-8.41524477270857
I.g1002.t1__Cnig_chr_I.g494.t1,-0.0590066142634274,6.37541185803249,-0.517687436310446,0.620633540947141,0.999158294097857,-8.46187153903993
I.g1004.t3__Cnig_chr_I.g495.t1,-0.317651912915147,5.33271639821746,-6.22229221068348,0.000436119327764152,0.00447484858983654,-0.902269425213036
I.g1007.t2__Cnig_chr_I.g499.t1,0.00686809919837411,-2.60057671992785,0.0126361075532242,0.99027079125855,0.999158294097857,-6.40705313692248
I.g1009.t1__Cnig_chr_I.g502.t2,0.00853604977318495,4.06910347270219,0.117497057662366,0.909767245862341,0.999158294097857,-8.11110690282138
I.g1011.t2__Cnig_chr_I.g505.t3,0.000845657125608243,4.632084723597,0.00567123125864154,0.995633312503845,0.999324034652998,-8.24232454275114
I.g1012.t1__Cnig_chr_I.g506.t1,-0.0116057481406559,6.82744751385012,-0.254660466127646,0.806306457952431,0.999158294097857,-8.65197469133374
I.g1014.t1__Cnig_chr_I.g512.t1,0.0672299071474983,1.75081281582388,0.566988362841319,0.588437683747846,0.999158294097857,-7.44039136901126
I.g1015.t2__Cnig_chr_I.g514.t2,0.0159524773010067,3.44100394490552,0.13406754052308,0.897123229773893,0.999158294097857,-7.97441100984027
I.g1016.t1__Cnig_chr_I.g515.t1,-0.0176913161912745,5.94904790255764,-0.316759837896302,0.760665634663529,0.999158294097857,-8.47239066251763
I.g1017.t1__Cnig_chr_I.g516.t1,-0.0733911243922461,3.55328916888425,-1.13017753357291,0.295642893806315,0.770766631017882,-7.33872528773917
I.g1018.t1__Cnig_chr_I.g519.t1,-0.35375732354478,0.524435878489005,-2.70760741415265,0.0303105772484835,0.136449111175702,-4.44842016402022
I.g1019.t2__Cnig_chr_I.g521.t1,-0.127580931048022,2.18289576726102,-0.702008338558783,0.505343945801754,0.997730354531669,-7.44605854011141
I.g1021.t1__Cnig_chr_I.g522.t1,-0.0713923018594134,1.48925342264165,-0.708156911692521,0.501745969994054,0.993737644175452,-7.28055412170924
I.g1022.t1__Cnig_chr_I.g523.t1,-0.495673572033881,8.00038523016179,-9.95868427661891,2.20210958284819e-05,0.000412513993143443,2.02532138061721
I.g1023.t1__Cnig_chr_I.g524.t2,-0.00240245023407599,3.29060459042631,-0.0315301673639205,0.97572711152426,0.999158294097857,-7.95239316541854
I.g1025.t1__Cnig_chr_I.g526.t2,-0.0510163780406328,5.4977943197218,-1.02879075508827,0.337816400812179,0.816369172438526,-7.87132955798262
I.g1026.t1__Cnig_chr_I.g528.t2,0.0109863248307761,8.34627314765061,0.217468763975849,0.834047459893243,0.999158294097857,-8.84882913367504
I.g1030.t2__Cnig_chr_I.g530.t1,1.57302278810248,6.17343768939296,17.5243824876946,4.86283637843308e-07,2.06421169858871e-05,6.60942489284052
I.g1032.t1__Cnig_chr_I.g531.t1,-0.919532891093358,5.35206315372179,-13.3581890709579,3.0932675403904e-06,8.75368275746377e-05,4.66391510791438
I.g1035.t1__Cnig_chr_I.g533.t2,-0.495653699041229,2.29509404788316,-4.44245580814225,0.00300055506184629,0.0218445611054675,-2.39944498351186
