,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,HF1M
I.g1000.t2__Cnig_chr_I.g492.t1,11685.5028903424,0.710020081860986,0.143793616247897,4.93777192887984,7.90201786305935e-07,2.8140353733451e-06,1
I.g1001.t1__Cnig_chr_I.g493.t1,2520.09952174286,-0.0133433803374693,0.211503821416473,-0.0630881288484846,0.94969632727501,0.962339168460658,0
I.g1002.t1__Cnig_chr_I.g494.t1,1107.86500832979,0.0395133823204064,0.167802059689981,0.235476146081928,0.813839191049327,0.857119809696767,0
I.g1004.t3__Cnig_chr_I.g495.t1,664.604423572051,-0.723002718281436,0.144926804037601,-4.98874395997757,6.07731300551602e-07,2.19637638461952e-06,-1
I.g1007.t2__Cnig_chr_I.g499.t1,49.635105329612,0.997180757880826,0.362530319201176,2.75061341097782,0.00594837969295848,0.0118023406606319,1
I.g1009.t1__Cnig_chr_I.g502.t2,306.205165677317,-0.548923715912657,0.196398283592792,-2.79495169647604,0.0051907470317884,0.0104251073567389,-1
I.g1011.t2__Cnig_chr_I.g505.t3,1328.00676926136,-0.358495551531263,0.153097701210419,-2.34161289618936,0.0192006179714788,0.0342061218438021,-1
I.g1012.t1__Cnig_chr_I.g506.t1,1217.85716889089,0.130453533650364,0.203367249031602,0.641467759787087,0.521218821132908,0.602239351928076,0
I.g1014.t1__Cnig_chr_I.g512.t1,140.676901553297,2.24865678307452,0.278841778160805,8.06427500895418,7.36717489061691e-16,5.26364750312823e-15,1
I.g1015.t2__Cnig_chr_I.g514.t2,2680.47803366315,-0.38924353902707,0.203048059980027,-1.91700200959988,0.0552376763456744,0.0877376241792742,0
I.g1016.t1__Cnig_chr_I.g515.t1,1267.87724562109,-0.0512914093170309,0.132638643223053,-0.386700346676316,0.698978059473857,0.761000715009091,0
I.g1017.t1__Cnig_chr_I.g516.t1,442.109065810997,0.712299602411021,0.177324791525903,4.01692056864463,5.89635873831791e-05,0.000165713464953757,1
I.g1018.t1__Cnig_chr_I.g519.t1,288.632574963757,0.145625768314474,0.266975808969013,0.545464283362754,0.585434238825651,0.660528445180481,0
I.g1019.t2__Cnig_chr_I.g521.t1,367.228963258995,0.197201369930164,0.191379770557661,1.03041909474308,0.302813313429155,0.382872252734989,0
I.g1021.t1__Cnig_chr_I.g522.t1,440.644140605043,0.373396684471778,0.160483296315862,2.32670123959108,0.0199811718425174,0.0353884656641493,1
I.g1022.t1__Cnig_chr_I.g523.t1,3069.17574901829,0.688416211666626,0.183630715844007,3.74891645170861,0.000177600233658933,0.000460038628061399,1
I.g1023.t1__Cnig_chr_I.g524.t2,1107.75580578083,0.0433548715692354,0.236965532924199,0.182958555340215,0.854830537696842,0.890742679557914,0
I.g1025.t1__Cnig_chr_I.g526.t2,3635.37336906503,1.48231227396059,0.139795265986655,10.6034511504996,2.87182815127352e-26,3.27436473314658e-25,1
