"logFC","DE","species","sex","p.value","genes","chromosome","species_DE"
0.0270758049285221,"no sig","nigoni","male",0.946644415302277,"I.g1000.t2__Cnig_chr_I.g492.t1","I","nigoni no sig"
0.116119061275573,"no sig","nigoni","male",0.758387799891385,"I.g1001.t1__Cnig_chr_I.g493.t1","I","nigoni no sig"
-0.0212741778649599,"no sig","briggsae","male",0.953401469000555,"I.g1002.t1__Cnig_chr_I.g494.t1","I","briggsae no sig"
2.05041419502874,"sig","nigoni","male",2.90703238282332e-26,"I.g1004.t3__Cnig_chr_I.g495.t1","I","nigoni sig"
-0.209943269670032,"no sig","briggsae","male",0.721132088884025,"I.g1007.t2__Cnig_chr_I.g499.t1","I","briggsae no sig"
0.483069584819282,"no sig","nigoni","male",0.130487313387337,"I.g1009.t1__Cnig_chr_I.g502.t2","I","nigoni no sig"
1.14574738412471,"sig","nigoni","male",1.0918709997812e-09,"I.g1011.t2__Cnig_chr_I.g505.t3","I","nigoni sig"
0.11123198769816,"no sig","nigoni","male",0.849607528466721,"I.g1012.t1__Cnig_chr_I.g506.t1","I","nigoni no sig"
-2.45891263103263,"sig","briggsae","male",5.49984068645859e-12,"I.g1014.t1__Cnig_chr_I.g512.t1","I","briggsae sig"
1.07329496239259,"sig","nigoni","male",0.00972469955057924,"I.g1015.t2__Cnig_chr_I.g514.t2","I","nigoni sig"
0.442603847739125,"no sig","nigoni","male",0.29553611664448,"I.g1016.t1__Cnig_chr_I.g515.t1","I","nigoni no sig"
0.648064926412288,"sig","nigoni","male",0.012362981003901,"I.g1017.t1__Cnig_chr_I.g516.t1","I","nigoni sig"
-0.330546419112198,"no sig","briggsae","male",0.329599945202573,"I.g1018.t1__Cnig_chr_I.g519.t1","I","briggsae no sig"
-0.713050608752909,"sig","briggsae","male",0.0247725213934798,"I.g1019.t2__Cnig_chr_I.g521.t1","I","briggsae sig"
-0.118305190418891,"no sig","briggsae","male",0.617705105631206,"I.g1021.t1__Cnig_chr_I.g522.t1","I","briggsae no sig"
-1.65637110295572,"sig","briggsae","male",4.29274090391726e-13,"I.g1022.t1__Cnig_chr_I.g523.t1","I","briggsae sig"
12.1823529612444,"sig","nigoni","male",2.6653063435268e-22,"I.g1023.t1__Cnig_chr_I.g524.t2","I","nigoni sig"
