"sex","species_AS","species_parents","logFC_F1_cis","logFC_parents","trans_effects","p.value","genes","type","chromosome"
"female","no DE","Cni",0.00750354015284725,0.558862371105328,"sig",0.0142043801960888,"I.g1000.t2__Cnig_chr_I.g492.t1","trans only","I"
"female","no DE","no DE",0.0238109133581394,0.0690446910910207,"non sig",0.821018989062375,"I.g1001.t1__Cnig_chr_I.g493.t1","conserved","I"
"female","no DE","Cni",-0.0590066142634274,0.918881613544575,"sig",0.0131037572634191,"I.g1002.t1__Cnig_chr_I.g494.t1","trans only","I"
"female","Cbr","Cni",-0.317651912915147,1.48796019356682,"sig",3.01169196720644e-05,"I.g1004.t3__Cnig_chr_I.g495.t1","cis-trans (compensatory)","I"
"female","no DE","no DE",0.00686809919837411,-0.634509825365003,"non sig",0.381247199986779,"I.g1007.t2__Cnig_chr_I.g499.t1","conserved","I"
"female","no DE","Cbr",0.00853604977318495,-0.474268340963191,"sig",0.0169871529252625,"I.g1009.t1__Cnig_chr_I.g502.t2","trans only","I"
"female","no DE","Cni",0.000845657125608243,1.31101125402187,"sig",0.00134771881469484,"I.g1011.t2__Cnig_chr_I.g505.t3","trans only","I"
"female","no DE","Cbr",-0.0116057481406559,-0.578148851925865,"sig",0.0389636218519786,"I.g1012.t1__Cnig_chr_I.g506.t1","trans only","I"
"female","no DE","Cbr",0.0672299071474983,-3.48664991754846,"sig",6.0934075253116e-05,"I.g1014.t1__Cnig_chr_I.g512.t1","trans only","I"
"female","no DE","Cni",0.0159524773010067,2.04507198065708,"sig",0.000104650434319914,"I.g1015.t2__Cnig_chr_I.g514.t2","trans only","I"
"female","no DE","no DE",-0.0176913161912745,0.381158232597329,"non sig",0.117944458160467,"I.g1016.t1__Cnig_chr_I.g515.t1","conserved","I"
"female","no DE","no DE",-0.0733911243922461,-0.323049987391369,"non sig",0.10939630343252,"I.g1017.t1__Cnig_chr_I.g516.t1","conserved","I"
"female","no DE","Cbr",-0.35375732354478,-0.843938528584697,"sig",0.0391386362738413,"I.g1018.t1__Cnig_chr_I.g519.t1","trans only","I"
"female","no DE","no DE",-0.127580931048022,0.376275830016666,"non sig",0.260113612155383,"I.g1019.t2__Cnig_chr_I.g521.t1","conserved","I"
"female","no DE","Cni",-0.0713923018594134,1.23400913767582,"sig",0.000338528142432896,"I.g1021.t1__Cnig_chr_I.g522.t1","trans only","I"
"female","Cbr","no DE",-0.495673572033881,-0.279984389732568,"non sig",0.190409186378543,"I.g1022.t1__Cnig_chr_I.g523.t1","ambiguous","I"
"female","no DE","Cni",-0.00240245023407599,3.426389499923,"sig",0.00100571195152378,"I.g1023.t1__Cnig_chr_I.g524.t2","trans only","I"
"female","no DE","no DE",-0.0510163780406328,0.170731746249062,"non sig",0.179133833391738,"I.g1025.t1__Cnig_chr_I.g526.t2","conserved","I"
"female","no DE","Cni",0.0109863248307761,0.55542474628838,"sig",0.00681748088904814,"I.g1026.t1__Cnig_chr_I.g528.t2","trans only","I"
"female","Cni","Cni",1.57302278810248,2.57139338381276,"sig",0.0399039127234449,"I.g1030.t2__Cnig_chr_I.g530.t1","cis-trans (enhancing)","I"
"female","Cbr","no DE",-0.919532891093358,0.0677292144514657,"sig",0.00440978489386271,"I.g1032.t1__Cnig_chr_I.g531.t1","cis-trans (compensatory)","I"
"female","Cbr","Cbr",-0.495653699041229,-6.48056938679882,"sig",0.00393814326801145,"I.g1035.t1__Cnig_chr_I.g533.t2","cis-trans (enhancing)","I"
"female","no DE","no DE",-0.0498087338472659,0.290707000236416,"non sig",0.202813893098002,"I.g1036.t3__Cnig_chr_I.g534.t4","conserved","I"
"female","no DE","Cbr",0.183413522803811,-0.970201620345804,"sig",0.000665966208186249,"I.g1037.t1__Cnig_chr_I.g535.t1","trans only","I"
"female","Cbr","no DE",-0.806626878355288,-0.0262861456708113,"sig",0.00800673186839541,"I.g1038.t3__Cnig_chr_I.g536.t1","cis-trans (compensatory)","I"
"female","no DE","Cbr",-0.02525073813178,-1.72201391781562,"sig",0.00287832123303969,"I.g1040.t1__Cnig_chr_I.g542.t1","trans only","I"
"female","no DE","Cni",0.0089741358367902,1.83907656619946,"non sig",0.0675431329507473,"I.g1041.t1__Cnig_chr_I.g543.t1","ambiguous","I"
"female","Cbr","Cbr",-1.5052965481698,-1.60503742563839,"non sig",0.915054514020009,"I.g1042.t3__Cnig_chr_I.g545.t2","cis only","I"
"female","no DE","Cbr",-0.0649952919646997,-4.46066471394937,"sig",2.06761003728164e-05,"I.g1045.t1__Cnig_chr_I.g547.t1","trans only","I"
