,logFC,AveExpr,t,P.Value,adj.P.Val,B
I.g1000.t2__Cnig_chr_I.g492.t1,-1.08442397368668,8.20229541007649,-3.86127515346801,0.00522950978916425,0.0130383335180142,-2.70197141211711
I.g1001.t1__Cnig_chr_I.g493.t1,-1.55705409150398,6.54079504249578,-5.52353936737271,0.000652033876549044,0.00279467205858108,-0.426688567314735
I.g1002.t1__Cnig_chr_I.g494.t1,-0.380169385585274,4.89330351881537,-1.33430291663504,0.2204566700043,0.28316634056221,-6.36539977988791
I.g1004.t3__Cnig_chr_I.g495.t1,-0.994661104568308,2.76460037794064,-4.6965232847356,0.00174735792622243,0.00577748882934339,-1.33854268460169
I.g1007.t2__Cnig_chr_I.g499.t1,-0.261222196876996,-0.00608114600744451,-0.74825263750098,0.476679814308199,0.548685261362234,-6.41953677708798
I.g1009.t1__Cnig_chr_I.g502.t2,-1.3894599369104,3.31299085354673,-5.61578784755139,0.000587546821849237,0.00262355701570172,-0.210770722073763
I.g1011.t2__Cnig_chr_I.g505.t3,0.368468138086154,3.83817236699306,2.09807692344913,0.0707252314814068,0.107937884966554,-5.26740801032121
I.g1012.t1__Cnig_chr_I.g506.t1,-1.40154974317716,5.21868337062685,-3.13815714240909,0.0146514830113282,0.029534892085545,-3.71830358976289
I.g1014.t1__Cnig_chr_I.g512.t1,-1.53247632280583,3.43348085914324,-5.24456190060108,0.000899622043398452,0.00351255729444844,-0.673651635012221
I.g1015.t2__Cnig_chr_I.g514.t2,0.830166168693718,4.59342143658716,2.20182667987559,0.060339819239188,0.0945840414254711,-5.14287155807914
I.g1016.t1__Cnig_chr_I.g515.t1,-0.643060887175041,4.73852614518815,-1.77406210945275,0.11569646357846,0.163113047012255,-5.77853776156474
I.g1017.t1__Cnig_chr_I.g516.t1,-0.139139348822019,2.43569849159627,-0.696075225610397,0.506975231608399,0.577130660713809,-6.83175502133322
I.g1018.t1__Cnig_chr_I.g519.t1,0.473150053778014,2.81407038696241,2.63861879385593,0.0309553166641074,0.0542219566061948,-4.35951763742296
