,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,CniF
I.g1000.t2__Cnig_chr_I.g492.t1,14968.4761001372,0.506329309259662,0.205260693706925,2.4667621458135,0.0136340889317178,0.0232375117986742,1
I.g1001.t1__Cnig_chr_I.g493.t1,4630.07507141317,0.0179059026213591,0.207459149659888,0.0863104984798905,0.931219593041281,0.947143225568644,0
I.g1002.t1__Cnig_chr_I.g494.t1,1387.39228877861,0.850804734162426,0.242043799967073,3.51508584098485,0.000439611864665076,0.000966422402937862,1
I.g1004.t3__Cnig_chr_I.g495.t1,510.476379993315,1.43679913993016,0.210149215933334,6.83704259161244,8.08447116778299e-12,4.02186200790256e-11,1
I.g1007.t2__Cnig_chr_I.g499.t1,25.2288725922276,-0.702912802857023,0.468296070677292,-1.50100085580562,0.133355340217558,0.182717528396602,0
I.g1009.t1__Cnig_chr_I.g502.t2,391.999261320808,-0.517476183727453,0.217576127579722,-2.37836838757894,0.017389443414195,0.0289880808646126,-1
I.g1011.t2__Cnig_chr_I.g505.t3,612.109740431275,1.26506359146456,0.197452175801495,6.4069366991244,1.48472424748056e-10,6.69428301057024e-10,1
I.g1012.t1__Cnig_chr_I.g506.t1,1444.71425608168,-0.636593899660352,0.231229924347433,-2.75307748967578,0.00590379204441625,0.0107550556957328,-1
I.g1014.t1__Cnig_chr_I.g512.t1,291.534492644736,-3.57651749780332,0.310852979877346,-11.5054952962475,1.23776713677403e-30,2.14772307898076e-29,-1
I.g1015.t2__Cnig_chr_I.g514.t2,1299.33985952468,1.99376749802079,0.210345814417236,9.47852232545977,2.57909297458055e-21,2.52732556883178e-20,1
I.g1016.t1__Cnig_chr_I.g515.t1,1091.12827036359,0.328702772810406,0.231652988503858,1.41894466776944,0.155915148355493,0.21004057321236,0
I.g1017.t1__Cnig_chr_I.g516.t1,143.670456316639,-0.366125950854014,0.253412495242399,-1.44478254911543,0.148518974297831,0.201111139169972,0
I.g1018.t1__Cnig_chr_I.g519.t1,131.126816456618,-0.874665576966303,0.270594183669898,-3.23238868294864,0.00122759954378162,0.00251105772426031,-1
I.g1019.t2__Cnig_chr_I.g521.t1,249.883750701724,0.3037613467789,0.293339463231438,1.03552840600666,0.300422207600283,0.372241507297686,0
I.g1021.t1__Cnig_chr_I.g522.t1,391.351831604943,1.18982414500708,0.227473724679476,5.23060035476013,1.68960423426106e-07,5.69796961497149e-07,1
I.g1022.t1__Cnig_chr_I.g523.t1,4005.07001271355,-0.325874076070158,0.193168770385583,-1.68699151223918,0.0916049840397742,0.130654606032017,0
I.g1023.t1__Cnig_chr_I.g524.t2,2.8894915100134,4.92215719562502,1.80831016560335,2.72196511928733,0.00648949916743863,0.0117372816571082,1
I.g1025.t1__Cnig_chr_I.g526.t2,1091.62840437012,0.140302548703647,0.201024283895208,0.697938308671132,0.485215775514076,0.560000345558145,0
I.g1026.t1__Cnig_chr_I.g528.t2,8304.3878855011,0.506307299388664,0.190122146216567,2.66306324362619,0.00774328593492148,0.0138323013402709,1
I.g1030.t2__Cnig_chr_I.g530.t1,1348.87358151949,2.47636316109212,0.292702601809136,8.46033873900066,2.66601978064271e-17,2.05633323496559e-16,1
I.g1032.t1__Cnig_chr_I.g531.t1,709.713514581133,0.00669248750664227,0.237793814075774,0.02814407739181,0.977547239307962,0.983800852043976,0
I.g1035.t1__Cnig_chr_I.g533.t2,1208.12510609035,-6.40313973498459,1.04499248293558,-6.12745052193771,8.92983551950877e-10,3.74832941791152e-09,-1
I.g1036.t3__Cnig_chr_I.g534.t4,1374.89367423214,0.221058597868667,0.230201211063359,0.960284252404839,0.336912173434994,0.410252164702133,0
I.g1037.t1__Cnig_chr_I.g535.t1,732.701557492399,-1.02889149881827,0.218216255953531,-4.71500848698169,2.41700674522381e-06,7.15852334783507e-06,-1
I.g1038.t3__Cnig_chr_I.g536.t1,1983.98896572666,-0.0849635523497609,0.225040821105126,-0.377547290898263,0.705766927041408,0.760573755570518,0
I.g1040.t1__Cnig_chr_I.g542.t1,1052.65702888421,-1.79145942540896,0.293691060856371,-6.09980916744711,1.06195171055731e-09,4.42891740646084e-09,-1
I.g1041.t1__Cnig_chr_I.g543.t1,88.6349636611557,1.8230757999869,0.384680669741347,4.7391926431154,2.14571435862186e-06,6.38697012211283e-06,1
I.g1042.t3__Cnig_chr_I.g545.t2,36.4523434858803,-1.65514145477083,0.424366528611533,-3.900263906737,9.60878889427038e-05,0.000233092276988169,-1
I.g1043.t1__Cnig_chr_I.g546.t3,7.88223078455857,5.37986553728219,1.56570292565302,3.43607043784399,0.000590217499252879,0.00126763679554138,1
I.g1045.t1__Cnig_chr_I.g547.t1,238.870155424801,-4.5069205254159,0.324687826267673,-13.8807807401451,8.28367059678257e-44,3.32837395866594e-42,-1
I.g1046.t1__Cnig_chr_I.g548.t1,1080.43263368662,0.512321283275429,0.20925421196657,2.44832005272743,0.0143524102105982,0.0243667181202242,1
I.g1052.t1__Cnig_chr_I.g554.t1,1106.90158267661,0.67554870685693,0.267660209609277,2.52390412397524,0.011605957687139,0.0200666095019701,1
I.g1056.t1__Cnig_chr_I.g580.t3,20.6627787066457,-3.58132336385106,0.692200597965956,-5.1738229848036,2.29352122138315e-07,7.62510435842323e-07,-1
I.g1057.t1__Cnig_chr_I.g579.t1,1102.64835047317,0.295484167273352,0.223561543738647,1.32171285960874,0.186263784849595,0.245655623580813,0
I.g1059.t1__Cnig_chr_I.g578.t1,928.381119683778,-0.249612261652782,0.228127722477812,-1.09417767793241,0.273877059509222,0.34398150553943,0
I.g1060.t1__Cnig_chr_I.g577.t3,286.124614053803,0.131714285165584,0.263252884521998,0.500333682590958,0.616840140914594,0.682865698910735,0
I.g1061.t1__Cnig_chr_I.g576.t1,9254.50479570689,-0.871884040239014,0.229087680419942,-3.80589667083257,0.000141291365701294,0.00033528391850476,-1
I.g1063.t1__Cnig_chr_I.g575.t1,309.801985119785,2.17138217159269,0.466294720456089,4.65667329338155,3.21359793735615e-06,9.36709127000387e-06,1
I.g1065.t1__Cnig_chr_I.g569.t3,1021.81741055667,0.543963169300533,0.211089604082478,2.57693016984386,0.00996820861478419,0.0174722647718409,1
I.g1066.t1__Cnig_chr_I.g568.t1,662.228279282929,-0.20653360079299,0.230231522033094,-0.89706917180221,0.369682007619017,0.444512590552492,0
I.g1067.t1__Cnig_chr_I.g567.t1,1133.02005105359,-0.0342491825390232,0.177717577586678,-0.192716910753067,0.847180678851395,0.878995126952685,0
I.g1069.t2__Cnig_chr_I.g566.t1,3064.36315122905,-1.72906410290193,0.280895587520771,-6.15554027801905,7.48219761297528e-10,3.16506253684274e-09,-1
I.g1070.t1__Cnig_chr_I.g564.t2,351.181781977149,0.0684024651306927,0.243079960079746,0.281399030624541,0.778404361541716,0.823570437203644,0
I.g1071.t1__Cnig_chr_I.g563.t1,306.899216333998,2.35068567928718,0.282341158349691,8.32569255232623,8.38371373832096e-17,6.22653025243564e-16,1
I.g1072.t1__Cnig_chr_I.g562.t3,409.573665318159,0.857555950772012,0.331757754297289,2.58488592855482,0.00974112195419189,0.0171138684558297,1
I.g1075.t1__Cnig_chr_I.g72.t1,13.3732219785799,-5.35446537428083,1.24050511957542,-4.31635894909765,1.58623961027966e-05,4.25905179018711e-05,-1
I.g1077.t3__Cnig_chr_I.g70.t2,361.504149299352,-3.075463043643,0.242526106099305,-12.6809566735208,7.54058531281429e-37,1.945271070944e-35,-1
I.g1078.t1__Cnig_chr_I.g69.t1,559.108719501554,1.53079062303938,0.312188074533629,4.90342440314605,9.41801977907916e-07,2.92016497634503e-06,1
I.g1079.t1__Cnig_chr_I.g68.t1,201.858216587389,0.232857937015449,0.234102352009203,0.994684312297274,0.319889826694601,0.392648403118605,0
I.g1080.t1__Cnig_chr_I.g67.t1,218.56496694943,0.0776984522886875,0.261562659044646,0.297054834097803,0.76642464589145,0.813676547286629,0
I.g1081.t2__Cnig_chr_I.g66.t1,132.188939883036,0.568023708418555,0.272402569178099,2.08523623742762,0.0370478620580808,0.0576323582792507,0
I.g1082.t1__Cnig_chr_I.g64.t1,35.7644513307303,-1.32674925727336,0.443560133297394,-2.99113729498277,0.0027794049942914,0.00537759594136977,-1
I.g1083.t2__Cnig_chr_I.g63.t1,4389.71841065073,-0.526216744858214,0.185496406749035,-2.83680290136375,0.00455677323409452,0.00847689268254595,-1
I.g1084.t2__Cnig_chr_I.g60.t2,3602.83118512219,-0.447722874614398,0.182291234770739,-2.45608558841286,0.0140459700113935,0.0238894348830286,-1
I.g1085.t1__Cnig_chr_I.g59.t1,1382.00346517139,0.632022033810313,0.216217552786179,2.92308383693219,0.00346583184177654,0.0065822776794253,1
I.g1086.t1__Cnig_chr_I.g58.t1,7887.99950950462,2.55662997915737,0.237452183139953,10.7669255567573,4.93196071479988e-27,6.9113412444742e-26,1
I.g1087.t1__Cnig_chr_I.g57.t1,170.260770633163,-0.246715625532163,0.259092208810081,-0.952230970839461,0.340979857299691,0.414316381470034,0
I.g1088.t1__Cnig_chr_I.g56.t1,301.335535985954,0.013150852396928,0.255992442980875,0.0513720336576906,0.959029069246799,0.969060456395448,0
I.g1089.t2__Cnig_chr_I.g55.t2,971.019728282327,-1.54734075893638,0.445074159905365,-3.47659086581298,0.000507832113442313,0.00110409915677538,-1
I.g1090.t1__Cnig_chr_I.g54.t1,1847.30777279937,-0.716802071865616,0.213599668826914,-3.35582014617476,0.000791300108769217,0.00166820906694714,-1
I.g1091.t1__Cnig_chr_I.g53.t1,426.073647246758,-1.4577410544801,0.259867120802587,-5.60956326440199,2.02837838948646e-08,7.49350204588964e-08,-1
I.g1092.t1__Cnig_chr_I.g52.t2,748.34236671946,0.447384808373328,0.208000776224051,2.15088047503929,0.031485635021095,0.0498044169808773,1
I.g1093.t2__Cnig_chr_I.g51.t2,577.62154718511,4.8447981244757,0.378785977840591,12.7903312369039,1.85680815295357e-37,5.04822032961689e-36,1
I.g1094.t2__Cnig_chr_I.g50.t1,2141.11653372918,-0.138546001968386,0.185876131039359,-0.745367364780418,0.456049667217283,0.531109141344614,0
I.g1095.t1__Cnig_chr_I.g49.t1,839.130759305514,0.0865900468115319,0.196727645168166,0.440151900041873,0.65982709439046,0.720094932512816,0
I.g1096.t1__Cnig_chr_I.g48.t2,2107.03874093762,0.697451618586333,0.219261533419479,3.18091188960175,0.00146812274026022,0.00296651829774283,1
I.g1097.t1__Cnig_chr_I.g47.t2,67.340587408156,2.38533545215008,0.416504251221886,5.72703746757035,1.02199603593225e-08,3.887352137792e-08,1
I.g1099.t2__Cnig_chr_I.g46.t2,3067.25935801725,4.02509220687266,0.329124773928381,12.2296846841087,2.15774586496959e-34,4.81025473432911e-33,1
I.g1100.t1__Cnig_chr_I.g45.t1,1568.01250151062,2.42355642519227,0.365234322739216,6.63562068048774,3.23139860048664e-11,1.54438176621854e-10,1
I.g1101.t1__Cnig_chr_I.g44.t1,2433.14501175263,-0.335075354368419,0.207329610150902,-1.6161480944499,0.106062297981393,0.148828119996348,0
