gene_id	HF2_Cbr	HF2_Cni
I.g1000.t2__Cnig_chr_I.g492.t1	25317	33660
I.g1001.t1__Cnig_chr_I.g493.t1	11032	16018
I.g1002.t1__Cnig_chr_I.g494.t1	2672	1334
I.g1004.t3__Cnig_chr_I.g495.t1	337	1223
I.g1005.t1__Cnig_chr_I.g496.t3	0	0
I.g1007.t2__Cnig_chr_I.g499.t1	6	3
I.g1009.t1__Cnig_chr_I.g502.t2	572	421
I.g1011.t2__Cnig_chr_I.g505.t3	402	1138
I.g1012.t1__Cnig_chr_I.g506.t1	4114	2451
I.g1014.t1__Cnig_chr_I.g512.t1	129	46
I.g1015.t2__Cnig_chr_I.g514.t2	377	189
I.g1016.t1__Cnig_chr_I.g515.t1	1878	1539
I.g1017.t1__Cnig_chr_I.g516.t1	400	228
I.g1018.t1__Cnig_chr_I.g519.t1	60	33
I.g1019.t2__Cnig_chr_I.g521.t1	171	69
I.g1021.t1__Cnig_chr_I.g522.t1	103	49
I.g1022.t1__Cnig_chr_I.g523.t1	7017	5443
I.g1023.t1__Cnig_chr_I.g524.t2	234	292
I.g1025.t1__Cnig_chr_I.g526.t2	1419	862
I.g1026.t1__Cnig_chr_I.g528.t2	7274	8742
I.g1030.t2__Cnig_chr_I.g530.t1	795	3688
I.g1032.t1__Cnig_chr_I.g531.t1	945	928
I.g1035.t1__Cnig_chr_I.g533.t2	103	164
I.g1036.t3__Cnig_chr_I.g534.t4	1156	1786
I.g1037.t1__Cnig_chr_I.g535.t1	362	869
I.g1038.t3__Cnig_chr_I.g536.t1	3137	1946
I.g1040.t1__Cnig_chr_I.g542.t1	1325	1659
I.g1041.t1__Cnig_chr_I.g543.t1	13	14
I.g1042.t3__Cnig_chr_I.g545.t2	15	4
I.g1043.t1__Cnig_chr_I.g546.t3	0	2
I.g1045.t1__Cnig_chr_I.g547.t1	51	10
I.g1046.t1__Cnig_chr_I.g548.t1	1184	1513
I.g1052.t1__Cnig_chr_I.g554.t1	348	708
I.g1056.t1__Cnig_chr_I.g580.t3	4	9
I.g1057.t1__Cnig_chr_I.g579.t1	1530	1846
I.g1059.t1__Cnig_chr_I.g578.t1	1512	1093
I.g1060.t1__Cnig_chr_I.g577.t3	452	434
I.g1061.t1__Cnig_chr_I.g576.t1	5560	3993
I.g1063.t1__Cnig_chr_I.g575.t1	439	796
I.g1065.t1__Cnig_chr_I.g569.t3	1275	1630
I.g1066.t1__Cnig_chr_I.g568.t1	869	785
I.g1067.t1__Cnig_chr_I.g567.t1	1178	1391
I.g1069.t2__Cnig_chr_I.g566.t1	4423	16038
I.g1070.t1__Cnig_chr_I.g564.t2	84	172
I.g1071.t1__Cnig_chr_I.g563.t1	48	108
I.g1072.t1__Cnig_chr_I.g562.t3	102	420
I.g1075.t1__Cnig_chr_I.g72.t1	3	0
I.g1077.t3__Cnig_chr_I.g70.t2	8	20
I.g1078.t1__Cnig_chr_I.g69.t1	21	10
I.g1079.t1__Cnig_chr_I.g68.t1	98	47
I.g1080.t1__Cnig_chr_I.g67.t1	136	154
I.g1081.t2__Cnig_chr_I.g66.t1	49	32
I.g1082.t1__Cnig_chr_I.g64.t1	36	3
