,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
I.g1000.t2__Cnig_chr_I.g492.t1,9619.51672009663,-1.07867841240134,0.319005563054431,-3.3813780614769,0.000721232358755087,0.00188542193919685
I.g1001.t1__Cnig_chr_I.g493.t1,3261.77235632854,-1.54750369038357,0.323571382264561,-4.78257279600299,1.73065680689185e-06,8.00273669940023e-06
I.g1002.t1__Cnig_chr_I.g494.t1,915.844627377399,-0.405625741174551,0.326508280693815,-1.24231379465358,0.21412080766393,0.284905414972027
I.g1004.t3__Cnig_chr_I.g495.t1,216.216858012712,-1.04137176154344,0.26548684330712,-3.92249856366239,8.7635415972515e-05,0.000284023468277517
I.g1007.t2__Cnig_chr_I.g499.t1,29.9269695679411,-0.2864825298184,0.455612762016003,-0.628785130053793,0.529489736333375,0.608004153361529
I.g1009.t1__Cnig_chr_I.g502.t2,336.042986091494,-1.39993800695341,0.299618273382971,-4.6724052947332,2.97692793314403e-06,1.31205701029947e-05
I.g1011.t2__Cnig_chr_I.g505.t3,428.630470542676,0.329345852413538,0.226303269405542,1.45532962594252,0.145578028665668,0.204322157538633
I.g1012.t1__Cnig_chr_I.g506.t1,1313.15101497201,-1.270629578002,0.443708175144995,-2.8636605074648,0.00418776583475447,0.00909834784502961
I.g1014.t1__Cnig_chr_I.g512.t1,378.99620522285,-1.57769991645692,0.330074302060831,-4.7798326213416,1.75441192572353e-06,8.09599833798958e-06
I.g1015.t2__Cnig_chr_I.g514.t2,787.36467399152,0.895932007476831,0.382091328715012,2.34481114892057,0.0190367191675576,0.0347376215070313
I.g1016.t1__Cnig_chr_I.g515.t1,847.611745721424,-0.594422661935428,0.378580104566633,-1.57013708529632,0.116383222492535,0.168605665358743
I.g1017.t1__Cnig_chr_I.g516.t1,161.068220964136,-0.176262488579731,0.255386940735153,-0.690178158962805,0.490082156599527,0.571899468887416
I.g1018.t1__Cnig_chr_I.g519.t1,211.176884368936,0.440953828285011,0.233467462164085,1.88871641554531,0.0589298378196946,0.093241322830601
I.g1019.t2__Cnig_chr_I.g521.t1,317.245078481167,0.755852422072929,0.340540634464203,2.21956602407277,0.0264482407572582,0.0463588679715678
I.g1021.t1__Cnig_chr_I.g522.t1,273.845975775745,0.229439315201072,0.245701413876734,0.933813573071986,0.350400066802863,0.431987848605314
I.g1022.t1__Cnig_chr_I.g523.t1,4973.12386921811,0.15633822636521,0.250758662524603,0.623460919719458,0.532981675840987,0.611288323955486
I.g1023.t1__Cnig_chr_I.g524.t2,0,NA,NA,NA,NA,NA
I.g1025.t1__Cnig_chr_I.g526.t2,1399.84195679797,0.637490446523623,0.198581573160381,3.21021954040401,0.00132633629088426,0.00325609909801277
I.g1026.t1__Cnig_chr_I.g528.t2,6017.95032114972,-0.593566731122065,0.279017511872432,-2.12734579682385,0.0333913622156713,0.0568013827994289
I.g1030.t2__Cnig_chr_I.g530.t1,418.487890289711,-0.0956225244018502,0.48420217968422,-0.197484704559182,0.843448249743181,0.87806787813387
I.g1032.t1__Cnig_chr_I.g531.t1,654.976462346618,-0.40532967095117,0.420093684104286,-0.964855426987447,0.334617229469294,0.415884729515379
I.g1035.t1__Cnig_chr_I.g533.t2,4040.44383297873,1.128085165339,0.961210061808514,1.1736094014835,0.240551513751589,0.314663869253576
I.g1036.t3__Cnig_chr_I.g534.t4,1146.67144053556,-0.49817901791741,0.262872560222644,-1.89513510841706,0.058074504445535,0.0920062098737075
I.g1037.t1__Cnig_chr_I.g535.t1,813.605070374305,-0.82245212643446,0.277890437233382,-2.95962730715968,0.00308011411252354,0.00690742498734879
I.g1038.t3__Cnig_chr_I.g536.t1,1790.99113886844,-0.593150175871768,0.284921377312216,-2.08180299234548,0.0373604683284132,0.0626793240480649
I.g1040.t1__Cnig_chr_I.g542.t1,968.567816992621,-3.04153538596114,0.400251278322308,-7.59906476429015,2.98278485288786e-14,4.07657296140396e-13
I.g1041.t1__Cnig_chr_I.g543.t1,44.3929531945538,0.200875021795285,0.412033100476414,0.487521564561252,0.625888764642273,0.697132028032858
I.g1042.t3__Cnig_chr_I.g545.t2,84.2063841896916,0.90805278234972,0.366935409736365,2.47469379693318,0.0133350450936745,0.0253451937621004
I.g1043.t1__Cnig_chr_I.g546.t3,1.68154735612434,2.93193356471441,1.98347553639597,1.47817984689734,0.139359646607665,0.19705075321016
I.g1045.t1__Cnig_chr_I.g547.t1,1486.81255986758,2.36861271971462,0.236010413785315,10.0360517221465,1.05825547959559e-23,3.24276294471553e-22
I.g1046.t1__Cnig_chr_I.g548.t1,718.274035845166,-0.923793679308812,0.24478661000826,-3.77387341275586,0.000160732340913305,0.000487888575824699
I.g1052.t1__Cnig_chr_I.g554.t1,1008.75488654452,0.320599372302644,0.258598700338707,1.23975631696033,0.215065539924681,0.285993880485015
I.g1056.t1__Cnig_chr_I.g580.t3,23.5401276311227,-2.57219610897866,0.577463652372995,-4.45429958822279,8.41675065577865e-06,3.38871792157747e-05
I.g1057.t1__Cnig_chr_I.g579.t1,885.355540438915,-0.530779085626142,0.25127374439707,-2.11235394648869,0.0346561019639874,0.0586875432296746
I.g1059.t1__Cnig_chr_I.g578.t1,739.057924390432,-1.3561098217088,0.359730371807576,-3.7697951799138,0.000163381573162061,0.000494931788617077
I.g1060.t1__Cnig_chr_I.g577.t3,212.102821022597,-1.09775448427537,0.307323580652371,-3.57198260525636,0.000354288948464047,0.000989583319859157
I.g1061.t1__Cnig_chr_I.g576.t1,14741.1651949732,0.415492151852187,0.291322997209626,1.4262250348647,0.153803395447259,0.214221700407535
I.g1063.t1__Cnig_chr_I.g575.t1,93.1859470545444,-0.781998344511523,0.736700255727897,-1.06148781465926,0.288468267725924,0.367062590950762
I.g1065.t1__Cnig_chr_I.g569.t3,678.798330975943,-0.87429534049222,0.240783704114323,-3.63104033019239,0.000282281064662233,0.000807437115054971
I.g1066.t1__Cnig_chr_I.g568.t1,593.393724612802,-0.782274393009746,0.262782901885302,-2.97688467323185,0.00291193524451948,0.00657649674033215
I.g1067.t1__Cnig_chr_I.g567.t1,1234.69371165868,0.0586470398495609,0.198803518346353,0.295000009745234,0.767993872262577,0.816588868419244
I.g1069.t2__Cnig_chr_I.g566.t1,2769.0327914012,-3.14697824064507,0.437697158783442,-7.18985302393084,6.48611053917628e-13,7.77414877368173e-12
I.g1070.t1__Cnig_chr_I.g564.t2,369.271824042457,0.0587434450062574,0.237126483153291,0.247730427344476,0.804342987918243,0.846729475234314
I.g1071.t1__Cnig_chr_I.g563.t1,109.434767495553,0.0838286078242153,0.313622627329468,0.267291325686624,0.789244864984314,0.834989255690325
I.g1072.t1__Cnig_chr_I.g562.t3,222.314237568647,-1.17399377890292,0.39767001565049,-2.9521807848212,0.00315538132100631,0.00705571811320941
I.g1075.t1__Cnig_chr_I.g72.t1,264.56597293435,4.18612212441269,0.535303877216808,7.82008556743038,5.27874424123074e-15,7.8051650658547e-14
I.g1077.t3__Cnig_chr_I.g70.t2,1519.39907088919,1.78875459509447,0.227607113262353,7.85895734740352,3.87344093458844e-15,5.83558220445671e-14
