,logFC,AveExpr,t,P.Value,adj.P.Val,B
I.g1000.t2__Cnig_chr_I.g492.t1,0.558862371105328,8.83758684864756,3.52877690281812,0.00641475224517065,0.0116683118713144,-3.38493879739241
I.g1001.t1__Cnig_chr_I.g493.t1,0.0690446910910207,7.16675454825091,0.432546329459052,0.675512505572721,0.720387118431848,-7.62415361172944
I.g1002.t1__Cnig_chr_I.g494.t1,0.918881613544575,5.35763671079702,4.79245477257009,0.0009808623581,0.00231891129430139,-1.3427255753978
I.g1004.t3__Cnig_chr_I.g495.t1,1.48796019356682,3.81948977253998,8.55404866376765,1.28202347850777e-05,6.7565137084588e-05,3.45668174191465
I.g1007.t2__Cnig_chr_I.g499.t1,-0.634509825365003,-0.366982122183739,-1.98352379420257,0.078575904133221,0.107428437528686,-5.04776493057362
I.g1009.t1__Cnig_chr_I.g502.t2,-0.474268340963191,3.58639853579546,-2.64301948190534,0.0267557069229006,0.0411989980800948,-4.60758680257427
I.g1011.t2__Cnig_chr_I.g505.t3,1.31101125402187,4.12040482847953,8.12656123274876,1.93882362190044e-05,9.26326841574656e-05,2.98232793854831
I.g1012.t1__Cnig_chr_I.g506.t1,-0.578148851925865,5.44673877614503,-3.14860950875603,0.0117473312974766,0.019951481880454,-3.96489420791999
I.g1014.t1__Cnig_chr_I.g512.t1,-3.48664991754846,2.26257310585165,-10.7857124388977,1.88250197949793e-06,1.85833248494689e-05,5.63762230700463
I.g1015.t2__Cnig_chr_I.g514.t2,2.04507198065708,5.01488044133129,12.2546368335934,6.370616271996e-07,1.03735321596907e-05,6.57176150534467
I.g1016.t1__Cnig_chr_I.g515.t1,0.381158232597329,5.06766207324608,2.07577078029582,0.0676926096482861,0.0941723657754098,-5.68554120265329
I.g1017.t1__Cnig_chr_I.g516.t1,-0.323049987391369,2.15436918967735,-1.54771064545224,0.156059489706643,0.198793102017388,-6.09121123053682
I.g1018.t1__Cnig_chr_I.g519.t1,-0.843938528584697,1.96576964710846,-3.76939518984259,0.00441150740495882,0.00843696809693496,-2.53390924919089
I.g1019.t2__Cnig_chr_I.g521.t1,0.376275830016666,2.92969829105166,1.46275206013195,0.177522995590651,0.223405031699219,-6.31597435263736
I.g1021.t1__Cnig_chr_I.g522.t1,1.23400913767582,3.48613616630527,6.41421175166369,0.000122577270105343,0.000405139889255563,1.07199434452001
I.g1022.t1__Cnig_chr_I.g523.t1,-0.279984389732568,6.95173012675721,-1.93170842335635,0.0854011198723959,0.115661359197261,-5.99448833738971
I.g1023.t1__Cnig_chr_I.g524.t2,3.426389499923,-4.25686999502066,4.75543027391382,0.00103299937715559,0.00242399782973932,-0.402239962803665
I.g1025.t1__Cnig_chr_I.g526.t2,0.170731746249062,5.0841589085416,1.0838505823649,0.30657990802176,0.362692657600732,-7.02700096226514
I.g1026.t1__Cnig_chr_I.g528.t2,0.55542474628838,7.99108944254996,3.87010770032413,0.00377995901299086,0.00738701153431473,-2.83879632406338
I.g1030.t2__Cnig_chr_I.g530.t1,2.57139338381276,4.88032000470792,10.2673467371533,2.84621552879044e-06,2.4272555353059e-05,4.99899260768313
I.g1032.t1__Cnig_chr_I.g531.t1,0.0677292144514657,4.45618144629415,0.352123224008924,0.732841269836739,0.77023647152748,-7.50592465294138
