,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,HF1F
I.g1000.t2__Cnig_chr_I.g492.t1,32009.7901282194,2.13364123501996,0.189212968468014,11.2764006203975,1.7162529894931e-29,1.86582587572825e-28,1
I.g1001.t1__Cnig_chr_I.g493.t1,13852.2803695184,2.39768640072462,0.188254320488395,12.7364216369867,3.71025619628684e-37,6.6326915886902e-36,1
I.g1002.t1__Cnig_chr_I.g494.t1,2485.5329872217,2.07771072718697,0.226633843226089,9.16769842319735,4.83225698181258e-20,2.73019513091045e-19,1
I.g1004.t3__Cnig_chr_I.g495.t1,792.251116552664,2.3255152935673,0.188350273140261,12.3467582753944,5.07140451910822e-35,7.90419592211581e-34,1
I.g1007.t2__Cnig_chr_I.g499.t1,19.8459574520732,-1.63998964740956,0.542947212745502,-3.02053239967231,0.00252330710007541,0.00404287100884818,-1
I.g1009.t1__Cnig_chr_I.g502.t2,677.643135027931,1.04954021984386,0.18104861831781,5.7970076192546,6.75086253368273e-09,1.76676752034248e-08,1
I.g1011.t2__Cnig_chr_I.g505.t3,745.931598640674,1.73673484374544,0.202251769184829,8.5869945699131,8.92738522367808e-18,4.29713220907925e-17,1
I.g1012.t1__Cnig_chr_I.g506.t1,3591.18866439802,1.69928146268023,0.20642759948678,8.2318520726152,1.84340812424376e-16,8.19279134370262e-16,1
I.g1014.t1__Cnig_chr_I.g512.t1,344.089695383366,-1.52262360852571,0.247383215266176,-6.15491882457513,7.51159601959391e-10,2.10757901089409e-09,-1
I.g1015.t2__Cnig_chr_I.g514.t2,526.1884914874,0.13903454688986,0.212848042024987,0.653210363445759,0.513620669999653,0.563873369337144,0
I.g1016.t1__Cnig_chr_I.g515.t1,2019.26130804312,1.74302818545397,0.203351888847642,8.57148755947826,1.02156754844176e-17,4.89820244451731e-17,1
I.g1017.t1__Cnig_chr_I.g516.t1,347.924736890465,1.80852609638329,0.195906030118893,9.23159994251183,2.66619186636656e-20,1.52857178466521e-19,1
I.g1018.t1__Cnig_chr_I.g519.t1,118.715531021537,-1.1034963479968,0.250719661988081,-4.4013155539802,1.07596510705114e-05,2.19347451186031e-05,-1
I.g1019.t2__Cnig_chr_I.g521.t1,222.827347421044,0.138941920368814,0.257582385682383,0.53940769280761,0.58960557410385,0.636015768961248,0
I.g1021.t1__Cnig_chr_I.g522.t1,178.767937037518,-0.812879834564621,0.228481757399722,-3.55774502006527,0.000374052138621903,0.000661217003932982,-1
I.g1022.t1__Cnig_chr_I.g523.t1,7854.87195701168,1.41938608287391,0.178395341968277,7.95640775826037,1.77106059274856e-15,7.29745535221444e-15,1
I.g1023.t1__Cnig_chr_I.g524.t2,231.645552255436,11.3120668463235,1.19776429369161,9.44431797299517,3.57726332736478e-21,2.1773673389349e-20,1
I.g1025.t1__Cnig_chr_I.g526.t2,1529.65750155902,1.05556982542894,0.16121421821463,6.54762239409693,5.84603053934282e-11,1.78193394510915e-10,1
I.g1026.t1__Cnig_chr_I.g528.t2,10635.5884874549,1.15813986673139,0.179292553818107,6.45949785458645,1.05050975674036e-10,3.14161227361519e-10,1
I.g1030.t2__Cnig_chr_I.g530.t1,2362.21418256539,3.45349725404234,0.258125910839418,13.3791189067834,8.00911515450235e-41,1.70469010366611e-39,1
I.g1032.t1__Cnig_chr_I.g531.t1,1219.80491513832,1.3705364031982,0.215322386648758,6.36504371203104,1.95234126838641e-10,5.71194002533499e-10,1
I.g1035.t1__Cnig_chr_I.g533.t2,1248.84926949341,-3.22298743379643,0.711322649949026,-4.53097821927558,5.87111921120037e-06,1.22456570042829e-05,-1
I.g1036.t3__Cnig_chr_I.g534.t4,1896.45067862856,1.07604181383192,0.21174875956399,5.08169122712968,3.74089153171166e-07,8.64434681000445e-07,1
I.g1037.t1__Cnig_chr_I.g535.t1,976.623824458674,0.114670314872308,0.186223556037412,0.615766970153181,0.538048329930068,0.587330262866206,0
I.g1038.t3__Cnig_chr_I.g536.t1,3269.16501158201,1.22153860180308,0.203847579906343,5.9924115967642,2.06751833501295e-09,5.62824435642415e-09,1
I.g1040.t1__Cnig_chr_I.g542.t1,2037.64872023589,0.698593128399428,0.220833693147845,3.16343542709187,0.00155918936434229,0.00256668006296927,1
I.g1041.t1__Cnig_chr_I.g543.t1,26.7363482373977,-1.23596905906663,0.50648038838633,-2.44030980746261,0.0146746709178332,0.0213612275318149,-1
I.g1042.t3__Cnig_chr_I.g545.t2,34.3232186360239,-1.72731101006966,0.436174611050506,-3.9601365286015,7.49069252888836e-05,0.000141936588716814,-1
I.g1043.t1__Cnig_chr_I.g546.t3,0.814802383986052,1.97388125453682,2.62016342956366,0.753342800019743,0.451243945712825,0.502029159465869,0
I.g1045.t1__Cnig_chr_I.g547.t1,245.283841975194,-3.04570008536793,0.255327040958824,-11.9286232822441,8.39503767600295e-33,1.14015157749264e-31,-1
I.g1046.t1__Cnig_chr_I.g548.t1,1464.35458650802,1.27808212963732,0.202666140016818,6.30634268522238,2.857060858354e-10,8.26829891916255e-10,1
I.g1052.t1__Cnig_chr_I.g554.t1,869.491814921739,0.192598179384475,0.205993003017837,0.934974375648081,0.34980150516234,0.399907652137581,0
I.g1056.t1__Cnig_chr_I.g580.t3,21.6116271307846,-2.33205043209128,0.593969231678872,-3.92621420052293,8.62933156437975e-05,0.000162719759925223,-1
