Geneid	Cbr_1_Cbr	Cbr_2_Cbr	Cbr_3_Cbr	HF1_1_Cbr	HF1_2_Cbr	HF1_3_Cbr	Cni_1_Cni	Cni_2_Cni	Cni_3_Cni	HF1_1_Cni	HF1_2_Cni	HF1_3_Cni
CBRIG.I.g1002.t1__CNIGO.Cnig_chr_I.g494.t1	963	959	1029	472	430	537	6127	5805	5642	1484	1421	1373
CBRIG.I.g1021.t1__CNIGO.Cnig_chr_I.g522.t1	919	981	857	515	525	506	555	403	435	265	211	248
CBRIG.I.g1042.t3__CNIGO.Cnig_chr_I.g545.t2	1013	1106	1165	584	550	499	1590	1669	1745	229	311	307
CBRIG.I.g1066.t1__CNIGO.Cnig_chr_I.g568.t1	301	262	302	142	158	149	357	322	337	187	189	128
CBRIG.I.g1120.t1__CNIGO.Cnig_chr_I.g25.t1	190	182	132	112	96	107	354	348	337	300	321	434
CBRIG.I.g1149.t1__CNIGO.Cnig_chr_I.g635.t1	1859	1605	1626	619	604	635	316	355	336	196	175	173
CBRIG.I.g1155.t1__CNIGO.Cnig_chr_I.g645.t1	326	313	339	717	713	658	108	143	143	125	78	85
CBRIG.I.g1176.t1__CNIGO.Cnig_chr_I.g674.t1	144	149	137	88	41	63	703	536	520	443	345	350
CBRIG.I.g1199.t1__CNIGO.Cnig_chr_I.g704.t1	1463	1500	1287	699	655	785	575	426	539	259	263	223
CBRIG.I.g1237.t1__CNIGO.Cnig_chr_I.g783.t1	605	716	613	292	319	340	1215	1215	1409	345	316	329
CBRIG.I.g1245.t1__CNIGO.Cnig_chr_I.g800.t1	159	213	250	220	177	195	419	374	378	79	104	94
CBRIG.I.g1269.t1__CNIGO.Cnig_chr_I.g836.t1	569	516	474	304	252	272	3089	3224	3091	278	164	247
CBRIG.I.g1288.t1__CNIGO.Cnig_chr_I.g858.t1	550	460	425	220	278	203	2752	2725	2776	969	1065	1115
CBRIG.I.g1306.t1__CNIGO.Cnig_chr_I.g872.t1	515	535	433	118	82	126	134	140	191	67	54	66
CBRIG.I.g1329.t1__CNIGO.Cnig_chr_I.g901.t2	268	248	226	222	258	217	256	228	187	94	149	115
CBRIG.I.g1336.t1__CNIGO.Cnig_chr_I.g908.t1	1300	1326	1348	1074	1114	1088	718	762	707	396	371	324
CBRIG.I.g1357.t4__CNIGO.Cnig_chr_I.g953.t1	2729	2790	2589	329	357	355	725	741	713	789	778	673
CBRIG.I.g1377.t3__CNIGO.Cnig_chr_I.g976.t2	781	639	606	1459	1319	1340	620	722	646	332	307	328
CBRIG.I.g1409.t2__CNIGO.Cnig_chr_I.g1006.t1	434	592	590	1011	975	1064	1094	1111	1031	246	283	312
CBRIG.I.g1413.t1__CNIGO.Cnig_chr_I.g1010.t1	570	492	517	243	340	253	906	920	956	187	206	218
CBRIG.I.g1426.t2__CNIGO.Cnig_chr_I.g1025.t2	599	667	734	545	573	568	637	700	634	328	308	343
CBRIG.I.g1437.t2__CNIGO.Cnig_chr_I.g1037.t1	404	368	310	161	203	158	654	731	691	1507	1405	1538
CBRIG.I.g1441.t3__CNIGO.Cnig_chr_I.g1041.t3	1020	915	1009	438	507	465	840	930	735	2783	2662	2880
CBRIG.I.g1502.t1__CNIGO.Cnig_chr_I.g1114.t1	568	565	571	448	472	475	127	179	159	89	88	65
CBRIG.I.g1515.t2__CNIGO.Cnig_chr_I.g1127.t2	4432	4532	3932	523	516	569	1165	1061	1088	1686	1603	1796
CBRIG.I.g1538.t2__CNIGO.Cnig_chr_I.g1149.t1	195	196	202	75	61	125	402	462	454	169	181	179
CBRIG.I.g1543.t1__CNIGO.Cnig_chr_I.g1155.t1	120	101	68	46	39	48	161	201	172	34	75	33
CBRIG.I.g1582.t1__CNIGO.Cnig_chr_I.g1192.t1	824	765	915	242	238	270	300	270	257	136	86	154
CBRIG.I.g1585.t1__CNIGO.Cnig_chr_I.g1194.t1	2768	2816	2562	706	670	612	610	753	647	309	413	258
CBRIG.I.g1588.t3__CNIGO.Cnig_chr_I.g1197.t1	1969	1973	2192	476	565	456	791	850	818	447	418	538
CBRIG.I.g1627.t1__CNIGO.Cnig_chr_I.g1233.t1	540	526	545	309	276	259	1813	1746	1852	230	255	288
CBRIG.I.g1631.t1__CNIGO.Cnig_chr_I.g1237.t2	1249	1225	1146	495	558	613	4794	4818	4854	1710	1954	1851
CBRIG.I.g1656.t1__CNIGO.Cnig_chr_I.g1262.t1	432	508	505	1015	1056	922	973	1093	1038	300	250	297
CBRIG.I.g1681.t2__CNIGO.Cnig_chr_I.g1290.t1	1567	1590	1629	1569	1476	1393	7628	7407	7495	744	794	749
CBRIG.I.g1726.t1__CNIGO.Cnig_chr_I.g1339.t1	193	231	212	181	248	207	446	457	458	87	114	106
CBRIG.I.g1749.t1__CNIGO.Cnig_chr_I.g1361.t1	2304	2211	2309	684	615	603	391	424	425	248	243	195
CBRIG.I.g1751.t1__CNIGO.Cnig_chr_I.g1365.t1	1062	1010	1256	694	600	661	566	590	575	263	317	280
CBRIG.I.g1758.t1__CNIGO.Cnig_chr_I.g1372.t1	277	381	370	89	91	55	191	114	178	104	51	108
CBRIG.I.g1794.t1__CNIGO.Cnig_chr_I.g1410.t1	794	760	948	508	370	426	2692	2864	2712	430	472	449
CBRIG.I.g1820.t1__CNIGO.Cnig_chr_I.g1433.t1	112	107	137	161	94	137	380	436	452	68	56	88
CBRIG.I.g1835.t1__CNIGO.Cnig_chr_I.g1453.t1	404	419	390	179	139	150	766	720	745	223	174	219
CBRIG.I.g1846.t1__CNIGO.Cnig_chr_I.g1468.t1	516	668	465	564	552	574	2005	1895	1816	347	302	263
CBRIG.I.g1847.t1__CNIGO.Cnig_chr_I.g1469.t1	2399	2322	2235	249	261	209	399	388	340	179	186	156
CBRIG.I.g1871.t1__CNIGO.Cnig_chr_I.g1486.t2	362	352	417	209	175	145	502	417	415	241	207	256
CBRIG.I.g1944.t2__CNIGO.Cnig_chr_I.g1546.t1	704	653	782	427	514	529	315	293	263	138	135	166
CBRIG.I.g1966.t1__CNIGO.Cnig_chr_I.g1570.t3	257	222	231	107	111	112	193	191	229	146	118	110
CBRIG.I.g1967.t1__CNIGO.Cnig_chr_I.g1571.t1	811	835	785	1177	1196	1116	1499	1513	1601	429	334	399
CBRIG.I.g1994.t1__CNIGO.Cnig_chr_I.g1673.t1	1452	1336	1393	1133	931	1004	795	676	619	352	309	385
CBRIG.I.g2029.t1__CNIGO.Cnig_chr_I.g1635.t1	1021	1002	1119	53	34	96	111	115	115	80	55	81
CBRIG.I.g2051.t1__CNIGO.Cnig_chr_I.g1615.t2	545	494	531	281	319	325	505	509	568	241	235	284
CBRIG.I.g2085.t3__CNIGO.Cnig_chr_I.g1709.t1	1039	898	1018	427	489	567	444	443	484	317	262	250
CBRIG.I.g2123.t1__CNIGO.Cnig_chr_I.g1766.t2	2414	2429	2437	1209	1241	1320	826	799	669	371	381	337
CBRIG.I.g2149.t1__CNIGO.Cnig_chr_I.g1742.t1	1554	1522	1534	235	302	225	495	458	423	498	524	426
CBRIG.I.g2162.t1__CNIGO.Cnig_chr_I.g1789.t1	164	208	228	85	93	80	344	339	389	134	103	47
CBRIG.I.g2171.t1__CNIGO.Cnig_chr_I.g1796.t1	395	291	349	213	157	233	2286	2288	2306	379	330	367
CBRIG.I.g2193.t3__CNIGO.Cnig_chr_I.g1821.t1	1832	1843	1759	374	360	314	622	631	640	658	634	713
CBRIG.I.g2199.t2__CNIGO.Cnig_chr_I.g1827.t1	190	132	156	96	91	34	114	90	116	71	62	61
CBRIG.I.g2203.t1__CNIGO.Cnig_chr_I.g1831.t1	254	201	197	403	316	348	395	442	392	148	117	104
CBRIG.I.g2294.t2__CNIGO.Cnig_chr_I.g1920.t1	588	538	491	300	266	280	2168	2041	2406	511	561	454
CBRIG.I.g2299.t1__CNIGO.Cnig_chr_I.g1925.t1	66	81	68	47	65	33	145	63	86	115	102	183
CBRIG.I.g2398.t1__CNIGO.Cnig_chr_I.g2084.t1	789	749	724	186	191	141	409	324	430	194	186	230
CBRIG.I.g2416.t2__CNIGO.Cnig_chr_I.g2070.t2	280	277	125	501	560	551	594	563	628	79	117	90
CBRIG.I.g2417.t2__CNIGO.Cnig_chr_I.g2069.t2	377	362	407	250	246	210	2298	2163	2228	310	341	436
CBRIG.I.g2423.t1__CNIGO.Cnig_chr_I.g2063.t2	2391	2491	2146	320	350	270	327	327	297	203	166	187
CBRIG.I.g2513.t1__CNIGO.Cnig_chr_I.g1992.t1	568	567	674	272	265	300	1570	1582	1618	689	874	729
CBRIG.I.g2517.t1__CNIGO.Cnig_chr_I.g1988.t1	174	165	202	116	100	114	437	425	438	319	281	305
CBRIG.I.g2526.t1__CNIGO.Cnig_chr_I.g2100.t1	162	223	148	99	114	103	220	227	198	101	106	70
CBRIG.I.g2529.t1__CNIGO.Cnig_chr_I.g2102.t1	1239	1337	1271	146	153	168	300	307	307	157	155	158
CBRIG.I.g2547.t2__CNIGO.Cnig_chr_I.g2120.t2	212	209	224	505	435	481	231	208	250	98	197	152
CBRIG.I.g2549.t2__CNIGO.Cnig_chr_I.g2123.t2	482	374	405	219	258	207	923	819	756	244	203	214
CBRIG.I.g2552.t2__CNIGO.Cnig_chr_I.g2128.t1	2461	2441	2600	638	626	653	1241	1425	1375	1754	1978	1895
