seq1,seq2,dn,ds
I.g3305.t1,Cnig_chr_I.g3113.t1,0.0464517660351,0.23455408008
I.g3703.t1,Cnig_chr_I.g3707.t1,0.0440704691223,0.267994014288
X.g20706.t1,Cnig_chr_X.g24597.t2,0.0984331164428,0.190042105726
I.g2976.t2,Cnig_chr_I.g2602.t1,0.0801868846802,0.255830883998
I.g3421.t2,Cnig_chr_I.g3279.t1,0.209767488234,0.146678044345
V.g13936.t1,Cnig_chr_V.g16389.t1,0.066977344348,0.179357105413
I.g3695.t1,Cnig_chr_I.g3672.t1,0.183074176017,0.600506126639
II.g5334.t1,Cnig_chr_II.g5670.t1,0.0738010009962,0.20393477171
I.g3692.t1,Cnig_chr_I.g3673.t1,0.341470705743,0.480963215234
IV.g10696.t1,Cnig_chr_IV.g12504.t2,0.255342666524,0.307820808081
X.g19275.t1,Cnig_chr_X.g23029.t1,0.312845614724,0.462999334204
V.g14379.t1,Cnig_chr_V.g21644.t1,0.150139848091,0.25629995067
III.g9781.t1,Cnig_chr_III.g11131.t1,0.156703600223,0.468373304962
III.g9971.t1,Cnig_chr_III.g11373.t1,0.0727152690343,0.229571267111
III.g9867.t1,Cnig_chr_III.g11278.t1,0.208402153292,0.394876971762
III.g9787.t1,Cnig_chr_III.g11168.t1,0.084021004023,0.159397869904
II.g4676.t1,Cnig_chr_II.g5007.t1,0.101149914501,0.122848387628
I.g1797.t1,Cnig_chr_I.g1413.t2,0.00937241483399,0.145918331953
X.g22307.t1,Cnig_chr_X.g26577.t1,0.0818778591168,0.117533919958
I.g3123.t1,Cnig_chr_I.g2779.t1,0.0301787428363,0.204973425291
III.g9535.t1,Cnig_chr_III.g10898.t1,0.104545091593,0.364877416588
I.g3834.t1,Cnig_chr_I.g3861.t1,0.0471403133116,0.221609332817
X.g22383.t1,Cnig_chr_X.g26707.t1,0.0403471029889,0.163199268102
X.g18739.t3,Cnig_chr_X.g22394.t1,0.0309117016749,0.258942666368
X.g21228.t1,Cnig_chr_X.g25208.t1,0.00756611307476,0.207123395384
III.g9821.t1,Cnig_chr_III.g11212.t1,0.0111964827887,0.154617646915
III.g9795.t1,Cnig_chr_III.g11175.t1,0.130456908369,0.338629073352
III.g9782.t3,Cnig_chr_III.g11137.t1,0.0658483993506,0.325579829007
III.g9794.t1,Cnig_chr_III.g11174.t1,0.0175270823433,0.300048841901
III.g9888.t1,Cnig_chr_III.g11297.t1,0.131286368407,0.443928640898
II.g6557.t1,Cnig_chr_II.g6968.t1,0.0784795145195,0.18660124953
V.g14321.t1,Cnig_chr_V.g16909.t1,0.0965807117009,0.222465775628
V.g14458.t1,Cnig_chr_V.g17072.t1,0.12171819151,0.398218540079
V.g17807.t1,Cnig_chr_V.g21044.t1,0.0724457754387,0.199932231474
V.g17995.t1,Cnig_chr_V.g21347.t1,0.174657039773,0.331402777768
V.g17740.t1,Cnig_chr_V.g20922.t1,0.152740947832,0.372007780691
V.g17739.t1,Cnig_chr_V.g20921.t1,0.083548625419,0.462478039396
V.g17681.t1,Cnig_chr_V.g20858.t1,0.0603834297664,0.228903726374
V.g17683.t1,Cnig_chr_V.g20859.t1,0.159711525954,0.387045965979
V.g17602.t1,Cnig_chr_V.g20733.t2,0.0757304252875,0.365822480068
III.g10281.t1,Cnig_chr_III.g11793.t1,0.180038989248,0.365515523028
V.g17539.t1,Cnig_chr_V.g20664.t1,0.133464430002,0.346825540649
V.g17540.t1,Cnig_chr_V.g20665.t1,0.0416152443044,0.252686377965
V.g17660.t1,Cnig_chr_V.g20813.t1,0.0623734589968,0.239932370114
V.g17663.t1,Cnig_chr_V.g20814.t2,0.0607595693897,0.201271858789
V.g17960.t1,Cnig_chr_V.g21303.t1,0.193530423531,0.649801145278
V.g18448.t1,Cnig_chr_V.g22011.t1,0.0441856408656,0.197877728875
V.g17542.t1,Cnig_chr_V.g20669.t2,0.122200491662,0.337800247004
V.g17508.t1,Cnig_chr_V.g20626.t1,0.0876747734738,0.157773217238
V.g17845.t1,Cnig_chr_V.g21274.t1,0.206070034902,0.730253690312
V.g17752.t1,Cnig_chr_V.g20948.t1,0.141200227206,0.25518783745
V.g17951.t1,Cnig_chr_V.g21282.t1,0.175212463668,0.355170315237
V.g18019.t1,Cnig_chr_V.g21388.t2,0.156434859235,0.435315626274
V.g18041.t1,Cnig_chr_V.g21413.t1,0.105064539133,0.36824609142
V.g14722.t1,Cnig_chr_V.g17414.t1,0.0957480308992,0.210428733285
V.g18017.t1,Cnig_chr_V.g21387.t1,0.145966890641,0.444411891761
V.g17808.t1,Cnig_chr_V.g21045.t1,0.0942558444336,0.339035414061
V.g17803.t1,Cnig_chr_V.g21042.t2,0.0822027648599,0.225840933584
V.g17805.t1,Cnig_chr_V.g21043.t1,0.117175307575,0.210577531296
IV.g11198.t1,Cnig_chr_IV.g13083.t1,0.101140113896,0.278948036741
V.g15260.t1,Cnig_chr_V.g18138.t1,0.256066483906,0.558474882818
V.g17809.t1,Cnig_chr_V.g21048.t1,0.119489371165,0.377808878551
V.g17815.t1,Cnig_chr_V.g21053.t1,0.103762244092,0.205524377477
V.g17359.t1,Cnig_chr_V.g20438.t2,0.0688658176543,0.187620461733
IV.g13658.t1,Cnig_chr_IV.g16024.t3,0.109921407418,0.285622016722
