"logFC","DE","species","sex","p.value","genes","chromosome","species_DE"
0.0696912281930081,"no sig","nigoni","male",0.840494180524878,"I.g1000.t2__Cnig_chr_I.g492.t1","I","nigoni no sig"
0.161418001603832,"no sig","nigoni","male",0.61495245336349,"I.g1001.t1__Cnig_chr_I.g493.t1","I","nigoni no sig"
-0.00173441264993974,"no sig","briggsae","male",0.996054166685755,"I.g1002.t1__Cnig_chr_I.g494.t1","I","briggsae no sig"
2.04227789227672,"sig","nigoni","male",0.0001109074414385,"I.g1004.t3__Cnig_chr_I.g495.t1","I","nigoni sig"
-0.243153534076,"no sig","briggsae","male",0.617391454742754,"I.g1007.t2__Cnig_chr_I.g499.t1","I","briggsae no sig"
0.490785974788601,"no sig","nigoni","male",0.122013579284591,"I.g1009.t1__Cnig_chr_I.g502.t2","I","nigoni no sig"
1.13108305815209,"sig","nigoni","male",0.00101571838823461,"I.g1011.t2__Cnig_chr_I.g505.t3","I","nigoni sig"
0.262586487386646,"no sig","nigoni","male",0.624850298285568,"I.g1012.t1__Cnig_chr_I.g506.t1","I","nigoni no sig"
-2.46585443138057,"sig","briggsae","male",0.000614075278256047,"I.g1014.t1__Cnig_chr_I.g512.t1","I","briggsae sig"
1.1563555426118,"sig","nigoni","male",0.026496614643743,"I.g1015.t2__Cnig_chr_I.g514.t2","I","nigoni sig"
0.517621837224372,"no sig","nigoni","male",0.216544160391329,"I.g1016.t1__Cnig_chr_I.g515.t1","I","nigoni no sig"
0.635487640195635,"sig","nigoni","male",0.0308298040176727,"I.g1017.t1__Cnig_chr_I.g516.t1","I","nigoni sig"
-0.378926955818256,"no sig","briggsae","male",0.22733946681397,"I.g1018.t1__Cnig_chr_I.g519.t1","I","briggsae no sig"
-0.689032273107162,"no sig","briggsae","male",0.0514067824622639,"I.g1019.t2__Cnig_chr_I.g521.t1","I","briggsae no sig"
-0.125262935585368,"no sig","briggsae","male",0.556613092689175,"I.g1021.t1__Cnig_chr_I.g522.t1","I","briggsae no sig"
-1.64650911788694,"sig","briggsae","male",0.000413761149104413,"I.g1022.t1__Cnig_chr_I.g523.t1","I","briggsae sig"
10.7112547415737,"sig","nigoni","male",9.15760163637352e-06,"I.g1023.t1__Cnig_chr_I.g524.t2","I","nigoni sig"
-0.338558714621665,"no sig","briggsae","male",0.107224256288398,"I.g1025.t1__Cnig_chr_I.g526.t2","I","briggsae no sig"
0.46196945354425,"no sig","nigoni","male",0.100735385652453,"I.g1026.t1__Cnig_chr_I.g528.t2","I","nigoni no sig"
2.20465270952851,"sig","nigoni","male",0.00458123572076707,"I.g1030.t2__Cnig_chr_I.g530.t1","I","nigoni sig"
0.196233459343209,"no sig","nigoni","male",0.691788323616142,"I.g1032.t1__Cnig_chr_I.g531.t1","I","nigoni no sig"
-0.809376777043857,"no sig","briggsae","male",0.271875071571264,"I.g1035.t1__Cnig_chr_I.g533.t2","I","briggsae no sig"
0.441406807063863,"sig","nigoni","male",0.0364143176169488,"I.g1036.t3__Cnig_chr_I.g534.t4","I","nigoni sig"
-0.571024114460222,"sig","briggsae","male",0.0463364964183967,"I.g1037.t1__Cnig_chr_I.g535.t1","I","briggsae sig"
0.0648872008814454,"no sig","nigoni","male",0.793016495675656,"I.g1038.t3__Cnig_chr_I.g536.t1","I","nigoni no sig"
-0.904419835901637,"sig","briggsae","male",0.0491515845664772,"I.g1040.t1__Cnig_chr_I.g542.t1","I","briggsae sig"
1.52410539113869,"sig","nigoni","male",0.00397150950894286,"I.g1041.t1__Cnig_chr_I.g543.t1","I","nigoni sig"
-0.902034343575254,"sig","briggsae","male",0.0352511153895324,"I.g1042.t3__Cnig_chr_I.g545.t2","I","briggsae sig"
