,logFC,AveExpr,t,P.Value,adj.P.Val,B
I.g1000.t2__Cnig_chr_I.g492.t1,0.0233159716559079,8.84631773819545,0.192291649307584,0.854007662752974,0.999972719652437,-8.07088804989496
I.g1001.t1__Cnig_chr_I.g493.t1,0.0156338183556607,6.36407701629781,0.0641965012469903,0.950948706384974,0.999972719652437,-8.06418538076482
I.g1002.t1__Cnig_chr_I.g494.t1,-0.0288881737913346,5.18499953804949,-0.192995360424616,0.853481066656474,0.999972719652437,-7.98184841381409
I.g1004.t3__Cnig_chr_I.g495.t1,-0.236444404609777,4.57470999282455,-2.10042847027586,0.0815654226545707,0.417116508630735,-6.02041924448656
I.g1007.t2__Cnig_chr_I.g499.t1,-0.13208003018148,1.06242789035284,-0.92462211060452,0.391668615089371,0.999972719652437,-6.783315557184
I.g1009.t1__Cnig_chr_I.g502.t2,0.398332581234203,2.74455211445455,2.69431719335283,0.0367147431178534,0.232141415271785,-4.88806016041667
I.g1011.t2__Cnig_chr_I.g505.t3,-0.0315911077437006,5.27426910398754,-0.479303132023983,0.649094361185102,0.999972719652437,-7.8781058089426
I.g1012.t1__Cnig_chr_I.g506.t1,-0.00689387616086948,5.36385195789226,-0.0315667091768565,0.975865792874247,0.999972719652437,-8.01513724558976
I.g1014.t1__Cnig_chr_I.g512.t1,0.258170838571654,2.88420477557679,1.4327000914646,0.203088998303955,0.80012888368353,-6.6435818333056
I.g1015.t2__Cnig_chr_I.g514.t2,0.0347731049860257,6.11680010688928,0.201928870494301,0.846803334679822,0.999972719652437,-8.03159574447353
I.g1016.t1__Cnig_chr_I.g515.t1,-0.0150715885033851,5.30900567779528,-0.172391708556705,0.868932283653474,0.999972719652437,-7.99479489363225
I.g1017.t1__Cnig_chr_I.g516.t1,0.027696303815891,4.14101930508123,0.339174473770135,0.746308853797178,0.999972719652437,-7.81699699427474
I.g1018.t1__Cnig_chr_I.g519.t1,-0.415653469650226,3.20143921650366,-4.39483103036047,0.00486591474288232,0.0483353365556458,-2.75126888979442
I.g1019.t2__Cnig_chr_I.g521.t1,0.193651551313498,3.66222854592611,1.69096924406539,0.143009101808882,0.627354463296628,-6.44881390399732
I.g1021.t1__Cnig_chr_I.g522.t1,0.0231992061713013,4.05890549949768,0.206377396408243,0.843483276586443,0.999972719652437,-7.8465144033186
I.g1022.t1__Cnig_chr_I.g523.t1,-1.52033437526064,6.62169556734871,-8.42648902672322,0.000173147284822541,0.00397858007463561,0.717746459294275
I.g1023.t1__Cnig_chr_I.g524.t2,0.161445608239508,4.986181642162,0.608956875371055,0.565409066992719,0.999972719652437,-7.77691528886026
I.g1025.t1__Cnig_chr_I.g526.t2,-0.00821057963157239,7.56308726680643,-0.113077459071227,0.913745366533526,0.999972719652437,-8.08810866731136
I.g1026.t1__Cnig_chr_I.g528.t2,-0.0010023327218869,8.15932343141565,-0.0137979298474731,0.989449186247656,0.999972719652437,-8.09160763467615
I.g1030.t2__Cnig_chr_I.g530.t1,1.43866525310429,5.57011920148246,10.356474187983,5.53203330764917e-05,0.00174590971189408,2.06670366704279
I.g1032.t1__Cnig_chr_I.g531.t1,-0.806101418586533,5.30655175661097,-6.48800078769818,0.000702371778546647,0.0108661045739864,-0.824938026071788
I.g1035.t1__Cnig_chr_I.g533.t2,0.108519773018316,6.19712689552166,0.373746177247502,0.721748683897757,0.999972719652437,-7.97831287988603
I.g1036.t3__Cnig_chr_I.g534.t4,-0.0917369358852603,5.73347933898944,-1.39874818678494,0.212554672131376,0.827009125876427,-7.04985241962337
I.g1037.t1__Cnig_chr_I.g535.t1,0.00136664616397453,4.17600562901824,0.0181051234299921,0.986155991084232,0.999972719652437,-7.88850348561809
I.g1038.t3__Cnig_chr_I.g536.t1,-0.259297596786391,6.11946320276681,-4.57822675562001,0.00401589535787757,0.0416913347021764,-2.85151033363281
I.g1040.t1__Cnig_chr_I.g542.t1,0.012733572810215,2.12537954355263,0.0625623727934515,0.952195381904736,0.999972719652437,-7.50990135329779
I.g1041.t1__Cnig_chr_I.g543.t1,0.0237281358609834,1.35348822619079,0.164715856326532,0.874705374560605,0.999972719652437,-7.30797451171679
I.g1042.t3__Cnig_chr_I.g545.t2,-1.67999329719904,1.28272790511684,-9.58644613515624,8.50784276254203e-05,0.00236719473942164,2.14037262009971
I.g1045.t1__Cnig_chr_I.g547.t1,0.0173196536247549,6.12156128747864,0.0848754874451509,0.935187236481251,0.999972719652437,-8.05137436917654
I.g1046.t1__Cnig_chr_I.g548.t1,0.0316060890630966,4.56372010198599,0.44725109597599,0.670758532890356,0.999972719652437,-7.82670694623157
I.g1052.t1__Cnig_chr_I.g554.t1,0.183661578498161,6.16688850116452,2.66161005667875,0.0383281658175163,0.239328953996769,-5.34369762284033
I.g1056.t1__Cnig_chr_I.g580.t3,-1.28206477301202,-0.890474283124752,-3.38046561448464,0.0154105368165505,0.119051402725631,-3.15189707178696
I.g1057.t1__Cnig_chr_I.g579.t1,0.274332654677815,6.05914273437622,4.13426961916507,0.00644601701486772,0.0602391742353882,-3.38053440948524
I.g1059.t1__Cnig_chr_I.g578.t1,-0.00532721957423047,4.70859012344009,-0.0555563485818448,0.957541915264333,0.999972719652437,-7.95725675638362
I.g1060.t1__Cnig_chr_I.g577.t3,-0.192378347771868,3.97912299600487,-1.81107400537985,0.121302331506585,0.562985526815857,-6.33695207356137
I.g1061.t1__Cnig_chr_I.g576.t1,0.0137942282905134,10.5761188715784,0.0967712217934028,0.92613447958199,0.999972719652437,-8.09998423828566
I.g1063.t1__Cnig_chr_I.g575.t1,1.58467125791819,3.18256342101173,6.7288047798651,0.000580066235363086,0.00936756087108282,-0.320638024278145
I.g1065.t1__Cnig_chr_I.g569.t3,0.0223935594931206,4.91175218137792,0.232481627964569,0.824074638892899,0.999972719652437,-7.94902914263069
I.g1066.t1__Cnig_chr_I.g568.t1,0.0448663114179897,4.46171915841078,0.480158197358999,0.648521433297965,0.999972719652437,-7.79637236942593
I.g1067.t1__Cnig_chr_I.g567.t1,-0.0233760368145591,5.68266913431817,-0.248888313945209,0.811944964651637,0.999972719652437,-7.99813268927449
I.g1069.t2__Cnig_chr_I.g566.t1,0.768362170022301,4.23767375038739,2.15051269006937,0.0761703792867006,0.398946424656659,-5.89999424120108
I.g1070.t1__Cnig_chr_I.g564.t2,0.0391545603998868,4.234618377541,0.417123394194483,0.691445482402446,0.999972719652437,-7.79697939593574
I.g1071.t1__Cnig_chr_I.g563.t1,0.513451119144621,3.14192317522552,2.68892252853063,0.036975763893202,0.23325773156157,-4.96895102184115
I.g1072.t1__Cnig_chr_I.g562.t3,0.310925317969777,4.48481334308577,1.85879770583588,0.113610245481427,0.534243836350722,-6.34339282161088
I.g1075.t1__Cnig_chr_I.g72.t1,-2.92593284044575,-1.06214007317439,-3.44122639493659,0.0143184145640876,0.112490190095954,-3.02656741092967
I.g1077.t3__Cnig_chr_I.g70.t2,-0.0883005501725483,5.73495833474006,-0.46610568205246,0.657970542432997,0.999972719652437,-7.9121583452262
I.g1078.t1__Cnig_chr_I.g69.t1,0.0330694524246177,5.6321671197759,0.110249874169253,0.915891897389843,0.999972719652437,-8.02433531759828
I.g1079.t1__Cnig_chr_I.g68.t1,-0.00490773119587224,3.30852183890069,-0.064680791189012,0.950579271123041,0.999972719652437,-7.74771779792981
I.g1080.t1__Cnig_chr_I.g67.t1,-0.0416413182637212,3.84352844362748,-0.446418317636028,0.671326214305275,0.999972719652437,-7.72364647266237
I.g1081.t2__Cnig_chr_I.g66.t1,-0.110791533455255,2.88159303133993,-0.653760832785282,0.538072171719534,0.999972719652437,-7.43042729994446
I.g1082.t1__Cnig_chr_I.g64.t1,-3.20583354563802,0.586118043298109,-6.25018804233886,0.00085319281577815,0.0127013043707351,-0.202603868188882
I.g1083.t2__Cnig_chr_I.g63.t1,0.071963163583421,7.12955542621781,0.83400381661567,0.436966718170285,0.999972719652437,-7.70754734848246
I.g1084.t2__Cnig_chr_I.g60.t2,-0.310948556071089,6.43793281149004,-3.07776846231832,0.0224124754806293,0.159401543825572,-4.77619324625037
I.g1085.t1__Cnig_chr_I.g59.t1,0.0637066668563007,4.96225227632189,0.713445091265588,0.502995134597766,0.999972719652437,-7.69983923933172
I.g1086.t1__Cnig_chr_I.g58.t1,0.0186710901647234,8.04917665495509,0.143894438727097,0.890407150552171,0.999972719652437,-8.08044055344124
I.g1087.t1__Cnig_chr_I.g57.t1,-0.23582644875057,4.72652617207604,-3.43820853267886,0.0143705913764035,0.11281986662669,-4.18106349997882
I.g1088.t1__Cnig_chr_I.g56.t1,-0.276892845797998,3.15980730845406,-2.90093132076153,0.028070207387112,0.190339785634155,-4.67834911640593
I.g1089.t2__Cnig_chr_I.g55.t2,0.00296247561383957,5.56626440935636,0.03351303410333,0.974378370667001,0.999972719652437,-8.02709541059986
I.g1090.t1__Cnig_chr_I.g54.t1,-0.168681046182591,4.86056401962493,-1.33794608290487,0.230520438102756,0.869479552115873,-7.06178733302257
I.g1091.t1__Cnig_chr_I.g53.t1,0.0659029078543383,3.55757693341461,0.711461574248562,0.504135832196851,0.999972719652437,-7.50862072564142
I.g1092.t1__Cnig_chr_I.g52.t2,-0.290957852817373,5.37064666752464,-4.33174946717388,0.00520394402564863,0.0507798283633523,-3.10416855644241
