,logFC,AveExpr,t,P.Value,adj.P.Val,B
I.g1000.t2__Cnig_chr_I.g492.t1,0.0696912281930081,7.8853295763398,0.269423453485028,0.794928277352358,0.840494180524878,-7.55093110656112
I.g1001.t1__Cnig_chr_I.g493.t1,0.161418001603832,6.0342208480684,0.650267342667133,0.535088498381219,0.61495245336349,-7.35453374918594
I.g1002.t1__Cnig_chr_I.g494.t1,-0.00173441264993974,4.89793986729513,-0.00774580680966276,0.994023551879011,0.996054166685755,-7.5566334083975
I.g1004.t3__Cnig_chr_I.g495.t1,2.04227789227672,3.47819092686431,12.179030610046,3.53389763568764e-06,0.0001109074414385,5.12540602838388
I.g1007.t2__Cnig_chr_I.g499.t1,-0.243153534076,-0.0704684313986871,-0.645674520751446,0.53789937173923,0.617391454742754,-6.76960266490543
I.g1009.t1__Cnig_chr_I.g502.t2,0.490785974788601,3.05626061223804,2.06010460701053,0.0760051365975442,0.122013579284591,-5.5027029948885
I.g1011.t2__Cnig_chr_I.g505.t3,1.13108305815209,4.77960407684139,7.14488193673328,0.000139504058305554,0.00101571838823461,1.08003383767846
I.g1012.t1__Cnig_chr_I.g506.t1,0.262586487386646,4.84720224753545,0.633212966348916,0.545571120658542,0.624850298285568,-7.33151477585234
I.g1014.t1__Cnig_chr_I.g512.t1,-2.46585443138057,1.62749666880768,-8.05321008106978,6.27799703079649e-05,0.000614075278256047,2.19418114042207
I.g1015.t2__Cnig_chr_I.g514.t2,1.1563555426118,5.78430229572883,3.30902030589673,0.0118838637106488,0.026496614643743,-3.7749488917141
I.g1016.t1__Cnig_chr_I.g515.t1,0.517621837224372,4.87315160727307,1.59607982100146,0.151992941331758,0.216544160391329,-6.31349927466242
I.g1017.t1__Cnig_chr_I.g516.t1,0.635487640195635,2.87313264559958,3.1783938834821,0.0143332469164661,0.0308298040176727,-3.78090508210246
I.g1018.t1__Cnig_chr_I.g519.t1,-0.378926955818256,3.05371308333457,-1.55525613510361,0.161338239850838,0.22733946681397,-6.21724881629712
I.g1019.t2__Cnig_chr_I.g521.t1,-0.689032273107162,3.5689774134248,-2.75391274772243,0.0267164666028211,0.0514067824622639,-4.49991876571083
