gene_id	HF1_1_Cbr	HF1_1_Cni	HF1_2_Cbr	HF1_2_Cni	HF1_3_Cbr	HF1_3_Cni
CBRIG.I.g1002.t1__CNIGO.Cnig_chr_I.g494.t1	477	1491	438	1427	543	1379
CBRIG.I.g1021.t1__CNIGO.Cnig_chr_I.g522.t1	514	266	525	211	506	247
CBRIG.I.g1042.t3__CNIGO.Cnig_chr_I.g545.t2	584	234	550	314	499	624
CBRIG.I.g1066.t1__CNIGO.Cnig_chr_I.g568.t1	147	193	165	195	150	133
CBRIG.I.g1120.t1__CNIGO.Cnig_chr_I.g25.t1	110	301	193	321	109	433
CBRIG.I.g1149.t1__CNIGO.Cnig_chr_I.g635.t1	620	197	606	178	636	176
CBRIG.I.g1155.t1__CNIGO.Cnig_chr_I.g645.t1	717	125	1427	78	658	85
CBRIG.I.g1176.t1__CNIGO.Cnig_chr_I.g674.t1	88	443	41	345	63	350
CBRIG.I.g1199.t1__CNIGO.Cnig_chr_I.g704.t1	712	265	671	264	796	227
CBRIG.I.g1237.t1__CNIGO.Cnig_chr_I.g783.t1	292	345	639	316	340	329
CBRIG.I.g1245.t1__CNIGO.Cnig_chr_I.g800.t1	220	159	177	106	195	189
CBRIG.I.g1269.t1__CNIGO.Cnig_chr_I.g836.t1	320	298	256	176	284	264
CBRIG.I.g1288.t1__CNIGO.Cnig_chr_I.g858.t1	447	861	283	920	417	969
CBRIG.I.g1306.t1__CNIGO.Cnig_chr_I.g872.t1	118	136	82	54	126	142
CBRIG.I.g1329.t1__CNIGO.Cnig_chr_I.g901.t2	226	96	263	160	221	121
CBRIG.I.g1336.t1__CNIGO.Cnig_chr_I.g908.t1	1079	404	1116	378	1090	330
CBRIG.I.g1357.t4__CNIGO.Cnig_chr_I.g953.t1	696	790	374	785	363	682
CBRIG.I.g1377.t3__CNIGO.Cnig_chr_I.g976.t2	1471	341	1333	309	1350	332
CBRIG.I.g1409.t2__CNIGO.Cnig_chr_I.g1006.t1	1010	247	977	282	1064	311
CBRIG.I.g1413.t1__CNIGO.Cnig_chr_I.g1010.t1	249	192	343	213	255	227
CBRIG.I.g1426.t2__CNIGO.Cnig_chr_I.g1025.t2	547	304	575	273	569	319
CBRIG.I.g1437.t2__CNIGO.Cnig_chr_I.g1037.t1	165	1536	205	1446	171	1559
CBRIG.I.g1441.t3__CNIGO.Cnig_chr_I.g1041.t3	439	2786	509	2662	467	2880
CBRIG.I.g1502.t1__CNIGO.Cnig_chr_I.g1114.t1	448	89	472	177	475	65
CBRIG.I.g1515.t2__CNIGO.Cnig_chr_I.g1127.t2	532	1703	524	1620	577	1820
CBRIG.I.g1538.t2__CNIGO.Cnig_chr_I.g1149.t1	76	171	61	182	129	180
CBRIG.I.g1543.t1__CNIGO.Cnig_chr_I.g1155.t1	46	34	39	75	48	33
CBRIG.I.g1582.t1__CNIGO.Cnig_chr_I.g1192.t1	241	138	237	87	271	158
CBRIG.I.g1585.t1__CNIGO.Cnig_chr_I.g1194.t1	710	315	678	418	615	264
CBRIG.I.g1588.t3__CNIGO.Cnig_chr_I.g1197.t1	523	471	603	437	496	579
CBRIG.I.g1627.t1__CNIGO.Cnig_chr_I.g1233.t1	312	232	278	257	263	293
CBRIG.I.g1631.t1__CNIGO.Cnig_chr_I.g1237.t2	525	1773	601	2012	654	1918
CBRIG.I.g1656.t1__CNIGO.Cnig_chr_I.g1262.t1	1028	300	1057	256	930	299
CBRIG.I.g1681.t2__CNIGO.Cnig_chr_I.g1290.t1	1616	774	1537	823	1437	783
CBRIG.I.g1726.t1__CNIGO.Cnig_chr_I.g1339.t1	191	92	262	116	217	118
CBRIG.I.g1749.t1__CNIGO.Cnig_chr_I.g1361.t1	695	247	621	245	608	196
CBRIG.I.g1751.t1__CNIGO.Cnig_chr_I.g1365.t1	776	281	683	358	730	307
CBRIG.I.g1758.t1__CNIGO.Cnig_chr_I.g1372.t1	93	105	92	52	54	110
CBRIG.I.g1794.t1__CNIGO.Cnig_chr_I.g1410.t1	552	467	388	511	477	497
CBRIG.I.g1820.t1__CNIGO.Cnig_chr_I.g1433.t1	161	139	94	57	138	89
CBRIG.I.g1835.t1__CNIGO.Cnig_chr_I.g1453.t1	179	223	139	174	150	439
CBRIG.I.g1846.t1__CNIGO.Cnig_chr_I.g1468.t1	566	355	558	305	579	268
CBRIG.I.g1847.t1__CNIGO.Cnig_chr_I.g1469.t1	257	185	267	196	211	166
CBRIG.I.g1871.t1__CNIGO.Cnig_chr_I.g1486.t2	209	241	175	207	145	256
CBRIG.I.g1944.t2__CNIGO.Cnig_chr_I.g1546.t1	432	136	514	137	533	168
CBRIG.I.g1966.t1__CNIGO.Cnig_chr_I.g1570.t3	117	146	124	101	122	94
CBRIG.I.g1967.t1__CNIGO.Cnig_chr_I.g1571.t1	1176	429	1197	334	1116	401
CBRIG.I.g1994.t1__CNIGO.Cnig_chr_I.g1673.t1	1166	366	973	314	1044	406
CBRIG.I.g2029.t1__CNIGO.Cnig_chr_I.g1635.t1	55	85	37	55	105	84
CBRIG.I.g2051.t1__CNIGO.Cnig_chr_I.g1615.t2	281	245	320	236	331	286
CBRIG.I.g2085.t3__CNIGO.Cnig_chr_I.g1709.t1	433	319	492	267	572	253
CBRIG.I.g2123.t1__CNIGO.Cnig_chr_I.g1766.t2	1145	377	1246	391	1245	354
CBRIG.I.g2149.t1__CNIGO.Cnig_chr_I.g1742.t1	242	502	304	532	229	435
CBRIG.I.g2162.t1__CNIGO.Cnig_chr_I.g1789.t1	85	134	93	102	80	95
CBRIG.I.g2171.t1__CNIGO.Cnig_chr_I.g1796.t1	213	380	157	330	233	367
CBRIG.I.g2193.t3__CNIGO.Cnig_chr_I.g1821.t1	758	536	361	520	316	595
CBRIG.I.g2199.t2__CNIGO.Cnig_chr_I.g1827.t1	113	88	101	72	37	70
CBRIG.I.g2203.t1__CNIGO.Cnig_chr_I.g1831.t1	411	157	322	121	358	107
CBRIG.I.g2294.t2__CNIGO.Cnig_chr_I.g1920.t1	305	526	269	582	286	470
CBRIG.I.g2299.t1__CNIGO.Cnig_chr_I.g1925.t1	47	115	64	102	33	183
CBRIG.I.g2398.t1__CNIGO.Cnig_chr_I.g2084.t1	242	245	243	230	164	270
CBRIG.I.g2416.t2__CNIGO.Cnig_chr_I.g2070.t2	501	165	560	238	552	94
CBRIG.I.g2417.t2__CNIGO.Cnig_chr_I.g2069.t2	255	315	252	344	212	440
CBRIG.I.g2423.t1__CNIGO.Cnig_chr_I.g2063.t2	324	210	365	166	278	194
CBRIG.I.g2513.t1__CNIGO.Cnig_chr_I.g1992.t1	273	692	265	877	303	730
CBRIG.I.g2517.t1__CNIGO.Cnig_chr_I.g1988.t1	117	318	101	281	114	305
CBRIG.I.g2526.t1__CNIGO.Cnig_chr_I.g2100.t1	98	102	114	106	103	70
CBRIG.I.g2529.t1__CNIGO.Cnig_chr_I.g2102.t1	146	157	153	311	338	158
CBRIG.I.g2547.t2__CNIGO.Cnig_chr_I.g2120.t2	524	116	479	241	512	185
CBRIG.I.g2549.t2__CNIGO.Cnig_chr_I.g2123.t2	228	260	267	215	215	227
CBRIG.I.g2552.t2__CNIGO.Cnig_chr_I.g2128.t1	650	1752	638	1967	658	1937
CBRIG.I.g2560.t1__CNIGO.Cnig_chr_I.g2135.t1	93	339	71	348	99	289
CBRIG.I.g2619.t1__CNIGO.Cnig_chr_I.g2205.t1	432	1027	509	1065	413	1045
CBRIG.I.g2640.t1__CNIGO.Cnig_chr_I.g2225.t2	321	1056	275	1001	247	1023
CBRIG.I.g2651.t1__CNIGO.Cnig_chr_I.g2235.t1	171	556	185	533	226	525
