gene_id	HM1_Cbr	HM1_Cni
I.g1000.t2__Cnig_chr_I.g492.t1	1733	1729
I.g1001.t1__Cnig_chr_I.g493.t1	297	294
I.g1002.t1__Cnig_chr_I.g494.t1	134	125
I.g1004.t3__Cnig_chr_I.g495.t1	102	85
I.g1005.t1__Cnig_chr_I.g496.t3	0	0
I.g1007.t2__Cnig_chr_I.g499.t1	8	8
I.g1009.t1__Cnig_chr_I.g502.t2	22	30
I.g1011.t2__Cnig_chr_I.g505.t3	163	152
I.g1012.t1__Cnig_chr_I.g506.t1	146	143
I.g1014.t1__Cnig_chr_I.g512.t1	26	26
I.g1015.t2__Cnig_chr_I.g514.t2	250	251
I.g1016.t1__Cnig_chr_I.g515.t1	149	146
I.g1017.t1__Cnig_chr_I.g516.t1	69	68
I.g1018.t1__Cnig_chr_I.g519.t1	43	30
I.g1019.t2__Cnig_chr_I.g521.t1	48	56
I.g1021.t1__Cnig_chr_I.g522.t1	62	63
I.g1022.t1__Cnig_chr_I.g523.t1	743	210
I.g1023.t1__Cnig_chr_I.g524.t2	143	151
I.g1025.t1__Cnig_chr_I.g526.t2	800	787
I.g1026.t1__Cnig_chr_I.g528.t2	1121	1109
I.g1030.t2__Cnig_chr_I.g530.t1	106	286
I.g1032.t1__Cnig_chr_I.g531.t1	191	107
I.g1035.t1__Cnig_chr_I.g533.t2	316	343
I.g1036.t3__Cnig_chr_I.g534.t4	224	204
I.g1037.t1__Cnig_chr_I.g535.t1	72	74
I.g1038.t3__Cnig_chr_I.g536.t1	303	250
I.g1040.t1__Cnig_chr_I.g542.t1	17	17
I.g1041.t1__Cnig_chr_I.g543.t1	9	9
I.g1042.t3__Cnig_chr_I.g545.t2	16	5
I.g1043.t1__Cnig_chr_I.g546.t3	2	2
I.g1045.t1__Cnig_chr_I.g547.t1	309	307
I.g1046.t1__Cnig_chr_I.g548.t1	91	91
I.g1052.t1__Cnig_chr_I.g554.t1	276	311
I.g1056.t1__Cnig_chr_I.g580.t3	4	1
I.g1057.t1__Cnig_chr_I.g579.t1	232	283
I.g1059.t1__Cnig_chr_I.g578.t1	103	101
I.g1060.t1__Cnig_chr_I.g577.t3	74	63
I.g1061.t1__Cnig_chr_I.g576.t1	6804	6749
I.g1063.t1__Cnig_chr_I.g575.t1	17	54
I.g1065.t1__Cnig_chr_I.g569.t3	129	131
I.g1066.t1__Cnig_chr_I.g568.t1	85	87
I.g1067.t1__Cnig_chr_I.g567.t1	191	187
I.g1069.t2__Cnig_chr_I.g566.t1	48	79
I.g1070.t1__Cnig_chr_I.g564.t2	76	78
I.g1071.t1__Cnig_chr_I.g563.t1	32	45
I.g1072.t1__Cnig_chr_I.g562.t3	86	105
I.g1075.t1__Cnig_chr_I.g72.t1	3	0
I.g1077.t3__Cnig_chr_I.g70.t2	247	230
I.g1078.t1__Cnig_chr_I.g69.t1	230	232
I.g1079.t1__Cnig_chr_I.g68.t1	40	39
I.g1080.t1__Cnig_chr_I.g67.t1	54	53
I.g1081.t2__Cnig_chr_I.g66.t1	34	30
I.g1082.t1__Cnig_chr_I.g64.t1	21	2
I.g1083.t2__Cnig_chr_I.g63.t1	568	592
I.g1084.t2__Cnig_chr_I.g60.t2	375	286
I.g1085.t1__Cnig_chr_I.g59.t1	127	127
I.g1086.t1__Cnig_chr_I.g58.t1	999	998
I.g1087.t1__Cnig_chr_I.g57.t1	112	94
I.g1088.t1__Cnig_chr_I.g56.t1	42	33
I.g1089.t2__Cnig_chr_I.g55.t2	180	177
I.g1090.t1__Cnig_chr_I.g54.t1	115	104
I.g1091.t1__Cnig_chr_I.g53.t1	48	49
I.g1092.t1__Cnig_chr_I.g52.t2	177	142
I.g1093.t2__Cnig_chr_I.g51.t2	8	8
I.g1094.t2__Cnig_chr_I.g50.t1	213	176
I.g1095.t1__Cnig_chr_I.g49.t1	170	169
I.g1096.t1__Cnig_chr_I.g48.t2	158	172
I.g1097.t1__Cnig_chr_I.g47.t2	18	18
I.g1099.t2__Cnig_chr_I.g46.t2	57	47
I.g1100.t1__Cnig_chr_I.g45.t1	73	79
I.g1101.t1__Cnig_chr_I.g44.t1	274	281
I.g1102.t1__Cnig_chr_I.g43.t1	194	199
I.g1103.t1__Cnig_chr_I.g42.t1	166	165
I.g1104.t1__Cnig_chr_I.g41.t3	8	4
I.g1105.t1__Cnig_chr_I.g40.t1	55	58
I.g1109.t1__Cnig_chr_I.g38.t3	8	12
I.g1112.t2__Cnig_chr_I.g35.t2	98	96
I.g1114.t2__Cnig_chr_I.g34.t2	11	18
I.g1115.t3__Cnig_chr_I.g33.t3	331	273
I.g1116.t1__Cnig_chr_I.g29.t1	149	148
I.g1117.t1__Cnig_chr_I.g28.t1	416	413
I.g1119.t1__Cnig_chr_I.g26.t1	162	161
I.g1120.t1__Cnig_chr_I.g25.t1	132	129
I.g1121.t1__Cnig_chr_I.g24.t1	6	4
I.g1123.t1__Cnig_chr_I.g22.t2	2	3
I.g1125.t1__Cnig_chr_I.g19.t1	906	905
I.g1126.t1__Cnig_chr_I.g18.t1	199	197
I.g1129.t1__Cnig_chr_I.g16.t1	156	159
I.g1130.t2__Cnig_chr_I.g15.t1	5	0
I.g1131.t2__Cnig_chr_I.g9.t1	2	2
I.g1132.t1__Cnig_chr_I.g8.t1	143	147
I.g1133.t3__Cnig_chr_I.g6.t1	924	586
I.g1134.t1__Cnig_chr_I.g5.t1	5474	5330
I.g1135.t1__Cnig_chr_I.g4.t1	1263	1075
I.g1141.t1__Cnig_chr_I.g623.t1	94	89
I.g1142.t1__Cnig_chr_I.g624.t1	547	545
I.g1143.t2__Cnig_chr_I.g625.t1	384	388
I.g1144.t2__Cnig_chr_I.g1613.t1	54	263
I.g1147.t1__Cnig_chr_I.g632.t2	101	102
I.g1148.t1__Cnig_chr_I.g633.t1	28	28
I.g1149.t1__Cnig_chr_I.g635.t1	27	18
I.g1150.t1__Cnig_chr_I.g639.t1	3	3
I.g1151.t1__Cnig_chr_I.g640.t1	89	80
I.g1152.t1__Cnig_chr_I.g641.t1	5	5
I.g1154.t1__Cnig_chr_I.g644.t3	348	351
I.g1155.t1__Cnig_chr_I.g645.t1	38	38
I.g1156.t1__Cnig_chr_I.g646.t2	54	179
I.g1158.t1__Cnig_chr_I.g647.t1	112	101
I.g1159.t1__Cnig_chr_I.g648.t1	10469	10472
I.g1160.t1__Cnig_chr_I.g649.t1	53	52
I.g1161.t1__Cnig_chr_I.g650.t3	146	145
I.g1162.t2__Cnig_chr_I.g651.t2	1787	574
I.g1163.t2__Cnig_chr_I.g653.t1	493	486
I.g1165.t1__Cnig_chr_I.g655.t1	45	40
I.g1166.t1__Cnig_chr_I.g657.t2	66	59
I.g1167.t1__Cnig_chr_I.g656.t1	83	80
I.g1168.t3__Cnig_chr_I.g658.t2	182	182
I.g1169.t1__Cnig_chr_I.g659.t1	19	18
I.g1170.t1__Cnig_chr_I.g660.t2	1026	989
