gene_id	HF1_1_Cbr	HF1_1_Cni	HF1_2_Cbr	HF_2_Cni	HF1_3_Cbr	HF1_3_Cni
CBRIG.I.g1002.t1__CNIGO.Cnig_chr_I.g494.t1	920	1918	839	1823	1039	1878
CBRIG.I.g1021.t1__CNIGO.Cnig_chr_I.g522.t1	779	530	735	422	752	494
CBRIG.I.g1042.t3__CNIGO.Cnig_chr_I.g545.t2	801	357	848	473	792	481
CBRIG.I.g1066.t1__CNIGO.Cnig_chr_I.g568.t1	276	326	310	340	273	252
CBRIG.I.g1120.t1__CNIGO.Cnig_chr_I.g25.t1	220	411	192	416	216	540
CBRIG.I.g1149.t1__CNIGO.Cnig_chr_I.g635.t1	801	371	764	334	794	328
CBRIG.I.g1155.t1__CNIGO.Cnig_chr_I.g645.t1	841	249	790	155	742	169
CBRIG.I.g1176.t1__CNIGO.Cnig_chr_I.g674.t1	147	486	68	363	105	388
CBRIG.I.g1199.t1__CNIGO.Cnig_chr_I.g704.t1	957	333	917	340	1007	289
CBRIG.I.g1237.t1__CNIGO.Cnig_chr_I.g783.t1	580	635	629	629	661	652
CBRIG.I.g1245.t1__CNIGO.Cnig_chr_I.g800.t1	297	154	277	207	284	184
CBRIG.I.g1269.t1__CNIGO.Cnig_chr_I.g836.t1	563	542	411	322	509	487
CBRIG.I.g1288.t1__CNIGO.Cnig_chr_I.g858.t1	450	1061	577	1178	423	1156
CBRIG.I.g1306.t1__CNIGO.Cnig_chr_I.g872.t1	177	107	123	91	175	117
CBRIG.I.g1329.t1__CNIGO.Cnig_chr_I.g901.t2	315	185	405	304	331	231
CBRIG.I.g1336.t1__CNIGO.Cnig_chr_I.g908.t1	1332	646	1325	595	1294	523
CBRIG.I.g1357.t4__CNIGO.Cnig_chr_I.g953.t1	624	1085	686	1103	663	997
CBRIG.I.g1377.t3__CNIGO.Cnig_chr_I.g976.t2	1790	663	1625	601	1667	649
CBRIG.I.g1409.t2__CNIGO.Cnig_chr_I.g1006.t1	1256	493	1256	560	1374	621
CBRIG.I.g1413.t1__CNIGO.Cnig_chr_I.g1010.t1	424	353	534	393	462	415
CBRIG.I.g1426.t2__CNIGO.Cnig_chr_I.g1025.t2	860	586	863	525	897	613
CBRIG.I.g1437.t2__CNIGO.Cnig_chr_I.g1037.t1	295	1667	368	1607	307	1695
CBRIG.I.g1441.t3__CNIGO.Cnig_chr_I.g1041.t3	872	3152	1013	3082	931	3284
CBRIG.I.g1502.t1__CNIGO.Cnig_chr_I.g1114.t1	536	178	559	176	539	130
CBRIG.I.g1515.t2__CNIGO.Cnig_chr_I.g1127.t2	1035	2205	1020	2118	1117	2360
CBRIG.I.g1538.t2__CNIGO.Cnig_chr_I.g1149.t1	147	238	121	235	253	288
CBRIG.I.g1543.t1__CNIGO.Cnig_chr_I.g1155.t1	79	68	78	113	80	66
CBRIG.I.g1582.t1__CNIGO.Cnig_chr_I.g1192.t1	377	274	323	172	423	310
CBRIG.I.g1585.t1__CNIGO.Cnig_chr_I.g1194.t1	1014	620	1081	821	869	515
CBRIG.I.g1588.t3__CNIGO.Cnig_chr_I.g1197.t1	922	810	980	738	914	939
CBRIG.I.g1627.t1__CNIGO.Cnig_chr_I.g1233.t1	538	459	530	509	515	546
CBRIG.I.g1631.t1__CNIGO.Cnig_chr_I.g1237.t2	973	2130	1113	2419	1208	2355
CBRIG.I.g1656.t1__CNIGO.Cnig_chr_I.g1262.t1	1175	458	1197	398	1095	467
CBRIG.I.g1681.t2__CNIGO.Cnig_chr_I.g1290.t1	2264	1411	2222	1491	2106	1436
CBRIG.I.g1726.t1__CNIGO.Cnig_chr_I.g1339.t1	267	168	361	215	312	213
CBRIG.I.g1749.t1__CNIGO.Cnig_chr_I.g1361.t1	925	479	852	479	796	382
CBRIG.I.g1751.t1__CNIGO.Cnig_chr_I.g1365.t1	956	462	916	591	940	517
CBRIG.I.g1758.t1__CNIGO.Cnig_chr_I.g1372.t1	179	192	141	101	106	162
CBRIG.I.g1794.t1__CNIGO.Cnig_chr_I.g1410.t1	936	855	709	841	854	873
CBRIG.I.g1820.t1__CNIGO.Cnig_chr_I.g1433.t1	228	136	149	113	224	176
CBRIG.I.g1835.t1__CNIGO.Cnig_chr_I.g1453.t1	356	399	278	312	299	367
CBRIG.I.g1846.t1__CNIGO.Cnig_chr_I.g1468.t1	880	695	832	596	818	524
CBRIG.I.g1847.t1__CNIGO.Cnig_chr_I.g1469.t1	427	342	446	356	364	303
CBRIG.I.g1871.t1__CNIGO.Cnig_chr_I.g1486.t2	280	443	225	378	198	400
CBRIG.I.g1944.t2__CNIGO.Cnig_chr_I.g1546.t1	564	266	648	270	694	327
CBRIG.I.g1966.t1__CNIGO.Cnig_chr_I.g1570.t3	212	250	225	184	215	176
CBRIG.I.g1967.t1__CNIGO.Cnig_chr_I.g1571.t1	1604	858	1527	667	1514	799
CBRIG.I.g1994.t1__CNIGO.Cnig_chr_I.g1673.t1	1476	679	1234	576	1385	743
CBRIG.I.g2029.t1__CNIGO.Cnig_chr_I.g1635.t1	102	132	70	88	176	156
CBRIG.I.g2051.t1__CNIGO.Cnig_chr_I.g1615.t2	515	477	547	462	604	556
CBRIG.I.g2085.t3__CNIGO.Cnig_chr_I.g1709.t1	742	465	748	382	815	364
CBRIG.I.g2123.t1__CNIGO.Cnig_chr_I.g1766.t2	1509	759	1621	755	1572	704
CBRIG.I.g2149.t1__CNIGO.Cnig_chr_I.g1742.t1	472	732	595	822	445	649
CBRIG.I.g2162.t1__CNIGO.Cnig_chr_I.g1789.t1	168	218	186	195	126	94
CBRIG.I.g2171.t1__CNIGO.Cnig_chr_I.g1796.t1	421	590	311	484	464	597
CBRIG.I.g2193.t3__CNIGO.Cnig_chr_I.g1821.t1	762	810	745	773	633	818
CBRIG.I.g2199.t2__CNIGO.Cnig_chr_I.g1827.t1	166	142	152	123	61	94
CBRIG.I.g2203.t1__CNIGO.Cnig_chr_I.g1831.t1	550	296	432	230	450	201
CBRIG.I.g2294.t2__CNIGO.Cnig_chr_I.g1920.t1	598	791	528	811	562	713
CBRIG.I.g2299.t1__CNIGO.Cnig_chr_I.g1925.t1	94	161	128	166	66	215
CBRIG.I.g2398.t1__CNIGO.Cnig_chr_I.g2084.t1	376	379	376	363	265	370
CBRIG.I.g2416.t2__CNIGO.Cnig_chr_I.g2070.t2	577	156	671	229	632	181
CBRIG.I.g2417.t2__CNIGO.Cnig_chr_I.g2069.t2	498	544	492	581	417	633
CBRIG.I.g2423.t1__CNIGO.Cnig_chr_I.g2063.t2	512	405	509	316	451	366
CBRIG.I.g2513.t1__CNIGO.Cnig_chr_I.g1992.t1	539	948	522	1123	596	998
CBRIG.I.g2517.t1__CNIGO.Cnig_chr_I.g1988.t1	234	433	201	380	228	418
CBRIG.I.g2526.t1__CNIGO.Cnig_chr_I.g2100.t1	196	199	219	212	172	140
CBRIG.I.g2529.t1__CNIGO.Cnig_chr_I.g2102.t1	292	302	306	307	325	316
CBRIG.I.g2547.t2__CNIGO.Cnig_chr_I.g2120.t2	601	199	629	390	628	307
CBRIG.I.g2549.t2__CNIGO.Cnig_chr_I.g2123.t2	416	446	454	390	391	407
CBRIG.I.g2552.t2__CNIGO.Cnig_chr_I.g2128.t1	1195	2275	1160	2489	1186	2480
CBRIG.I.g2560.t1__CNIGO.Cnig_chr_I.g2135.t1	185	431	141	418	197	387
CBRIG.I.g2619.t1__CNIGO.Cnig_chr_I.g2205.t1	850	1410	1003	1529	816	1421
CBRIG.I.g2640.t1__CNIGO.Cnig_chr_I.g2225.t2	632	1357	541	1257	484	1253
CBRIG.I.g2651.t1__CNIGO.Cnig_chr_I.g2235.t1	329	715	356	702	439	740
CBRIG.I.g2655.t1__CNIGO.Cnig_chr_I.g2248.t1	424	284	426	358	517	469
CBRIG.I.g2683.t1__CNIGO.Cnig_chr_I.g2275.t1	343	382	258	365	278	414
CBRIG.I.g2697.t1__CNIGO.Cnig_chr_I.g2287.t1	421	526	385	577	343	554
CBRIG.I.g2725.t1__CNIGO.Cnig_chr_I.g2319.t1	154	183	130	156	126	160
CBRIG.I.g2735.t1__CNIGO.Cnig_chr_I.g2327.t1	1275	488	1380	368	1280	440
CBRIG.I.g2758.t1__CNIGO.Cnig_chr_I.g2361.t1	394	589	432	629	339	580
CBRIG.I.g2782.t1__CNIGO.Cnig_chr_I.g2394.t2	349	260	324	294	308	285
CBRIG.I.g2795.t3__CNIGO.Cnig_chr_I.g2411.t2	451	1135	432	1018	477	1058
CBRIG.I.g2830.t1__CNIGO.Cnig_chr_I.g2443.t1	686	510	730	645	614	539
CBRIG.I.g2847.t1__CNIGO.Cnig_chr_I.g2464.t1	603	579	579	605	623	583
CBRIG.I.g2850.t1__CNIGO.Cnig_chr_I.g2467.t1	608	918	448	758	453	755
CBRIG.I.g2874.t1__CNIGO.Cnig_chr_I.g2498.t1	144	197	69	200	51	248
CBRIG.I.g2910.t1__CNIGO.Cnig_chr_I.g2525.t2	179	219	69	138	155	197
CBRIG.I.g2924.t1__CNIGO.Cnig_chr_I.g2539.t1	1911	5597	1779	5225	1796	5718
CBRIG.I.g2950.t1__CNIGO.Cnig_chr_I.g2578.t1	1075	303	1144	307	1089	340
CBRIG.I.g2968.t1__CNIGO.Cnig_chr_I.g2595.t1	89	174	106	215	81	161
CBRIG.I.g2975.t1__CNIGO.Cnig_chr_I.g2601.t1	1943	524	1954	516	2017	560
CBRIG.I.g3000.t1__CNIGO.Cnig_chr_I.g2632.t1	715	775	757	792	702	877
CBRIG.I.g3003.t1__CNIGO.Cnig_chr_I.g2635.t3	659	305	707	443	646	266
CBRIG.I.g3031.t1__CNIGO.Cnig_chr_I.g2664.t1	369	835	293	729	387	909
CBRIG.I.g3119.t1__CNIGO.Cnig_chr_I.g2776.t1	1049	327	1039	328	1147	374
CBRIG.I.g3152.t1__CNIGO.Cnig_chr_I.g2813.t1	524	238	521	210	622	249
