,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
I.g1000.t2__Cnig_chr_I.g492.t1,14968.2457506146,0.506046086198208,0.205196667825386,2.46615157819635,0.0136573526047057,0.0232710951095648
I.g1001.t1__Cnig_chr_I.g493.t1,4630.09477148293,0.0176141735283327,0.207416209707705,0.0849218754559005,0.932323500507802,0.947867095311911
I.g1002.t1__Cnig_chr_I.g494.t1,1387.34972765397,0.850537250531852,0.24197928216069,3.51491765302056,0.000439890367290973,0.000967204861500768
I.g1004.t3__Cnig_chr_I.g495.t1,510.456915631126,1.43648752480334,0.210151243713019,6.83549380637975,8.1723029828006e-12,4.06495961733971e-11
I.g1007.t2__Cnig_chr_I.g499.t1,25.2300067803422,-0.703239181928661,0.468387684212686,-1.50140408390698,0.133251078251306,0.182570063853576
I.g1009.t1__Cnig_chr_I.g502.t2,392.011421884711,-0.517786790344222,0.217581504927666,-2.3797371496091,0.0173249911438044,0.0288976184185514
I.g1011.t2__Cnig_chr_I.g505.t3,612.087813965973,1.26475915647629,0.197425406606791,6.406263399499,1.49129240528406e-10,6.71846221222748e-10
I.g1012.t1__Cnig_chr_I.g506.t1,1444.74611757027,-0.636873073146582,0.231181327599131,-2.75486381084774,0.00587165703974051,0.0107006687038975
I.g1014.t1__Cnig_chr_I.g512.t1,291.57004391204,-3.57685582063641,0.310902727007708,-11.5047425124313,1.24861433532294e-30,2.16622657742206e-29
I.g1015.t2__Cnig_chr_I.g514.t2,1299.26348086059,1.99347901004568,0.210283184710744,9.47997345954134,2.54347756246459e-21,2.49385319821492e-20
I.g1016.t1__Cnig_chr_I.g515.t1,1091.11417824717,0.328428701202175,0.231590472965287,1.41814426559508,0.156148649923355,0.21028265235896
I.g1017.t1__Cnig_chr_I.g516.t1,143.674023068193,-0.366440690503815,0.253427466865824,-1.44593912820754,0.148194275947134,0.200721814433021
I.g1018.t1__Cnig_chr_I.g519.t1,131.132299941529,-0.874979214531775,0.270608791704848,-3.23337319907223,0.00122337631599056,0.00250393177749856
I.g1019.t2__Cnig_chr_I.g521.t1,249.886002148395,0.303429424145721,0.293390318193139,1.03421757750702,0.301034458555904,0.372877516241279
I.g1021.t1__Cnig_chr_I.g522.t1,391.340173672215,1.18950204155898,0.227490146188346,5.22880688016331,1.7060745995074e-07,5.75266897021325e-07
I.g1022.t1__Cnig_chr_I.g523.t1,4005.13117646212,-0.326163524021713,0.193110994973566,-1.68899509873252,0.0912203692231178,0.13018235444301
I.g1023.t1__Cnig_chr_I.g524.t2,2.88921528170454,4.92185483840078,1.80876424830263,2.72111461901103,0.0065062198084927,0.0117663862133164
I.g1025.t1__Cnig_chr_I.g526.t2,1091.628924455,0.140003476935556,0.200983050341503,0.696593452520833,0.486057254540579,0.560889150109146
I.g1026.t1__Cnig_chr_I.g528.t2,8304.25572437772,0.506022276947313,0.190042106572883,2.66268505476311,0.00775199315891383,0.0138458222729505
I.g1030.t2__Cnig_chr_I.g530.t1,1348.77995314825,2.47611321622301,0.292651235314692,8.46096963698246,2.65163442603491e-17,2.04604018403226e-16
I.g1032.t1__Cnig_chr_I.g531.t1,709.71090788314,0.00642095382985524,0.23773026851096,0.0270094080575996,0.978452230225114,0.984088392543817
I.g1035.t1__Cnig_chr_I.g533.t2,1208.37572891527,-6.40359070496383,1.04509135331245,-6.12730234985436,8.93815256981791e-10,3.75011398177296e-09
I.g1036.t3__Cnig_chr_I.g534.t4,1374.89108161295,0.220758379064921,0.230176048339513,0.959084929372403,0.337515961905728,0.410948628829909
I.g1037.t1__Cnig_chr_I.g535.t1,732.743738776897,-1.02922207062701,0.218253923009314,-4.71570937390703,2.40870051378612e-06,7.13442633694065e-06
I.g1038.t3__Cnig_chr_I.g536.t1,1983.98948394453,-0.0852379798296499,0.2249705696187,-0.378885024712871,0.7047732451461,0.75953998778545
I.g1040.t1__Cnig_chr_I.g542.t1,1052.75742639138,-1.79181012714201,0.293749701110767,-6.09978536273081,1.06210986861091e-09,4.42892660765829e-09
I.g1041.t1__Cnig_chr_I.g543.t1,88.6302766086376,1.82276239479232,0.384726395579277,4.73781475806415,2.16035149657187e-06,6.42397970126907e-06
I.g1042.t3__Cnig_chr_I.g545.t2,36.4543519099491,-1.65543705531881,0.424412075269138,-3.90054183606586,9.59776379452893e-05,0.000232832107441556
I.g1043.t1__Cnig_chr_I.g546.t3,7.88152237742796,5.37956734567616,1.56593676499006,3.43536691004909,0.00059175204568305,0.00127054565823072
I.g1045.t1__Cnig_chr_I.g547.t1,238.891289917471,-4.50720373183115,0.324658772340516,-13.8828952605778,8.04283768994554e-44,3.23113293508461e-42
I.g1046.t1__Cnig_chr_I.g548.t1,1080.41658687629,0.512028790440899,0.209201760310175,2.44753576490816,0.0143836849061363,0.0244040618832279
I.g1052.t1__Cnig_chr_I.g554.t1,1106.882079663,0.675250696466153,0.267648176764151,2.52290415212197,0.0116390119910112,0.0201182515935501
I.g1056.t1__Cnig_chr_I.g580.t3,20.6644985899105,-3.58161416302586,0.69228693316357,-5.17359781248336,2.2962882537717e-07,7.6331827503336e-07
I.g1057.t1__Cnig_chr_I.g579.t1,1102.64178594832,0.295187245683386,0.223526560959637,1.32059136245866,0.186637654440417,0.246109432206046
I.g1059.t1__Cnig_chr_I.g578.t1,928.386191920175,-0.249893059073378,0.228058491859235,-1.09574108394797,0.273192097957247,0.343260741957722
I.g1060.t1__Cnig_chr_I.g577.t3,286.126306649761,0.131397517563618,0.263264319322169,0.499108720475032,0.617702794460709,0.683498079116054
I.g1061.t1__Cnig_chr_I.g576.t1,9254.95169917225,-0.872217736369517,0.229099105455571,-3.80716343101857,0.000140569855007767,0.000333639047638686
I.g1063.t1__Cnig_chr_I.g575.t1,309.780313052099,2.17116961138594,0.466297689562742,4.65618779587325,3.22118136714816e-06,9.38580852357526e-06
I.g1065.t1__Cnig_chr_I.g569.t3,1021.803482251,0.543662365727639,0.211054858674815,2.57592916429985,0.00999711244980023,0.0175135933179611
I.g1066.t1__Cnig_chr_I.g568.t1,662.240260794493,-0.206845275076457,0.230228824007346,-0.898433443198479,0.368954513644376,0.443729381960682
