# Program:featureCounts v2.0.1; Command:"featureCounts" "-t" "transcript" "-a" "../references/annotations/briggsae.chr.transcript.ortho.gff" "-o" "counts/Cbr_Thomas_fc.counts.txt" "BAM/SRR580389.bam" "BAM/SRR580390.bam" "BAM/SRR580391.bam" "BAM/SRR580392.bam" "BAM/SRR580393.bam" "BAM/SRR580394.bam" 
Geneid	Chr	Start	End	Strand	Length	BAM/SRR580389.bam	BAM/SRR580390.bam	BAM/SRR580391.bam	BAM/SRR580392.bam	BAM/SRR580393.bam	BAM/SRR580394.bam
I.g3305.t1	I	11910148	11912380	-	2233	123	118	124	72	92	185
I.g3703.t1	I	14347249	14348988	+	1740	22	19	38	0	4	2
X.g20706.t1	X	12187099	12187542	-	444	1	0	2	2	7	2
I.g2976.t2	I	10326360	10327965	-	1606	1	4	7	14	14	15
I.g3421.t2	I	12631937	12634164	-	2228	8	3	15	1	6	6
V.g13936.t1	V	291149	292367	+	1219	128	102	133	64	79	71
I.g3695.t1	I	14318521	14319794	+	1274	5	9	9	4	13	10
II.g5334.t1	II	7514659	7515684	-	1026	17	18	28	5	5	4
I.g3692.t1	I	14315754	14316495	-	742	6	9	5	3	15	14
IV.g10696.t1	IV	1480150	1481371	-	1222	36	45	58	2	6	11
X.g19275.t1	X	4229669	4229926	-	258	1	1	0	4	0	0
V.g14379.t1	V	1917352	1918452	+	1101	28	36	24	33	27	24
III.g9781.t1	III	10958874	10959737	+	864	59	80	90	33	75	65
III.g9971.t1	III	12024876	12026377	-	1502	8	13	13	2	3	1
III.g9867.t1	III	11418820	11419182	-	363	0	0	0	1	0	0
III.g9787.t1	III	10983292	10986440	+	3149	2055	2425	1998	99	151	262
II.g4676.t1	II	4503299	4504009	+	711	3	3	0	1	1	2
I.g1797.t1	I	5584515	5587199	+	2685	335	340	308	762	1083	800
X.g22307.t1	X	20957418	20958284	+	867	2	1	0	0	0	0
I.g3123.t1	I	11006676	11007259	-	584	19	18	24	24	25	30
III.g9535.t1	III	9901751	9902932	+	1182	35	29	46	3	8	14
I.g3834.t1	I	15019445	15022114	-	2670	9	12	9	36	26	47
X.g22383.t1	X	21318253	21320494	-	2242	54	50	63	63	53	63
X.g18739.t3	X	1063328	1065163	+	1836	2	3	8	21	14	13
X.g21228.t1	X	15112508	15113830	+	1323	8	7	7	5	4	6
III.g9821.t1	III	11145913	11148231	+	2319	58	54	53	84	80	76
III.g9795.t1	III	11011079	11012696	-	1618	90	92	80	25	46	48
III.g9782.t3	III	10961505	10964150	-	2646	1196	1142	1088	406	676	594
III.g9794.t1	III	11005046	11007348	-	2303	0	0	0	32	37	33
III.g9888.t1	III	11557468	11559556	-	2089	1	0	0	0	1	1
II.g6557.t1	II	12721663	12723088	+	1426	32	57	61	3	17	21
V.g14321.t1	V	1695775	1697502	-	1728	15	15	15	7	13	9
V.g14458.t1	V	2258355	2259071	-	717	21	12	25	32	45	33
V.g17807.t1	V	15996919	15997466	+	548	13	14	5	19	7	14
