I.g1000,WBGene00040698,Cbr-imb-3
I.g1001,WBGene00040699,Cbr-xpo-2
I.g1002,WBGene00040700,Cbr-nol-14
I.g1005,WBGene00040704,CBG22068
I.g1007,WBGene00040705,CBG22069
I.g1009,WBGene00040706,Cbr-ztf-3
I.g1011,WBGene00040707,CBG22074
I.g1012,WBGene00040708,Cbr-gap-3
I.g1014,WBGene00270388,CBG29960
I.g1015,WBGene00040711,Cbr-gsa-1
I.g1018,WBGene00040715,CBG22085
I.g1019,WBGene00040716,CBG22086
I.g1021,WBGene00040718,CBG22088
I.g1026,WBGene00040722,CBG22093
I.g1030,WBGene00040725,Cbr-ints-1
I.g1036,WBGene00040726,Cbr-csn-2
I.g1037,WBGene00086596,CBG25182
I.g1040,WBGene00040732,Cbr-madf-6
I.g1041,WBGene00040733,Cbr-hmbx-1
I.g1043,WBGene00270840,CBG29813
I.g1045,WBGene00040738,CBG22113
I.g1046,WBGene00270394,CBG29966
I.g1052,WBGene00040743,CBG22119
I.g1056,WBGene00040748,CBG22125
I.g1057,WBGene00040749,CBG22126
I.g1059,WBGene00040750,Cbr-hex-4
I.g1060,WBGene00040753,Cbr-trpp-10
I.g1063,WBGene00040753,Cbr-trpp-10
I.g1065,WBGene00040755,CBG22132
I.g1066,WBGene00040756,CBG22133
I.g1067,WBGene00040758,Cbr-spe-48
I.g1069,WBGene00040759,CBG22136
I.g1070,WBGene00040760,Cbr-mab-20
I.g1071,WBGene00040761,CBG22138
I.g1072,WBGene00040762,CBG22139
I.g1075,WBGene00040764,CBG22141
I.g1078,WBGene00040768,CBG22145
I.g1079,WBGene00270358,CBG29930
I.g1080,WBGene00040769,CBG22146
I.g1082,WBGene00040771,CBG22148
I.g1085,WBGene00040775,Cbr-atg-5
I.g1087,WBGene00040777,Cbr-pqn-88
I.g1088,WBGene00040778,CBG22156
I.g1089,WBGene00040779,Cbr-cpx-1
I.g1090,WBGene00040780,CBG22158
I.g1091,WBGene00040781,CBG22159
I.g1093,WBGene00040785,CBG22163
I.g1095,WBGene00040787,Cbr-bre-4
I.g1096,WBGene00040788,Cbr-ddx-27
I.g1101,WBGene00040791,Cbr-lin-65
I.g1102,WBGene00040792,CBG22170
I.g1103,WBGene00040793,Cbr-mppa-1
I.g1104,WBGene00040794,CBG22172
I.g1105,WBGene00040795,CBG22173
I.g1109,WBGene00040797,CBG22177
I.g1112,WBGene00040801,CBG22181
I.g1114,WBGene00040802,Cbr-dyf-5
I.g1116,WBGene00040805,Cbr-rtcb-1
I.g1117,WBGene00040806,CBG22191
I.g1120,WBGene00040808,Cbr-ncbp-2
I.g1123,WBGene00040810,CBG22197
I.g1125,WBGene00040812,Cbr-pghm-1
I.g1126,WBGene00086600,CBG25186
I.g1129,WBGene00040815,Cbr-chaf-2
I.g1130,WBGene00040816,CBG22205
I.g1131,WBGene00040817,CBG22207
I.g1132,WBGene00040818,Cbr-nlp-12
I.g1135,WBGene00040822,CBG22213
I.g1141,WBGene00040825,CBG22217
I.g1142,WBGene00040826,Cbr-tub-2
I.g1143,WBGene00040827,Cbr-scm-1
I.g1144,WBGene00040828,CBG22220
I.g1147,WBGene00040829,CBG22222
I.g1148,WBGene00040830,CBG22223
I.g1149,WBGene00040831,CBG22224
I.g1150,WBGene00086604,CBG25190
I.g1151,WBGene00040832,CBG22228
I.g1152,WBGene00040833,CBG22229
I.g1156,WBGene00040837,CBG22233
I.g1158,WBGene00040838,CBG22234
I.g1159,WBGene00040839,Cbr-rpl-4
I.g1160,WBGene00040840,Cbr-lmd-2
I.g1161,WBGene00040841,CBG22237
I.g1165,WBGene00040849,CBG22245
I.g1166,WBGene00040852,Cbr-mrt-1.1
I.g1167,WBGene00040853,Cbr-syp-3
I.g1169,WBGene00040856,CBG22252
I.g1170,WBGene00040857,Cbr-pqn-24
I.g1171,WBGene00040858,CBG22254
I.g1172,WBGene00040860,CBG22256
I.g1173,WBGene00040861,CBG22257
I.g1175,WBGene00040862,Cbr-src-1
I.g1176,WBGene00040862,Cbr-src-1
I.g1180,WBGene00040866,CBG22265
I.g1181,WBGene00040868,CBG22267
I.g1182,WBGene00040869,CBG22268
I.g1183,WBGene00040870,Cbr-eaf-1
I.g1184,WBGene00040871,Cbr-nrd-1
I.g1185,WBGene00040872,CBG22271
I.g1186,WBGene00040873,CBG22272
I.g1188,WBGene00040875,Cbr-rps-10
I.g1189,WBGene00040876,CBG22275
I.g1190,WBGene00040877,CBG22276
I.g1191,WBGene00040878,CBG22277
I.g1195,WBGene00040880,Cbr-ceh-17
I.g1196,WBGene00040881,CBG22280
I.g1197,WBGene00040882,CBG22281
I.g1198,WBGene00040883,CBG22282
I.g1199,WBGene00040884,Cbr-spe-15
I.g1200,WBGene00040885,Cbr-acs-16
I.g1201,WBGene00040886,Cbr-dyb-1
I.g1205,.
I.g1211,WBGene00040890,Cbr-unc-57
I.g1212,WBGene00040891,Cbr-xnp-1
I.g1213,WBGene00040892,CBG22294
I.g1217,WBGene00040895,Cbr-chd-7
I.g1218,.
I.g1221,WBGene00270395,CBG29967
I.g1222,WBGene00040898,CBG22300
I.g1226,WBGene00040901,CBG22303
I.g1232,WBGene00035432,CBG15096
I.g1234,WBGene00035434,CBG15098
I.g1236,WBGene00035436,CBG15100
I.g1237,WBGene00035437,CBG15101
I.g1241,WBGene00035248,Cbr-gcy-28
I.g1242,WBGene00035248,Cbr-gcy-28
I.g1244,WBGene00035251,CBG14868
I.g1245,WBGene00035252,CBG14869
I.g1246,WBGene00035253,CBG14871
I.g1247,WBGene00035254,CBG14872
I.g1248,WBGene00035255,Cbr-mrpl-19
I.g1249,WBGene00035256,Cbr-rnf-145
I.g1252,WBGene00086614,Cbr-flp-22
I.g1255,WBGene00035263,CBG14884
I.g1259,WBGene00035264,Cbr-tom-1
I.g1263,WBGene00035267,CBG14892
I.g1265,WBGene00035270,CBG14895
I.g1268,WBGene00035271,CBG14896
I.g1269,WBGene00035273,CBG14898
I.g1271,WBGene00035275,CBG14900
I.g1272,WBGene00035276,Cbr-xrep-4
I.g1280,WBGene00035280,Cbr-ubl-5
I.g1282,WBGene00035282,Cbr-tns-1
I.g1283,WBGene00035283,CBG14908
I.g1287,WBGene00035286,CBG14912
I.g1288,WBGene00035287,Cbr-zipt-2.4
I.g1289,WBGene00035288,CBG14914
I.g1290,WBGene00035289,Cbr-dnj-21
I.g1291,WBGene00035290,CBG14916
I.g1293,WBGene00035292,Cbr-npp-7
I.g1295,WBGene00035293,Cbr-pamn-1
I.g1296,WBGene00035294,Cbr-ptr-10
I.g1297,WBGene00035295,Cbr-mff-2
I.g1298,WBGene00035296,Cbr-wdr-12
I.g1299,WBGene00270357,CBG29929
I.g1306,WBGene00035304,CBG14930
I.g1309,WBGene00035306,CBG14932
I.g1311,WBGene00035308,CBG14934
I.g1313,WBGene00035310,Cbr-rnp-6
I.g1314,WBGene00035311,CBG14937
I.g1315,WBGene00035312,CBG14938
I.g1317,WBGene00035314,CBG14940
I.g1319,WBGene00035316,Cbr-ccep-290
I.g1320,WBGene00035317,CBG14943
I.g1321,WBGene00035318,Cbr-fer-1
I.g1322,WBGene00035319,Cbr-crn-1
I.g1326,WBGene00035322,CBG14949
I.g1327,WBGene00035324,CBG14951
I.g1328,WBGene00035325,Cbr-cdk-2
I.g1329,WBGene00035326,Cbr-clik-3
I.g1330,WBGene00035327,Cbr-neto-1
I.g1331,WBGene00035328,Cbr-sep-1
I.g1333,WBGene00035329,CBG14957
I.g1334,WBGene00035331,Cbr-msh-6
I.g1336,WBGene00086626,CBG25212
I.g1337,WBGene00035333,CBG14962
I.g1339,WBGene00035335,Cbr-ace-2
I.g1340,WBGene00035336,CBG14966
I.g1341,WBGene00035337,Cbr-edc-4
I.g1342,WBGene00035338,CBG14968
I.g1343,WBGene00035339,Cbr-cdap-2
I.g1344,WBGene00035340,Cbr-trx-4
I.g1347,WBGene00035341,CBG14973
I.g1348,WBGene00035342,Cbr-sulp-6
I.g1349,WBGene00086630,CBG25216
I.g1351,WBGene00035346,Cbr-txl-1
I.g1352,WBGene00035347,Cbr-cogc-1
I.g1354,WBGene00035347,Cbr-cogc-1
I.g1355,WBGene00035349,Cbr-tyr-5
I.g1356,WBGene00035350,Cbr-nol-58
I.g1357,WBGene00035351,Cbr-pqn-72
I.g1359,WBGene00035352,Cbr-ctn-1
I.g1360,WBGene00035353,Cbr-spe-47
I.g1361,WBGene00035354,Cbr-pid-3
I.g1363,WBGene00270849,CBG29822
I.g1364,WBGene00026838,CBG04098
I.g1365,WBGene00026839,CBG04099
I.g1366,WBGene00026840,Cbr-itx-1
I.g1367,WBGene00026841,CBG04101
I.g1368,WBGene00026842,CBG04102
I.g1369,WBGene00026843,CBG04103
I.g1370,WBGene00086669,CBG25255
I.g1371,WBGene00086670,CBG25256
I.g1373,WBGene00026845,CBG04106
I.g1374,WBGene00026846,CBG04107
I.g1376,WBGene00026847,CBG04110
I.g1377,WBGene00026848,Cbr-lin-17
I.g1379,WBGene00026849,CBG04113
I.g1380,WBGene00026850,Cbr-snr-7
I.g1381,WBGene00026851,Cbr-yop-1
I.g1382,WBGene00026852,CBG04116
I.g1383,WBGene00026853,Cbr-lron-11
I.g1390,WBGene00026858,CBG04123
I.g1391,WBGene00026859,CBG04124
I.g1392,WBGene00026860,Cbr-tofu-4
I.g1395,WBGene00026862,Cbr-mage-1
I.g1397,WBGene00026954,CBG04237
I.g1398,WBGene00026953,Cbr-pop-1
I.g1399,WBGene00026952,Cbr-ccb-2
I.g1400,WBGene00026951,CBG04233
I.g1401,WBGene00026950,CBG04232
I.g1402,WBGene00026949,CBG04231
I.g1403,WBGene00026948,CBG04230
I.g1404,WBGene00026947,CBG04229
I.g1405,WBGene00026946,Cbr-rpl-1
I.g1406,WBGene00026945,CBG04227
I.g1407,WBGene00026944,CBG04226
I.g1408,WBGene00026943,Cbr-dnc-5
I.g1409,WBGene00026942,Cbr-arx-1
I.g1410,WBGene00026941,Cbr-copa-1
I.g1413,WBGene00026939,CBG04220
I.g1414,WBGene00026938,Cbr-trap-1
I.g1415,WBGene00026937,Cbr-nxt-1
I.g1417,WBGene00026934,Cbr-syp-4
I.g1418,WBGene00026933,CBG04213
I.g1422,WBGene00026930,CBG04207
I.g1423,WBGene00270852,CBG29825
I.g1424,WBGene00086680,CBG25266
I.g1426,WBGene00026928,Cbr-riok-1
I.g1428,WBGene00026925,Cbr-pign-1
I.g1429,WBGene00026924,Cbr-ztf-23
I.g1430,WBGene00026922,Cbr-mod-5
I.g1431,WBGene00026921,CBG04196
I.g1432,WBGene00026920,Cbr-rpb-7
I.g1434,WBGene00026918,CBG04193
I.g1435,WBGene00026917,CBG04192
I.g1436,WBGene00026915,Cbr-mek-2
I.g1438,WBGene00026915,Cbr-mek-2
I.g1439,WBGene00026913,Cbr-nduf-5
I.g1440,WBGene00026912,Cbr-dnj-28
I.g1443,WBGene00026910,CBG04185
I.g1444,WBGene00303307,CBG31366
I.g1445,.
I.g1446,WBGene00026909,Cbr-col-49
I.g1449,WBGene00026907,CBG04180
I.g1450,WBGene00026906,CBG04179
I.g1451,WBGene00026905,CBG04178
I.g1452,WBGene00026904,Cbr-lpd-6
I.g1453,WBGene00026903,Cbr-dscc-1
I.g1454,WBGene00026902,Cbr-vbh-1
I.g1455,WBGene00026901,CBG04174
I.g1457,WBGene00026898,Cbr-dnc-6
I.g1459,WBGene00026897,CBG04170
I.g1460,WBGene00086678,CBG25264
I.g1461,WBGene00026896,CBG04169
I.g1465,WBGene00026892,Cbr-fbp-1
I.g1466,WBGene00026891,Cbr-aat-5
I.g1469,WBGene00026887,CBG04160
I.g1475,WBGene00086674,CBG25260
I.g1479,WBGene00026881,CBG04150
I.g1482,WBGene00026879,Cbr-dhs-3
I.g1483,WBGene00026837,CBG04097
I.g1487,WBGene00026835,Cbr-cutl-8
I.g1491,WBGene00026830,Cbr-kin-10
I.g1492,WBGene00026829,Cbr-npp-2
I.g1493,WBGene00026828,Cbr-mei-1
I.g1494,WBGene00026827,Cbr-abts-1
I.g1495,WBGene00026826,CBG04083
I.g1498,WBGene00303306,CBG31365
I.g1499,WBGene00026825,CBG04082
I.g1501,WBGene00026824,Cbr-cep-1
I.g1502,WBGene00026823,Cbr-rpl-25.2
I.g1503,WBGene00026822,CBG04079
I.g1504,WBGene00026821,Cbr-mys-4
I.g1505,WBGene00026820,CBG04077
I.g1506,WBGene00026819,Cbr-cyp-36A1
I.g1507,WBGene00026818,Cbr-tba-5
I.g1510,WBGene00026815,Cbr-uri-1
I.g1512,WBGene00026814,Cbr-rnt-1
I.g1513,WBGene00026813,Cbr-cpb-3
I.g1514,WBGene00026812,Cbr-hmg-3
I.g1518,WBGene00026809,Cbr-vps-51
I.g1519,WBGene00026808,Cbr-srz-4
I.g1521,WBGene00026806,Cbr-nhr-2
