,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,CniM
I.g1000.t2__Cnig_chr_I.g492.t1,7962.6483070045,0.368904640759675,0.141928559658113,2.59922767939248,0.00934337793864598,0.0195136034824819,1
I.g1001.t1__Cnig_chr_I.g493.t1,1373.75321004351,0.310075468810634,0.275666986818883,1.12481901583071,0.260665734718769,0.351610078934772,0
I.g1002.t1__Cnig_chr_I.g494.t1,598.210384035057,-0.257814355815065,0.212992449723926,-1.21043894348948,0.226110506082653,0.312744787900402,0
I.g1004.t3__Cnig_chr_I.g495.t1,288.57925839335,1.36466869346315,0.219668805913284,6.21239182226839,5.21841051199294e-10,3.18160141441636e-09,1
I.g1007.t2__Cnig_chr_I.g499.t1,35.9442357428247,0.119281115478811,0.372645818380967,0.32009245668461,0.748898243778636,0.811121455734237,0
I.g1009.t1__Cnig_chr_I.g502.t2,138.591925755283,0.69750383590364,0.227559304419318,3.06515190703153,0.00217559465443166,0.00524253057762218,1
I.g1011.t2__Cnig_chr_I.g505.t3,636.426514038772,0.280019773005182,0.144392181490467,1.93930010693598,0.0524648058863919,0.0895062230543746,0
I.g1012.t1__Cnig_chr_I.g506.t1,670.356400469801,-0.481402185411598,0.242207714189031,-1.98755926095685,0.0468604556975669,0.080944684681616,0
I.g1014.t1__Cnig_chr_I.g512.t1,121.131819329246,-0.709912681533709,0.211206281641429,-3.36122901277599,0.000775964578869359,0.00206002501744366,-1
I.g1015.t2__Cnig_chr_I.g514.t2,1216.86748400189,-0.595170780843465,0.270718340968422,-2.19848710181365,0.0279144127107554,0.0517301387302302,0
I.g1016.t1__Cnig_chr_I.g515.t1,669.121244690183,-0.0375168560232691,0.181017496706143,-0.207255412907253,0.835810393419227,0.878950996718623,0
I.g1017.t1__Cnig_chr_I.g516.t1,291.045129664147,-0.318202064525674,0.162611198588526,-1.95682749581631,0.0503677532085774,0.0863447197861327,0
I.g1018.t1__Cnig_chr_I.g519.t1,154.208086171664,-1.23881620783,0.20658017340941,-5.99678172103603,2.0126630147547e-09,1.16145932914627e-08,-1
I.g1019.t2__Cnig_chr_I.g521.t1,200.784938605989,-1.0826750470092,0.197538833087943,-5.48082131540786,4.2335588911888e-08,2.0969722395884e-07,-1
I.g1021.t1__Cnig_chr_I.g522.t1,257.040034316191,-0.908188899360731,0.171212388587777,-5.30445785408292,1.13008348012649e-07,5.32290464152716e-07,-1
I.g1022.t1__Cnig_chr_I.g523.t1,1912.73766989657,-1.5079832381476,0.257105360159849,-5.86523453735096,4.4849828222296e-09,2.49905978407363e-08,-1
I.g1023.t1__Cnig_chr_I.g524.t2,622.314046669097,0.550486941717718,0.254825054910257,2.16025438280229,0.0307529822602507,0.0562340247044585,0
I.g1025.t1__Cnig_chr_I.g526.t2,2821.75096865833,-0.465524670673308,0.124594062343626,-3.73633110532512,0.000186724765061013,0.000555029687381568,-1
I.g1026.t1__Cnig_chr_I.g528.t2,4524.70854180703,0.291413833359735,0.111852060768254,2.60535059754968,0.00917802910783867,0.0191965867307231,1
I.g1030.t2__Cnig_chr_I.g530.t1,915.962643223267,1.62277295440582,0.206131783804999,7.87250235966019,3.47617114225061e-15,3.28972988299205e-14,1
I.g1032.t1__Cnig_chr_I.g531.t1,622.615387886216,-0.241920483194205,0.189451839063954,-1.27694977462077,0.201619979718135,0.284316589715849,0
I.g1035.t1__Cnig_chr_I.g533.t2,1368.10080350073,1.11054695202574,0.291804849355185,3.80578648531636,0.000141354288863265,0.000429407719024689,1
I.g1036.t3__Cnig_chr_I.g534.t4,913.148523534703,0.358832228155771,0.100296497412604,3.57771445078079,0.000346611812069922,0.000986785274473003,1
I.g1037.t1__Cnig_chr_I.g535.t1,301.53040430663,0.072838716301446,0.14664785069738,0.496691332024734,0.619406735882362,0.701663950407539,0
I.g1038.t3__Cnig_chr_I.g536.t1,1107.69001068191,-0.149517792186393,0.0968287475244588,-1.54414671271696,0.122552794578301,0.185573861379896,0
I.g1040.t1__Cnig_chr_I.g542.t1,79.4854500522079,0.582766993964805,0.27912391253135,2.08784331188161,0.0368119711476337,0.0654435042624599,0
I.g1041.t1__Cnig_chr_I.g543.t1,37.968166358055,-0.201860250730431,0.342318371726024,-0.589685706065437,0.555401379991863,0.645920026123209,0
I.g1042.t3__Cnig_chr_I.g545.t2,56.2246311728759,-1.27086797799999,0.303757322545169,-4.18382663947471,2.86642734141217e-05,9.6725912789744e-05,-1
I.g1043.t1__Cnig_chr_I.g546.t3,9.39855912229314,0.832375059263185,0.621632661373135,1.33901435845494,0.180565998615199,0.258983493582297,0
I.g1045.t1__Cnig_chr_I.g547.t1,1123.33073234605,0.798272886822767,0.255319040514847,3.12657013442109,0.00176858314519931,0.00435343543433676,1
I.g1046.t1__Cnig_chr_I.g548.t1,373.081059943954,0.568914745877377,0.145103492904207,3.92075155801356,8.82732338216006e-05,0.00027730426864423,1
I.g1052.t1__Cnig_chr_I.g554.t1,1433.57749924369,1.58172277071833,0.106298527783323,14.8800063717015,4.44457169759772e-50,2.35271533599939e-48,1
I.g1056.t1__Cnig_chr_I.g580.t3,3.19452190092257,0.485205258124123,1.32477312991615,0.366255358874038,0.714174537159852,0.782187871695524,0
I.g1057.t1__Cnig_chr_I.g579.t1,1127.53391569086,0.282251063667339,0.112083137455351,2.51822950423543,0.0117946439642852,0.0240564866451967,1
I.g1059.t1__Cnig_chr_I.g578.t1,439.402990651066,0.322190103036271,0.138565047889176,2.32519028387274,0.0200617876601859,0.0384925356732021,1
I.g1060.t1__Cnig_chr_I.g577.t3,236.353514368093,-0.419487229105503,0.175739617706765,-2.38698157296238,0.016987342709554,0.0333216654915719,-1
I.g1061.t1__Cnig_chr_I.g576.t1,24872.2333515189,0.212514444465518,0.181190959773764,1.17287553822147,0.240845720406718,0.329544669738773,0
I.g1063.t1__Cnig_chr_I.g575.t1,157.098918747179,1.7155977482281,0.278385938297697,6.16265950327379,7.15332162287411e-10,4.31255068355071e-09,1
I.g1065.t1__Cnig_chr_I.g569.t3,475.825051353685,1.10118958228344,0.170328003225699,6.46511179271133,1.01223947187166e-10,6.63822708043889e-10,1
I.g1066.t1__Cnig_chr_I.g568.t1,386.000461360523,0.553043246100887,0.164969190654487,3.3524032209092,0.000801132453378541,0.00211889526777308,1
I.g1067.t1__Cnig_chr_I.g567.t1,889.35435847177,0.341105591614364,0.134226046710717,2.54127719599395,0.0110448315589497,0.0226823516859649,1
I.g1069.t2__Cnig_chr_I.g566.t1,366.075833880913,1.13625375345346,0.44793998853419,2.53662049055202,0.0111928218165017,0.0229633815213756,1
I.g1070.t1__Cnig_chr_I.g564.t2,310.355366382481,0.639914049089523,0.151560408110539,4.22217158865663,2.4195979520481e-05,8.25329888611891e-05,1
I.g1071.t1__Cnig_chr_I.g563.t1,178.343590191311,1.90611037204225,0.240380037420073,7.92957016106647,2.19905693737952e-15,2.11288524059671e-14,1
I.g1072.t1__Cnig_chr_I.g562.t3,446.959888690391,2.24553991546887,0.196559696990472,11.4242133552827,3.16508646815941e-30,7.14225089866729e-29,1
I.g1075.t1__Cnig_chr_I.g72.t1,9.60705372251578,-3.58116829328668,1.03298336105205,-3.46682088822748,0.000526652698263136,0.00144839081474261,-1
I.g1077.t3__Cnig_chr_I.g70.t2,921.820878096583,0.414651088870169,0.23901033935918,1.73486674250957,0.0827644110711418,0.132809013116928,0
I.g1078.t1__Cnig_chr_I.g69.t1,843.029136670029,0.668967974433429,0.316407877126778,2.11425828114066,0.0344932134883253,0.0620122397073082,0
I.g1079.t1__Cnig_chr_I.g68.t1,145.044406667389,-0.936293187080008,0.201673242359396,-4.64262475341904,3.44010796377463e-06,1.33138172236553e-05,-1
I.g1080.t1__Cnig_chr_I.g67.t1,255.595989390198,-0.120039245983631,0.15151216757382,-0.792274626558591,0.42820056318909,0.526386975562236,0
I.g1081.t2__Cnig_chr_I.g66.t1,111.300209839107,-0.401661183194893,0.240870228318024,-1.66754183777571,0.0954067124569741,0.150169131403724,0
I.g1082.t1__Cnig_chr_I.g64.t1,48.4334032564552,-3.76437413899101,0.500173205542177,-7.52614113926897,5.22618477459863e-14,4.543531936044e-13,-1
I.g1083.t2__Cnig_chr_I.g63.t1,2256.90033582664,0.512295326816206,0.123871106134176,4.13571286157156,3.53854432184166e-05,0.000117826661016527,1
I.g1084.t2__Cnig_chr_I.g60.t2,1374.13564845546,-0.0538915993358878,0.207320260077355,-0.259943718553025,0.794907187550282,0.846386748808121,0
I.g1085.t1__Cnig_chr_I.g59.t1,487.048096283101,0.0999084595704506,0.137772141356282,0.725171711689411,0.46834669489913,0.565189236158235,0
I.g1086.t1__Cnig_chr_I.g58.t1,4233.39351342701,-0.473608142945813,0.163090912655614,-2.90395176061031,0.00368484930490137,0.00839912693300402,-1
I.g1087.t1__Cnig_chr_I.g57.t1,468.204999596814,-0.740141716714182,0.129729689802068,-5.70526082227929,1.16165070347678e-08,6.17222287475841e-08,-1
I.g1088.t1__Cnig_chr_I.g56.t1,147.682189605733,-1.4217524166115,0.195046827507802,-7.28928757661865,3.11598305316412e-13,2.55411403952555e-12,-1
I.g1089.t2__Cnig_chr_I.g55.t2,664.21951615264,-2.80294659473462,0.246607916245616,-11.3660041307958,6.17502715933336e-30,1.37427716426185e-28,-1
I.g1090.t1__Cnig_chr_I.g54.t1,489.724956826067,-1.14901195197994,0.178407095983263,-6.44039378393187,1.19163924381291e-10,7.75798238730614e-10,-1
I.g1091.t1__Cnig_chr_I.g53.t1,182.111637879721,-0.843936699690656,0.196360649614199,-4.29789115766722,1.72430792712489e-05,6.00644532548302e-05,-1
I.g1092.t1__Cnig_chr_I.g52.t2,529.966835524818,-0.375815243621391,0.121539573271866,-3.09212245447618,0.00198730850990487,0.00482991435318653,-1
I.g1093.t2__Cnig_chr_I.g51.t2,33.0326648635179,-1.5393237525269,0.379102870902557,-4.06043813084855,4.89807155969935e-05,0.000159762034633672,-1
I.g1094.t2__Cnig_chr_I.g50.t1,779.311437362755,-0.793383946226078,0.183347351699884,-4.32721792199511,1.51004543209081e-05,5.3123585884238e-05,-1
