Geneid	Cbr_1_Cbr	Cbr_2_Cbr	Cbr_3_Cbr	Cni_1_Cni	Cni_2_Cni	Cni_3_Cni
CBRIG.I.g1002.t1__CNIGO.Cnig_chr_I.g494.t1	963	959	1029	6127	5805	5642
CBRIG.I.g1021.t1__CNIGO.Cnig_chr_I.g522.t1	919	981	857	555	403	435
CBRIG.I.g1042.t3__CNIGO.Cnig_chr_I.g545.t2	1013	1106	1165	1590	1669	1745
CBRIG.I.g1066.t1__CNIGO.Cnig_chr_I.g568.t1	301	262	302	357	322	337
CBRIG.I.g1120.t1__CNIGO.Cnig_chr_I.g25.t1	190	182	132	354	348	337
CBRIG.I.g1149.t1__CNIGO.Cnig_chr_I.g635.t1	1859	1605	1626	316	355	336
CBRIG.I.g1155.t1__CNIGO.Cnig_chr_I.g645.t1	326	313	339	108	143	143
CBRIG.I.g1176.t1__CNIGO.Cnig_chr_I.g674.t1	144	149	137	703	536	520
CBRIG.I.g1199.t1__CNIGO.Cnig_chr_I.g704.t1	1463	1500	1287	575	426	539
CBRIG.I.g1237.t1__CNIGO.Cnig_chr_I.g783.t1	605	716	613	1215	1215	1409
CBRIG.I.g1245.t1__CNIGO.Cnig_chr_I.g800.t1	159	213	250	419	374	378
CBRIG.I.g1269.t1__CNIGO.Cnig_chr_I.g836.t1	569	516	474	3089	3224	3091
CBRIG.I.g1288.t1__CNIGO.Cnig_chr_I.g858.t1	550	460	425	2752	2725	2776
CBRIG.I.g1306.t1__CNIGO.Cnig_chr_I.g872.t1	515	535	433	134	140	191
CBRIG.I.g1329.t1__CNIGO.Cnig_chr_I.g901.t2	268	248	226	256	228	187
CBRIG.I.g1336.t1__CNIGO.Cnig_chr_I.g908.t1	1300	1326	1348	718	762	707
CBRIG.I.g1357.t4__CNIGO.Cnig_chr_I.g953.t1	2729	2790	2589	725	741	713
CBRIG.I.g1377.t3__CNIGO.Cnig_chr_I.g976.t2	781	639	606	620	722	646
CBRIG.I.g1409.t2__CNIGO.Cnig_chr_I.g1006.t1	434	592	590	1094	1111	1031
CBRIG.I.g1413.t1__CNIGO.Cnig_chr_I.g1010.t1	570	492	517	906	920	956
CBRIG.I.g1426.t2__CNIGO.Cnig_chr_I.g1025.t2	599	667	734	637	700	634
CBRIG.I.g1437.t2__CNIGO.Cnig_chr_I.g1037.t1	404	368	310	654	731	691
CBRIG.I.g1441.t3__CNIGO.Cnig_chr_I.g1041.t3	1020	915	1009	840	930	735
CBRIG.I.g1502.t1__CNIGO.Cnig_chr_I.g1114.t1	568	565	571	127	179	159
CBRIG.I.g1515.t2__CNIGO.Cnig_chr_I.g1127.t2	4432	4532	3932	1165	1061	1088
CBRIG.I.g1538.t2__CNIGO.Cnig_chr_I.g1149.t1	195	196	202	402	462	454
CBRIG.I.g1543.t1__CNIGO.Cnig_chr_I.g1155.t1	120	101	68	161	201	172
CBRIG.I.g1582.t1__CNIGO.Cnig_chr_I.g1192.t1	824	765	915	300	270	257
CBRIG.I.g1585.t1__CNIGO.Cnig_chr_I.g1194.t1	2768	2816	2562	610	753	647
CBRIG.I.g1588.t3__CNIGO.Cnig_chr_I.g1197.t1	1969	1973	2192	791	850	818
CBRIG.I.g1627.t1__CNIGO.Cnig_chr_I.g1233.t1	540	526	545	1813	1746	1852
CBRIG.I.g1631.t1__CNIGO.Cnig_chr_I.g1237.t2	1249	1225	1146	4794	4818	4854
CBRIG.I.g1656.t1__CNIGO.Cnig_chr_I.g1262.t1	432	508	505	973	1093	1038
CBRIG.I.g1681.t2__CNIGO.Cnig_chr_I.g1290.t1	1567	1590	1629	7628	7407	7495
CBRIG.I.g1726.t1__CNIGO.Cnig_chr_I.g1339.t1	193	231	212	446	457	458
CBRIG.I.g1749.t1__CNIGO.Cnig_chr_I.g1361.t1	2304	2211	2309	391	424	425
CBRIG.I.g1751.t1__CNIGO.Cnig_chr_I.g1365.t1	1062	1010	1256	566	590	575
CBRIG.I.g1758.t1__CNIGO.Cnig_chr_I.g1372.t1	277	381	370	191	114	178
CBRIG.I.g1794.t1__CNIGO.Cnig_chr_I.g1410.t1	794	760	948	2692	2864	2712
