# Program:featureCounts v2.0.1; Command:"featureCounts" "-t" "transcript" "-a" "briggsae.cds.small.gff" "-o" "counts/Cbr_fc.counts.txt" "alignments/Cbr_1_Cbr.sorted.bam" "alignments/Cbr_2_Cbr.sorted.bam" "alignments/Cbr_3_Cbr.sorted.bam" "alignments/hf1_split/HF1_1_Cbr.sorted.bam" "alignments/hf1_split/HF1_2_Cbr.sorted.bam" "alignments/hf1_split/HF1_3_Cbr.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	alignments/Cbr_1_Cbr.sorted.bam	alignments/Cbr_2_Cbr.sorted.bam	alignments/Cbr_3_Cbr.sorted.bam	alignments/hf1_split/HF1_1_Cbr.sorted.bam	alignments/hf1_split/HF1_2_Cbr.sorted.bam	alignments/hf1_split/HF1_3_Cbr.sorted.bam
CBRIG.I.g1002.t1__CNIGO.Cnig_chr_I.g494.t1	CBRIG.I.g1002.t1	1	2493	+	2493	963	959	1029	472	430	537
CBRIG.I.g1021.t1__CNIGO.Cnig_chr_I.g522.t1	CBRIG.I.g1021.t1	1	1173	+	1173	919	981	857	515	525	506
CBRIG.I.g1042.t3__CNIGO.Cnig_chr_I.g545.t2	CBRIG.I.g1042.t3	1	2685	+	2685	1013	1106	1165	584	550	499
CBRIG.I.g1066.t1__CNIGO.Cnig_chr_I.g568.t1	CBRIG.I.g1066.t1	1	822	+	822	301	262	302	142	158	149
CBRIG.I.g1120.t1__CNIGO.Cnig_chr_I.g25.t1	CBRIG.I.g1120.t1	1	480	+	480	190	182	132	112	96	107
CBRIG.I.g1149.t1__CNIGO.Cnig_chr_I.g635.t1	CBRIG.I.g1149.t1	1	1014	+	1014	1859	1605	1626	619	604	635
CBRIG.I.g1155.t1__CNIGO.Cnig_chr_I.g645.t1	CBRIG.I.g1155.t1	1	411	+	411	326	313	339	717	713	658
CBRIG.I.g1176.t1__CNIGO.Cnig_chr_I.g674.t1	CBRIG.I.g1176.t1	1	348	+	348	144	149	137	88	41	63
CBRIG.I.g1199.t1__CNIGO.Cnig_chr_I.g704.t1	CBRIG.I.g1199.t1	1	3597	+	3597	1463	1500	1287	699	655	785
CBRIG.I.g1237.t1__CNIGO.Cnig_chr_I.g783.t1	CBRIG.I.g1237.t1	1	1605	+	1605	605	716	613	292	319	340
CBRIG.I.g1245.t1__CNIGO.Cnig_chr_I.g800.t1	CBRIG.I.g1245.t1	1	489	+	489	159	213	250	220	177	195
CBRIG.I.g1269.t1__CNIGO.Cnig_chr_I.g836.t1	CBRIG.I.g1269.t1	1	1287	+	1287	569	516	474	304	252	272
CBRIG.I.g1288.t1__CNIGO.Cnig_chr_I.g858.t1	CBRIG.I.g1288.t1	1	1266	+	1266	550	460	425	220	278	203
CBRIG.I.g1306.t1__CNIGO.Cnig_chr_I.g872.t1	CBRIG.I.g1306.t1	1	615	+	615	515	535	433	118	82	126
CBRIG.I.g1329.t1__CNIGO.Cnig_chr_I.g901.t2	CBRIG.I.g1329.t1	1	606	+	606	268	248	226	222	258	217
CBRIG.I.g1336.t1__CNIGO.Cnig_chr_I.g908.t1	CBRIG.I.g1336.t1	1	1776	+	1776	1300	1326	1348	1074	1114	1088
CBRIG.I.g1357.t4__CNIGO.Cnig_chr_I.g953.t1	CBRIG.I.g1357.t4	1	1698	+	1698	2729	2790	2589	329	357	355
CBRIG.I.g1377.t3__CNIGO.Cnig_chr_I.g976.t2	CBRIG.I.g1377.t3	1	1728	+	1728	781	639	606	1459	1319	1340
CBRIG.I.g1409.t2__CNIGO.Cnig_chr_I.g1006.t1	CBRIG.I.g1409.t2	1	1311	+	1311	434	592	590	1011	975	1064
CBRIG.I.g1413.t1__CNIGO.Cnig_chr_I.g1010.t1	CBRIG.I.g1413.t1	1	1302	+	1302	570	492	517	243	340	253
CBRIG.I.g1426.t2__CNIGO.Cnig_chr_I.g1025.t2	CBRIG.I.g1426.t2	1	1587	+	1587	599	667	734	545	573	568
CBRIG.I.g1437.t2__CNIGO.Cnig_chr_I.g1037.t1	CBRIG.I.g1437.t2	1	870	+	870	404	368	310	161	203	158
CBRIG.I.g1441.t3__CNIGO.Cnig_chr_I.g1041.t3	CBRIG.I.g1441.t3	1	2472	+	2472	1020	915	1009	438	507	465
CBRIG.I.g1502.t1__CNIGO.Cnig_chr_I.g1114.t1	CBRIG.I.g1502.t1	1	438	+	438	568	565	571	448	472	475
CBRIG.I.g1515.t2__CNIGO.Cnig_chr_I.g1127.t2	CBRIG.I.g1515.t2	1	2715	+	2715	4432	4532	3932	523	516	569
CBRIG.I.g1538.t2__CNIGO.Cnig_chr_I.g1149.t1	CBRIG.I.g1538.t2	1	477	+	477	195	196	202	75	61	125
CBRIG.I.g1543.t1__CNIGO.Cnig_chr_I.g1155.t1	CBRIG.I.g1543.t1	1	237	+	237	120	101	68	46	39	48
CBRIG.I.g1582.t1__CNIGO.Cnig_chr_I.g1192.t1	CBRIG.I.g1582.t1	1	702	+	702	824	765	915	242	238	270
