gene_id	HF1_Cbr	HF1_Cni	HF2_Cbr	HF2_Cni	HF3_Cbr	HF3_Cni	HM1_Cbr	HM1_Cni	HM2_Cbr	HM2_Cni	HM3_Cbr	HM3_Cni
I.g1000.t2__Cnig_chr_I.g492.t1	6192	6191	5274	5273	3184	3182	1733	1729	1195	1194	1309	1306
I.g1001.t1__Cnig_chr_I.g493.t1	2810	2834	2512	2542	1465	1484	297	294	251	246	209	211
I.g1002.t1__Cnig_chr_I.g494.t1	504	481	371	352	273	263	134	125	98	96	106	104
I.g1004.t3__Cnig_chr_I.g495.t1	258	194	226	189	130	106	102	85	68	52	70	63
I.g1005.t1__Cnig_chr_I.g496.t3	0	0	0	0	0	0	0	0	0	0	0	0
I.g1007.t2__Cnig_chr_I.g499.t1	1	1	0	0	0	0	8	8	5	4	6	5
I.g1009.t1__Cnig_chr_I.g502.t2	101	96	79	80	48	51	22	30	16	18	15	21
I.g1011.t2__Cnig_chr_I.g505.t3	141	138	145	148	62	61	163	152	89	88	116	112
I.g1012.t1__Cnig_chr_I.g506.t1	647	637	595	589	324	319	146	143	121	120	112	108
I.g1014.t1__Cnig_chr_I.g512.t1	20	21	15	16	9	9	26	26	16	23	19	23
I.g1015.t2__Cnig_chr_I.g514.t2	67	68	48	48	32	32	250	251	191	193	191	192
I.g1016.t1__Cnig_chr_I.g515.t1	361	359	296	290	189	183	149	146	98	95	122	118
I.g1017.t1__Cnig_chr_I.g516.t1	69	66	61	57	34	32	69	68	41	43	52	51
I.g1018.t1__Cnig_chr_I.g519.t1	9	7	8	6	4	3	43	30	22	18	34	24
I.g1019.t2__Cnig_chr_I.g521.t1	32	29	20	18	13	12	48	56	25	26	38	44
I.g1021.t1__Cnig_chr_I.g522.t1	16	15	14	14	8	7	62	63	42	42	48	47
I.g1022.t1__Cnig_chr_I.g523.t1	1737	1237	1462	1014	932	663	743	210	302	152	584	166
I.g1023.t1__Cnig_chr_I.g524.t2	53	52	48	48	30	30	143	151	49	56	107	119
I.g1025.t1__Cnig_chr_I.g526.t2	266	256	222	213	138	132	800	787	416	402	583	571
I.g1026.t1__Cnig_chr_I.g528.t2	1882	1888	1540	1543	991	992	1121	1109	703	679	845	836
I.g1030.t2__Cnig_chr_I.g530.t1	239	719	191	562	135	393	106	286	79	200	81	223
I.g1032.t1__Cnig_chr_I.g531.t1	333	172	262	139	170	90	191	107	135	77	156	87
I.g1035.t1__Cnig_chr_I.g533.t2	29	22	29	20	19	12	316	343	119	119	266	290
I.g1036.t3__Cnig_chr_I.g534.t4	298	289	273	260	169	162	224	204	120	113	174	159
I.g1037.t1__Cnig_chr_I.g535.t1	112	125	102	117	55	62	72	74	40	38	57	55
I.g1038.t3__Cnig_chr_I.g536.t1	698	389	591	342	363	207	303	250	179	141	230	195
I.g1040.t1__Cnig_chr_I.g542.t1	283	274	258	253	141	139	17	17	11	12	11	10
I.g1041.t1__Cnig_chr_I.g543.t1	1	1	2	2	0	0	9	9	6	6	7	7
I.g1042.t3__Cnig_chr_I.g545.t2	2	1	2	0	1	0	16	5	11	3	12	3
I.g1043.t1__Cnig_chr_I.g546.t3	0	1	0	1	0	0	2	2	0	0	1	1
I.g1045.t1__Cnig_chr_I.g547.t1	8	7	6	6	3	3	309	307	126	124	241	242
I.g1046.t1__Cnig_chr_I.g548.t1	251	249	263	263	124	124	91	91	53	53	74	75
I.g1052.t1__Cnig_chr_I.g554.t1	104	101	85	88	51	50	276	311	149	162	211	239
I.g1056.t1__Cnig_chr_I.g580.t3	5	2	5	3	2	0	4	1	1	0	2	1
I.g1057.t1__Cnig_chr_I.g579.t1	290	386	266	348	150	202	232	283	147	169	185	221
I.g1059.t1__Cnig_chr_I.g578.t1	308	288	240	224	159	148	103	101	66	63	74	74
I.g1060.t1__Cnig_chr_I.g577.t3	100	96	85	83	49	48	74	63	35	31	51	43
I.g1061.t1__Cnig_chr_I.g576.t1	1033	1001	897	871	476	463	6804	6749	2999	2973	4900	4858
I.g1063.t1__Cnig_chr_I.g575.t1	100	226	72	166	49	110	17	54	16	44	14	42
I.g1065.t1__Cnig_chr_I.g569.t3	329	319	299	291	167	160	129	131	66	62	88	91
I.g1066.t1__Cnig_chr_I.g568.t1	163	163	149	147	81	81	85	87	54	54	62	63
I.g1067.t1__Cnig_chr_I.g567.t1	246	242	227	227	128	126	191	187	130	122	158	155
I.g1069.t2__Cnig_chr_I.g566.t1	1412	2507	1268	2275	730	1298	48	79	48	88	36	57
I.g1070.t1__Cnig_chr_I.g564.t2	29	33	23	24	14	14	76	78	39	39	60	60
I.g1071.t1__Cnig_chr_I.g563.t1	14	17	10	14	6	7	32	45	14	18	24	37
I.g1072.t1__Cnig_chr_I.g562.t3	49	61	39	48	22	27	86	105	38	46	69	85
I.g1075.t1__Cnig_chr_I.g72.t1	1	0	1	0	1	0	3	0	8	0	2	0
I.g1077.t3__Cnig_chr_I.g70.t2	3	2	2	2	1	0	247	230	103	92	184	174
I.g1078.t1__Cnig_chr_I.g69.t1	3	3	3	3	1	1	230	232	79	79	183	184
I.g1079.t1__Cnig_chr_I.g68.t1	19	18	13	13	9	9	40	39	22	22	30	29
I.g1080.t1__Cnig_chr_I.g67.t1	33	36	23	23	13	14	54	53	35	34	45	41
I.g1081.t2__Cnig_chr_I.g66.t1	12	10	11	8	4	3	34	30	14	13	25	23
I.g1082.t1__Cnig_chr_I.g64.t1	7	3	8	1	5	1	21	2	7	0	17	2
I.g1083.t2__Cnig_chr_I.g63.t1	916	979	836	897	473	507	568	592	293	295	435	456
I.g1084.t2__Cnig_chr_I.g60.t2	1079	826	1059	801	541	418	375	286	235	200	289	222
