"","dn","ds","prop_cons_500bp_upstream_5bp_win","num_cons_windows_500bp_upstream_5bp","num_windows_500bp_upstream_5bp","position","domain","chromosome","enc","ds_ENCc"
"I.g3305__Cnig_chr_I.g3113",0.0464517660351,0.23455408008,0.440366972477064,48,109,11910148,"armB","I",47.3479880712932,0.268943512938508
"I.g3703__Cnig_chr_I.g3707",0.0440704691223,0.267994014288,0.223021582733813,31,139,14347249,"armB","I",47.8383674737156,0.301050546922391
"X.g20706__Cnig_chr_X.g24597",0.0984331164428,0.190042105726,0.495049504950495,50,101,12187099,"center","X",45.3741353744976,0.229796667480291
"I.g2976__Cnig_chr_I.g2602",0.0801868846802,0.255830883998,NA,NA,NA,10326360,"center","I",40.2968997540332,0.309385879585303
"I.g3421__Cnig_chr_I.g3279",0.209767488234,0.146678044345,NA,NA,NA,12631937,"armB","I",41.7889316621309,0.196177548093112
"V.g13936__Cnig_chr_V.g16389",0.066977344348,0.179357105413,0.215686274509804,22,102,291149,"armA","V",46.9612522329305,0.214797724930343
"I.g3695__Cnig_chr_I.g3672",0.183074176017,0.600506126639,0.27,27,100,14318521,"armB","I",45.4089353405551,0.640166098607655
"II.g5334__Cnig_chr_II.g5670",0.0738010009962,0.20393477171,NA,NA,NA,7514659,"center","II",46.7804714436745,0.239866771479689
"I.g3692__Cnig_chr_I.g3673",0.341470705743,0.480963215234,0.52,52,100,14315754,"armB","I",40.850078399895,0.533014615977432
"IV.g10696__Cnig_chr_IV.g12504",0.255342666524,0.307820808081,0.0686274509803922,7,102,1480150,"armA","IV",45.8625935833965,0.346247691607216
"X.g19275__Cnig_chr_X.g23029",0.312845614724,0.462999334204,0.461538461538462,54,117,4229669,"armA","X",44.2872694629154,0.50570810612685
"V.g14379__Cnig_chr_V.g21644",0.150139848091,0.25629995067,NA,NA,NA,1917352,"armA","V",48.3459536851121,0.287976813253888
"III.g9781__Cnig_chr_III.g11131",0.156703600223,0.468373304962,0.20863309352518,29,139,10958874,"armB","III",44.7510869565147,0.509821374583541
"III.g9971__Cnig_chr_III.g11373",0.0727152690343,0.229571267111,NA,NA,NA,12024876,"armB","III",50.1356832566008,0.256383465854832
"III.g9867__Cnig_chr_III.g11278",0.208402153292,0.394876971762,0.235294117647059,24,102,11418820,"armB","III",36.3085981690622,0.459272569646278
"III.g9787__Cnig_chr_III.g11168",0.084021004023,0.159397869904,0.05,5,100,10983292,"armB","III",49.2935813596992,0.188498985762886
"II.g4676__Cnig_chr_II.g5007",0.101149914501,0.122848387628,0.495049504950495,50,101,4503299,"armA","II",42.6966924043586,0.169880506957547
"I.g1797__Cnig_chr_I.g1413",0.00937241483399,0.145918331953,0.722772277227723,73,101,5584515,"center","I",46.6385167314167,0.182236178817495
"X.g22307__Cnig_chr_X.g26577",0.0818778591168,0.117533919958,NA,NA,NA,20957418,"armB","X",44.7760062246799,0.158914256518248
"I.g3123__Cnig_chr_I.g2779",0.0301787428363,0.204973425291,NA,NA,NA,11006676,"armB","I",42.7227393734766,0.251934746355362
"III.g9535__Cnig_chr_III.g10898",0.104545091593,0.364877416588,0.436363636363636,48,110,9901751,"center","III",45.8402425286557,0.403365052514755
"I.g3834__Cnig_chr_I.g3861",0.0471403133116,0.221609332817,0.638095238095238,67,105,15019445,"armB","I",47.690507665793,0.25506776318637
"X.g22383__Cnig_chr_X.g26707",0.0403471029889,0.163199268102,0.0630630630630631,7,111,21318253,"armB","X",51.8685618137812,0.185301329744331
"X.g18739__Cnig_chr_X.g22394",0.0309117016749,0.258942666368,0.156716417910448,21,134,1063328,"armA","X",50.8050085629899,0.283935572037004
"X.g21228__Cnig_chr_X.g25208",0.00756611307476,0.207123395384,0.35,42,120,15112508,"center","X",46.4646390166616,0.243913859254458
"III.g9821__Cnig_chr_III.g11212",0.0111964827887,0.154617646915,0.561904761904762,59,105,11145913,"armB","III",43.4912777911441,0.199490003752766
"III.g9795__Cnig_chr_III.g11175",0.130456908369,0.338629073352,0.228571428571429,24,105,11011079,"armB","III",41.5820867741313,0.388690802177678
"III.g9782__Cnig_chr_III.g11137",0.0658483993506,0.325579829007,0.0952380952380952,10,105,10961505,"armB","III",47.6554441656933,0.359133565473871
"III.g9794__Cnig_chr_III.g11174",0.0175270823433,0.300048841901,NA,NA,NA,11005046,"armB","III",47.2582970212431,0.33468206399719
"III.g9888__Cnig_chr_III.g11297",0.131286368407,0.443928640898,0.299065420560748,32,107,11557468,"armB","III",48.710868209653,0.474613629334796
"II.g6557__Cnig_chr_II.g6968",0.0784795145195,0.18660124953,NA,NA,NA,12721663,"armB","II",47.7720747548134,0.219837972399635
"V.g14321__Cnig_chr_V.g16909",0.0965807117009,0.222465775628,NA,NA,NA,1695775,"armA","V",50.3803495293274,0.248612946990727
"V.g14458__Cnig_chr_V.g17072",0.12171819151,0.398218540079,0.0980392156862745,10,102,2258355,"armA","V",42.3396667332211,0.446221090863679
"V.g17807__Cnig_chr_V.g21044",0.0724457754387,0.199932231474,0.386138613861386,39,101,15996919,"armB","V",41.6477037054109,0.249815606922734
"V.g17995__Cnig_chr_V.g21347",0.174657039773,0.331402777768,NA,NA,NA,16771276,"armB","V",38.0470625663099,0.391073055679228
"V.g17740__Cnig_chr_V.g20922",0.152740947832,0.372007780691,0.495145631067961,51,103,15751001,"armB","V",44.3438475389465,0.414562767748811
"V.g17739__Cnig_chr_V.g20921",0.083548625419,0.462478039396,0.455445544554455,46,101,15748750,"armB","V",42.6537050053619,0.509627002772161
"V.g17681__Cnig_chr_V.g20858",0.0603834297664,0.228903726374,0.394495412844037,43,109,15561689,"armB","V",43.8519372846351,0.272795774664314
"V.g17683__Cnig_chr_V.g20859",0.159711525954,0.387045965979,0.392156862745098,40,102,15570458,"armB","V",43.6749032580085,0.431419210446384
"V.g17602__Cnig_chr_V.g20733",0.0757304252875,0.365822480068,0.349514563106796,36,103,15180156,"armB","V",47.3555560010639,0.400191342537019
"III.g10281__Cnig_chr_III.g11793",0.180038989248,0.365515523028,NA,NA,NA,13973675,"armB","III",46.68475249387,0.401707696469366
"V.g17539__Cnig_chr_V.g20664",0.133464430002,0.346825540649,0.643564356435644,65,101,14911315,"armB","V",44.7688052552439,0.388225450163836
"V.g17540__Cnig_chr_V.g20665",0.0416152443044,0.252686377965,0.107843137254902,11,102,14912244,"armB","V",44.5370083287777,0.29471633469165
"V.g17660__Cnig_chr_V.g20813",0.0623734589968,0.239932370114,0.450980392156863,46,102,15461170,"armB","V",45.3728994565056,0.279690291216911
"V.g17663__Cnig_chr_V.g20814",0.0607595693897,0.201271858789,0.568627450980392,58,102,15464586,"armB","V",47.9991775505181,0.233891293563361
"V.g17960__Cnig_chr_V.g21303",0.193530423531,0.649801145278,NA,NA,NA,16649856,"armB","V",45.0136032608693,0.690535669348547
"V.g18448__Cnig_chr_V.g22011",0.0441856408656,0.197877728875,0.518867924528302,55,106,19142997,"armB","V",48.3127552041885,0.229644828247879
"V.g17542__Cnig_chr_V.g20669",0.122200491662,0.337800247004,0.46078431372549,47,102,14916984,"armB","V",47.2559994284324,0.37243971418707
"V.g17508__Cnig_chr_V.g20626",0.0876747734738,0.157773217238,0.386138613861386,39,101,14831998,"armB","V",39.9627155684578,0.212236558839911
"V.g17845__Cnig_chr_V.g21274",0.206070034902,0.730253690312,NA,NA,NA,16124636,"armB","V",41.7760055377549,0.779788328557997
"V.g17752__Cnig_chr_V.g20948",0.141200227206,0.25518783745,0.23972602739726,35,146,15793306,"armB","V",42.2755044007972,0.303364787866562
"V.g17951__Cnig_chr_V.g21282",0.175212463668,0.355170315237,0.339622641509434,36,106,16594099,"armB","V",39.2464927275135,0.411580422099579
"V.g18019__Cnig_chr_V.g21388",0.156434859235,0.435315626274,NA,NA,NA,16866844,"armB","V",46.1550223605798,0.472947659158634
"V.g18041__Cnig_chr_V.g21413",0.105064539133,0.36824609142,NA,NA,NA,16961550,"armB","V",41.1004605220569,0.419616928532322
"V.g14722__Cnig_chr_V.g17414",0.0957480308992,0.210428733285,0.300970873786408,31,103,3465924,"armA","V",38.3872349412703,0.269174388684415
"V.g18017__Cnig_chr_V.g21387",0.145966890641,0.444411891761,NA,NA,NA,16860677,"armB","V",42.1006912446595,0.49306400180669
"V.g17808__Cnig_chr_V.g21045",0.0942558444336,0.339035414061,NA,NA,NA,15999175,"armB","V",45.3013903447688,0.378987704076199
"V.g17803__Cnig_chr_V.g21042",0.0822027648599,0.225840933584,0.309734513274336,35,113,15986894,"armB","V",46.3029064686916,0.263071002683317
"V.g17805__Cnig_chr_V.g21043",0.117175307575,0.210577531296,0.247524752475248,25,101,15995081,"armB","V",41.9561927879161,0.259622402588228
"IV.g11198__Cnig_chr_IV.g13083",0.101140113896,0.278948036741,0.336633663366337,34,101,4712877,"armA","IV",41.8451848665014,0.328294638657714
"V.g15260__Cnig_chr_V.g18138",0.256066483906,0.558474882818,0.574257425742574,58,101,5829645,"armA","V",40.1354378741169,0.612468747931342
"V.g17809__Cnig_chr_V.g21048",0.119489371165,0.377808878551,0.401960784313726,41,102,16000301,"armB","V",47.3674085754813,0.412145524538212
"V.g17815__Cnig_chr_V.g21053",0.103762244092,0.205524377477,NA,NA,NA,16017047,"armB","V",49.2019795951562,0.234874476086552
"V.g17359__Cnig_chr_V.g20438",0.0688658176543,0.187620461733,0.151079136690647,21,139,14243252,"armB","V",49.1539762350693,0.217101038272703
"IV.g13658__Cnig_chr_IV.g16024",0.109921407418,0.285622016722,0.428571428571429,45,105,16645734,"armB","IV",46.8435710962476,0.321382505329845
"V.g15257__Cnig_chr_V.g18136",0.162639088525,0.427790153295,0.185185185185185,20,108,5824199,"armA","V",42.2507688955359,0.476034337286917
"V.g17016__Cnig_chr_V.g20552",0.0282785696354,0.0158483786702,NA,NA,NA,12958841,"center","V",49.7613907333676,0.0436779418988025
"IV.g10565__Cnig_chr_IV.g12138",0.105341074489,0.310236665862,0.401960784313726,41,102,538872,"armA","IV",46.0642746993174,0.348115359959225
"X.g18812__Cnig_chr_X.g22474",0.104193485376,0.263913853763,NA,NA,NA,1453788,"armA","X",47.9710437779677,0.29660975894283
"II.g7135__Cnig_chr_II.g8014",0.216429523813,0.438663119858,0.0099009900990099,1,101,15491321,"armB","II",49.5051244385897,0.467189240486944
"II.g4807__Cnig_chr_II.g5147",0.127109278479,0.277178668961,0.413461538461538,43,104,5168415,"center","II",46.1979016257476,0.314694151717574
"II.g7208__Cnig_chr_II.g8131",0.104465697706,0.330693275535,0.225,27,120,15862551,"armB","II",46.6185116736948,0.367065498145679
"IV.g11002__Cnig_chr_IV.g12805",0.0922050320824,0.32677408772,0.206896551724138,24,116,3313468,"armA","IV",49.6947001335546,0.354784922663922
"I.g764__Cnig_chr_I.g202",0.109021133661,0.224146175913,0.0983606557377049,18,183,443821,"armA","I",50.8152467537166,0.249111253156408
"IV.g13265__Cnig_chr_IV.g15318",0.0871147643438,0.414349080664,0.485436893203884,50,103,13784886,"center","IV",41.3392957998042,0.465070739622317
